date,pipeline_name,operator,length_km,diameter_inches,max_capacity_mmscf_per_day,actual_flow_mmscf_per_day,utilization_percent,start_latitude,start_longitude,end_latitude,end_longitude,operating_pressure_psi,compressor_stations,maintenance_cost_usd_per_km,throughput_revenue_usd,status
2020-01-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,725.55,72.56,5.2,5.1,6.5,3.4,1124.892388756302,11,4151.237025659658,2815.63,operational
2020-01-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1871.91,85.09,5.0,6.5,5.2,6.8,1165.0214936980728,1,1219.3311615178914,4454.26,operational
2020-01-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,517.16,64.64,5.6,5.8,5.5,5.8,817.2096710062425,2,4031.675459148251,1727.84,operational
2020-02-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,718.34,71.83,5.2,5.1,6.5,3.4,1048.578762467825,11,1399.4708688004262,1517.7,operational
2020-02-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1741.11,79.14,5.0,6.5,5.2,6.8,875.649696630951,1,4498.892883548699,4570.49,operational
2020-02-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,556.55,69.57,5.6,5.8,5.5,5.8,875.8322154160896,2,3078.267772761675,1848.73,operational
2020-03-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,750.77,75.08,5.2,5.1,6.5,3.4,942.0345341247814,11,4795.504404097817,2128.33,operational
2020-03-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1835.28,83.42,5.0,6.5,5.2,6.8,867.5351016410144,1,2931.710940062337,5697.15,operational
2020-03-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,490.05,61.26,5.6,5.8,5.5,5.8,810.3613879640199,2,3660.2737157579445,1589.15,operational
2020-04-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,781.54,78.15,5.2,5.1,6.5,3.4,935.088536441762,11,3281.6383605155675,1653.26,operational
2020-04-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1962.52,89.21,5.0,6.5,5.2,6.8,861.6773177856954,1,1656.752018678576,6755.37,operational
2020-04-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,623.73,77.97,5.6,5.8,5.5,5.8,1134.5250025294226,2,3849.399329540798,2353.01,operational
2020-05-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,782.14,78.21,5.2,5.1,6.5,3.4,1088.0687047725257,11,2627.0346591286107,2152.89,operational
2020-05-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1911.16,86.87,5.0,6.5,5.2,6.8,1160.9185606402434,1,4808.083270927331,6323.24,operational
2020-05-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,548.87,68.61,5.6,5.8,5.5,5.8,851.930437988823,2,3232.895857268566,1531.89,operational
2020-06-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,830.6,83.06,5.2,5.1,6.5,3.4,873.1464030387724,11,1614.1164626336035,1827.54,operational
2020-06-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1856.45,84.38,5.0,6.5,5.2,6.8,976.1287480406565,1,2711.4221733498143,6159.62,operational
2020-06-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,544.66,68.08,5.6,5.8,5.5,5.8,838.7364607741081,2,1193.9809296316103,1178.3,operational
2020-07-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,828.8,82.88,5.2,5.1,6.5,3.4,985.2090656570398,11,1978.633802648092,2737.03,operational
2020-07-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1818.87,82.68,5.0,6.5,5.2,6.8,1180.7816637597775,1,4317.458134369712,6960.94,operational
2020-07-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,570.79,71.35,5.6,5.8,5.5,5.8,923.9768062733809,2,4265.773545617614,1660.44,operational
2020-08-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,794.14,79.41,5.2,5.1,6.5,3.4,827.4384955340801,11,4008.746748384818,2544.59,operational
2020-08-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1804.23,82.01,5.0,6.5,5.2,6.8,1187.8558349819198,1,4652.055548295159,5963.08,operational
2020-08-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,562.26,70.28,5.6,5.8,5.5,5.8,837.772538028477,2,4715.138036163189,1343.94,operational
