state,year,livestock_type,population_thousands,daily_manure_production_kg,annual_manure_production_tonnes,daily_biogas_potential_m3,annual_biogas_potential_m3,annual_methane_production_m3,annual_electricity_potential_kwh,annual_energy_potential_gj,methane_content
Abia,2020,cattle,2819.97,70499.2,25732.21,2819.97,1029288.35,617573.01,2058576.71,20585.77,0.6
Abia,2020,sheep,8459.9,21149.76,7719.66,1057.49,385983.13,231589.88,771966.27,7719.66,0.6
Abia,2020,goats,11279.87,22559.74,8234.31,1127.99,411715.34,247029.2,823430.68,8234.31,0.6
Abia,2020,pigs,1127.99,5639.94,2058.58,338.4,123514.6,80284.49,247029.2,2470.29,0.65
Abia,2020,poultry,28199.68,2819.97,1029.29,225.6,82343.07,57640.15,164686.14,1646.86,0.7
Abia,2020,donkeys,563.99,8459.9,3087.87,338.4,123514.6,74108.76,247029.2,2470.29,0.6
Abia,2020,horses,282.0,5639.94,2058.58,225.6,82343.07,49405.84,164686.14,1646.86,0.6
Abia,2021,cattle,3228.48,80711.94,29459.86,3228.48,1178394.37,707036.62,2356788.74,23567.89,0.6
Abia,2021,sheep,9685.43,24213.58,8837.96,1210.68,441897.89,265138.73,883795.78,8837.96,0.6
Abia,2021,goats,12913.91,25827.82,9427.15,1291.39,471357.75,282814.65,942715.5,9427.15,0.6
Abia,2021,pigs,1291.39,6456.96,2356.79,387.42,141407.32,91914.76,282814.65,2828.15,0.65
Abia,2021,poultry,32284.78,3228.48,1178.39,258.28,94271.55,65990.08,188543.1,1885.43,0.7
Abia,2021,donkeys,645.7,9685.43,3535.18,387.42,141407.32,84844.39,282814.65,2828.15,0.6
Abia,2021,horses,322.85,6456.96,2356.79,258.28,94271.55,56562.93,188543.1,1885.43,0.6
Abia,2022,cattle,2767.03,69175.64,25249.11,2767.03,1009964.39,605978.63,2019928.78,20199.29,0.6
Abia,2022,sheep,8301.08,20752.69,7574.73,1037.63,378736.65,227241.99,757473.29,7574.73,0.6
Abia,2022,goats,11068.1,22136.21,8079.72,1106.81,403985.76,242391.45,807971.51,8079.72,0.6
Abia,2022,pigs,1106.81,5534.05,2019.93,332.04,121195.73,78777.22,242391.45,2423.91,0.65
Abia,2022,poultry,27670.26,2767.03,1009.96,221.36,80797.15,56558.01,161594.3,1615.94,0.7
Abia,2022,donkeys,553.41,8301.08,3029.89,332.04,121195.73,72717.44,242391.45,2423.91,0.6
Abia,2022,horses,276.7,5534.05,2019.93,221.36,80797.15,48478.29,161594.3,1615.94,0.6
Abia,2023,cattle,2789.64,69740.96,25455.45,2789.64,1018217.97,610930.78,2036435.93,20364.36,0.6
Abia,2023,sheep,8368.91,20922.29,7636.63,1046.11,381831.74,229099.04,763663.47,7636.63,0.6
Abia,2023,goats,11158.55,22317.11,8145.74,1115.86,407287.19,244372.31,814574.37,8145.74,0.6
Abia,2023,pigs,1115.86,5579.28,2036.44,334.76,122186.16,79421.0,244372.31,2443.72,0.65
Abia,2023,poultry,27896.38,2789.64,1018.22,223.17,81457.44,57020.21,162914.87,1629.15,0.7
Abia,2023,donkeys,557.93,8368.91,3054.65,334.76,122186.16,73311.69,244372.31,2443.72,0.6
