year,state,crop,residue_type,crop_production_tonnes,residue_production_tonnes,residue_ratio,energy_content_mj_per_kg,total_energy_potential_gj,current_utilization_rate,available_for_energy_tonnes,available_energy_potential_gj,biogas_potential_m3,sofc_feedstock_potential_tonnes,collection_cost_naira_per_tonne,transportation_cost_naira_per_tonne_km,storage_requirements,seasonal_availability,moisture_content_percent,ash_content_percent,carbon_content_percent,nitrogen_content_percent
2020,Abia,Rice,Rice Husk,10618.1,2123.62,0.2,16.5,35039.74,0.15,1805.08,29783.78,270761.6,1173.3,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Abia,Rice,Rice Straw,10618.1,8494.48,0.8,14.2,120621.64,0.05,8069.76,114590.55,1613951.47,4841.85,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Adamawa,Rice,Rice Husk,19260.71,3852.14,0.2,16.5,63560.36,0.15,3274.32,54026.3,491148.22,2128.31,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Adamawa,Rice,Rice Straw,19260.71,15408.57,0.8,14.2,218801.72,0.05,14638.14,207861.63,2927628.62,8782.89,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Akwa Ibom,Rice,Rice Husk,15979.91,3195.98,0.2,16.5,52733.7,0.15,2716.58,44823.65,407487.68,1765.78,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Akwa Ibom,Rice,Rice Straw,15979.91,12783.93,0.8,14.2,181531.77,0.05,12144.73,172455.18,2428946.19,7286.84,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Anambra,Rice,Rice Husk,13979.88,2795.98,0.2,16.5,46133.59,0.15,2376.58,39213.56,356486.87,1544.78,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Anambra,Rice,Rice Straw,13979.88,11183.9,0.8,14.2,158811.41,0.05,10624.71,150870.84,2124941.34,6374.82,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Bauchi,Rice,Rice Husk,7340.28,1468.06,0.2,16.5,24222.92,0.15,1247.85,20589.48,187177.13,811.1,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Bauchi,Rice,Rice Straw,7340.28,5872.22,0.8,14.2,83385.58,0.05,5578.61,79216.3,1115722.5,3347.17,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
