State,Region,Rice_Production_tonnes,Rice_Husk_Available_tonnes,Maize_Production_tonnes,Maize_Cobs_Available_tonnes,Sugarcane_Production_tonnes,Sugarcane_Bagasse_tonnes,Cassava_Production_tonnes,Cassava_Peels_tonnes,Yam_Production_tonnes,Yam_Peels_tonnes,Palm_Oil_Production_tonnes,Palm_Kernel_Shell_tonnes,Cotton_Production_tonnes,Cotton_Stalk_tonnes,Sorghum_Production_tonnes,Sorghum_Straw_tonnes,Total_Biomass_Potential_tonnes,Biomass_Energy_Potential_TJ,Current_Utilization_Percent,Year
Kaduna,North West,523000,104600,892000,178400,12000,2400,1567000,313400,456000,91200,8900,4450,34000,68000,456000,912000,1674450,32165.9,8.5,2023
Kano,North West,487000,97400,1245000,249000,8500,1700,1123000,224600,398000,79600,6700,3350,42000,84000,523000,1046000,1785650,34306.7,7.2,2023
Kebbi,North West,856000,171200,234000,46800,45000,9000,567000,113400,178000,35600,4500,2250,28000,56000,289000,578000,1012250,19457.6,12.4,2023
Sokoto,North West,398000,79600,198000,39600,6700,1340,456000,91200,145000,29000,3200,1600,31000,62000,345000,690000,994540,19107.9,6.8,2023
Zamfara,North West,289000,57800,167000,33400,5600,1120,378000,75600,123000,24600,2800,1400,24000,48000,278000,556000,800920,15389.1,5.9,2023
Jigawa,North West,412000,82400,345000,69000,8900,1780,489000,97800,167000,33400,4100,2050,29000,58000,389000,778000,1122430,21565.6,8.1,2023
Katsina,North West,334000,66800,456000,91200,7800,1560,512000,102400,189000,37800,3700,1850,36000,72000,412000,824000,1197410,23007.2,7.3,2023
Benue,North Central,234000,46800,645000,129000,23000,4600,2345000,469000,1890000,378000,12000,6000,18000,36000,234000,468000,1531400,29434.9,11.2,2023
Niger,North Central,445000,89000,478000,95600,34000,6800,1234000,246800,567000,113400,23000,11500,22000,44000,312000,624000,1231100,23658.9,9.7,2023
Kwara,North Central,198000,39600,289000,57800,15000,3000,798000,159600,234000,46800,8900,4450,19000,38000,198000,396000,744850,14314.0,8.9,2023
Kogi,North Central,167000,33400,234000,46800,28000,5600,956000,191200,312000,62400,15000,7500,14000,28000,156000,312000,686900,13200.7,10.3,2023
