State,Region,Cattle_Population,Sheep_Population,Goat_Population,Pig_Population,Poultry_Population,Cattle_Manure_tonnes_per_year,Sheep_Manure_tonnes_per_year,Goat_Manure_tonnes_per_year,Pig_Manure_tonnes_per_year,Poultry_Manure_tonnes_per_year,Total_Manure_Available_tonnes,Biogas_Potential_million_m3,Energy_Potential_TJ,Current_Biogas_Systems,Biogas_Utilization_Percent,Year
Kano,North West,3450000,2890000,4560000,45000,18900000,5865000,144500,228000,8100,85050,6330650,316.5,6962.3,234,1.2,2023
Kaduna,North West,2980000,2340000,3890000,67000,15600000,5067000,117000,194500,12060,70200,5460760,273.0,6006.6,198,1.4,2023
Katsina,North West,3120000,2670000,4120000,38000,14500000,5304000,133500,206000,6840,65250,5715590,285.8,6287.6,189,1.1,2023
Sokoto,North West,2560000,3120000,3780000,28000,12300000,4352000,156000,189000,5040,55350,4757390,237.9,5233.8,156,0.9,2023
Zamfara,North West,2340000,2450000,3450000,32000,11200000,3978000,122500,172500,5760,50400,4329160,216.5,4763.0,142,0.8,2023
Jigawa,North West,2780000,2560000,3980000,41000,13800000,4726000,128000,199000,7380,62100,5122480,256.1,5634.2,167,1.0,2023
Kebbi,North West,2890000,2780000,4230000,36000,14200000,4913000,139000,211500,6480,63900,5333880,266.7,5867.4,178,1.1,2023
Benue,North Central,1890000,1234000,2890000,234000,16700000,3213000,61700,144500,42120,75150,3536470,176.8,3889.6,312,2.3,2023
Niger,North Central,2120000,1890000,3120000,89000,13400000,3604000,94500,156000,16020,60300,3930820,196.5,4323.3,245,1.6,2023
Kwara,North Central,1560000,1345000,2340000,76000,11200000,2652000,67250,117000,13680,50400,2900330,145.0,3190.0,198,1.8,2023
Kogi,North Central,1234000,1123000,2120000,98000,10500000,2097800,56150,106000,17640,47250,2324840,116.2,2556.4,176,2.0,2023
Plateau,North Central,1780000,1456000,2560000,123000,12800000,3026000,72800,128000,22140,57600,3306540,165.3,3636.6,289,2.2,2023
Nasarawa,North Central,1456000,1234000,2230000,87000,9800000,2475200,61700,111500,15660,44100,2708160,135.4,2978.8,167,1.6,2023
Bauchi,North East,2230000,2120000,3340000,32000,13200000,3791000,106000,167000,5760,59400,4129160,206.5,4542.9,145,1.1,2023
Gombe,North East,1780000,1670000,2670000,28000,10800000,3026000,83500,133500,5040,48600,3296640,164.8,3625.6,123,1.2,2023
Yobe,North East,1890000,1890000,2890000,24000,9600000,3213000,94500,144500,4320,43200,3499520,175.0,3850.0,98,0.9,2023
Borno,North East,2340000,2340000,3450000,19000,11700000,3978000,117000,172500,3420,52650,4323570,216.2,4756.4,112,0.8,2023
Adamawa,North East,2010000,1780000,2890000,45000,12300000,3417000,89000,144500,8100,55350,3713950,185.7,4085.4,134,1.2,2023
Taraba,North East,1670000,1450000,2450000,67000,10200000,2839000,72500,122500,12060,45900,3091960,154.6,3401.2,156,1.6,2023
Oyo,South West,567000,456000,1234000,198000,24500000,963900,22800,61700,35640,110250,1194290,59.7,1313.4,456,4.9,2023
Ogun,South West,489000,398000,1045000,176000,21200000,831300,19900,52250,31680,95400,1030530,51.5,1133.0,389,4.8,2023
Ondo,South West,412000,334000,876000,145000,18600000,700400,16700,43800,26100,83700,870700,43.5,957.0,334,4.9,2023
Osun,South West,356000,289000,756000,123000,16800000,605200,14450,37800,22140,75600,755190,37.8,831.6,298,5.1,2023
Ekiti,South West,298000,234000,645000,98000,14200000,506800,11700,32250,17640,63900,632290,31.6,695.2,245,5.0,2023
Lagos,South West,45000,67000,234000,89000,32400000,76500,3350,11700,16020,145800,253370,12.7,279.4,567,5.8,2023
Delta,South South,634000,512000,1456000,234000,28900000,1077800,25600,72800,42120,130050,1348370,67.4,1482.8,478,4.6,2023
Edo,South South,556000,445000,1234000,198000,24700000,945200,22250,61700,35640,111150,1175940,58.8,1293.6,412,4.5,2023
Rivers,South South,398000,334000,956000,167000,31200000,676600,16700,47800,30060,140400,911560,45.6,1003.2,389,5.5,2023
Bayelsa,South South,223000,189000,512000,98000,12300000,379100,9450,25600,17640,55350,487140,24.4,537.0,167,4.4,2023
Cross River,South South,456000,378000,1045000,178000,19800000,775200,18900,52250,32040,89100,967490,48.4,1064.8,312,4.2,2023
Akwa Ibom,South South,512000,423000,1123000,189000,26400000,870400,21150,56150,34020,118800,1100520,55.0,1210.0,367,4.3,2023
Anambra,South East,298000,267000,876000,223000,34500000,506800,13350,43800,40140,155250,759340,38.0,836.0,489,6.6,2023
Enugu,South East,334000,289000,956000,198000,29800000,567800,14450,47800,35640,134100,799790,40.0,880.0,445,7.2,2023
Abia,South East,356000,312000,1045000,212000,32100000,605200,15600,52250,38160,144450,855660,42.8,941.6,467,7.0,2023
Imo,South East,312000,278000,956000,198000,30200000,530400,13900,47800,35640,135900,763640,38.2,840.4,434,7.3,2023
Ebonyi,South East,398000,334000,1123000,189000,26800000,676600,16700,56150,34020,120600,904070,45.2,994.4,389,5.5,2023
