firm_id,state,geo_political_zone,location_type,industry,isic_code,firm_age_category,firm_age_years,employee_size_category,num_employees,annual_turnover_ngn,legal_structure,owner_age,owner_gender,owner_education,owner_field_of_study,prior_entrepreneurial_experience,digital_literacy_score,digital_tools_adoption,advanced_tech_adoption,level_of_digitization,process_innovation,product_service_innovation,business_model_innovation,competitive_pressure,customer_demand_innovation,mgmt_attitude_innovation,financial_constraints,access_to_credit,cost_of_innovation,sufficiency_internal_capital,human_capital_constraints,skilled_employee_difficulty,cost_of_training,mgmt_capability_change,infrastructure_constraints,electricity_reliability,internet_quality,internet_cost,logistics_access,regulatory_constraints,regulation_burden,corruption_level,gov_support_effectiveness,market_constraints,competition_intensity,demand_uncertainty,intl_market_access,profitability_growth,sales_growth,market_share_growth,roi_satisfaction,overall_performance_satisfaction,turnover_growth_range,turnover_growth_percent,profit_growth_percent,employee_growth_percent,new_branches_3years,new_clients_3years,product_service_lines_increase,quality_improvement,customer_satisfaction_improvement,customer_retention_improvement,innovation_index,constraint_index,performance_index
NG_SME_0001,Taraba,North-East,Urban,Textiles,13-15,26-30,28.0,11-25,18,22110.01842549797,Limited Liability Company,25,Male,Diploma,Business Administration,0.9561515429980989,6.79951962236489,3.7165063186770535,2.301954535994556,2.9813493924072794,2.2723212031145477,2.583379989304868,3.3618710258904216,1.4758927387917926,5.0,2.87569945953167,2.8915601638188377,4.082349375718922,4.077412006071903,3.76986940436585,3.4529835730828013,2.761727937260725,4.7122199168280385,1.297658604824107,5.0,1.4009112494313853,4.026476885264524,2.8276248242543924,3.329771167540019,3.0400064441211976,3.2541795040841337,3.8133236603808447,1.628430517053368,1.57209093921607,4.405936087728963,4.2728884068612585,1.5917265185232576,3.1298468022161954,3.83062931474712,3.2157203166991826,3.5238983624720954,3.8930841716216062,Declining (0 to -10%),-8.141380629219375,3.5024368801169192,8.527409568893328,1,25,3.54547668896795,3.7088085544626943,3.6351638556740373,3.5816129613338576,2.9835196342467225,3.1913282240477807,3.5173201513210257
NG_SME_0002,Osun,South-West,Urban,Manufacturing,10-33,0-2,1.5,1-5,3,462551.52892426425,Sole Proprietorship,43,Male,Bachelor,Economics,1.935679875526385,7.231219938715601,3.7386912751374117,3.6961303182640455,3.659298845700262,4.441735151530627,4.1441773715459025,2.5919701235243076,3.1052424657911004,4.131424453623311,2.552314099748356,4.207445107503993,4.64571855794998,2.828606247286711,3.0975816954735835,1.9644318669311238,5.0,3.8636419390674135,2.592945406734108,2.7063050778044273,3.6030578754043034,1.0222205700488103,4.013258740361156,1.0,4.636939417079059,3.001934265318946,3.840992194438704,3.2911573069326594,2.557511056157865,2.5222465328597172,4.878809137666756,2.8671940704712955,3.4534896897091696,4.687339714166644,3.77219316166215,3.286406481918922,4.094760719915948,Declining (>-10%),-18.87879937674777,-15.174982592082854,-5.4879408263349285,0,27,3.8115224337845515,3.8562732832100015,3.886502046132493,3.9665815258171655,3.729143480434562,3.214526505095294,4.001945821363478
NG_SME_0003,Cross River,South-South,Urban,Transportation,49-53,31-40,35.0,1-5,3,86472.96684341373,Sole Proprietorship,31,Male,Diploma,No Formal Education,1.5742330936924203,5.049145314260384,5.0,4.396224712816138,5.0,4.776561586250384,5.0,4.871532213534927,4.022024098096946,4.242795005530021,5.0,3.106071995228408,4.184629785373528,3.5899406090351276,1.0,2.4006528954447335,2.7598690466562217,3.9589834580515983,2.5434052425969877,4.344644944144632,3.4215329540787396,4.5057064153338935,2.7460021227313525,2.7916382330052976,3.5965046273583257,2.476193523998705,3.1236040121058313,3.4780277802161694,4.068136395466347,3.458198872654396,2.8225813551758145,3.463923604433174,3.1098852157465653,3.4584344383199834,3.550939350641262,3.5510805569336554,3.4208976878498327,Rapid Growth (>50%),51.27066289139843,40.57994317132962,-6.278640108921733,0,16,3.5143115300917884,3.245995758505355,3.2963501910586395,3.692474651974886,4.912023449946328,3.503202171528489,3.3850391731394107
NG_SME_0004,Kwara,North-Central,Rural,Hospitality,55-56,6-10,8.0,1-5,3,416214.3672811077,Limited Liability Company,51,Female,Master,Business Administration,1.3090939916280406,10.0,4.704903944087122,2.3485810883131437,5.0,3.460775530799628,3.3202233465837323,2.1725051542943747,3.994890379103049,2.1390937012017743,3.5268706132951784,4.655041768120063,3.3365401713637257,3.6311339463138426,3.7042496480744123,3.474111490191217,4.818995425625133,2.9482002374567333,4.107731607108216,4.102421156150244,3.9340653955152236,2.920310694300451,4.279453682015128,2.787294156162325,3.3929290483467147,2.8739144870269455,1.3949875754705416,2.711488569152794,4.062559175795258,3.2266610870678014,4.384007466792122,4.380376049900343,3.837574515810491,4.09921834155503,3.1580995870925053,4.19599224093223,3.389612741953135,Strong Growth (25-50%),31.086896329604695,8.150733173120347,-15.62027195863211,0,24,4.582071693014892,3.528497266552727,4.01237470141897,3.844584127667381,3.414601993941215,3.9374125277206993,3.62112629660279
NG_SME_0005,Benue,North-Central,Urban,Construction,41-43,26-30,28.0,6-10,8,2073103.7948419098,Sole Proprietorship,53,Male,Secondary,Marketing,0.3253812078976822,7.261559660891413,3.7552523350328313,3.191706185372372,3.7807135793315156,1.7617365843279735,3.5919823351254014,2.104937593432695,1.9854965764558252,2.4159317395311333,2.6922896540278276,4.504415086508254,2.407938617136765,3.285369564409411,3.6111650315266584,4.560214550929345,4.607112692332488,4.117038401307975,3.3633466986425646,2.2034072159440177,2.5659429147383115,2.6942284790194395,2.773503327780173,3.322224153050052,4.733551606004392,2.4894356593673552,3.5988441298226217,3.7246812297762224,2.327241217663946,5.0,2.7662484437694577,4.49795701276949,4.673436357199004,4.957951065521978,4.448279860052205,4.996843051864773,4.74347759827721,Strong Growth (25-50%),25.33403922679823,25.195580839482837,-12.548561609427708,0,29,5.0,4.482902894308528,4.585063625577687,4.69661232944748,2.8034772119797253,3.6657659354099907,4.705786220262599
NG_SME_0006,Niger,North-Central,Urban,Mining,05-09,11-15,13.0,1-5,3,32016.564872265077,Sole Proprietorship,44,Male,Master,Accounting,2.3499633726330638,8.766325171280272,4.174097098546337,2.478077538287647,5.0,4.593398219733975,2.953617889539857,3.788781623761562,4.337306593441212,2.802661049111435,5.0,5.0,3.5588913480018878,2.2910870181695375,3.0402476232938467,2.644648861773597,3.8847631252449513,2.9430683866338336,3.118903005833812,2.9753334202097754,2.933719374151743,2.616326339524885,1.6727009548392164,5.0,4.2198799150732,3.83497980540952,2.3337355243049327,2.798729861601879,2.893153780673125,1.1940385991445621,3.8756802702690556,1.8104092222660502,2.4825153271646183,2.755155252922709,2.8020993625022474,2.5288576987797318,2.59141873625315,Strong Growth (25-50%),46.49880125294873,49.67398150393796,-2.870083652421875,1,23,2.3452456990102757,2.270443768495226,2.7903109546933345,3.036183148805004,3.877473707895432,3.546603195545939,2.657797169710681
NG_SME_0007,Rivers,South-South,Rural,Wholesale Trade,46,3-5,4.0,26-50,38,257364.52450462754,Sole Proprietorship,44,Female,Bachelor,Agriculture,1.0778835355001695,10.0,2.6080131638379074,1.0,3.2409947299770545,1.4505701776898943,1.0,1.4941197206598167,5.0,3.9369761334682374,3.076315622124832,5.0,1.0301189978707708,2.9085584203125445,4.670407827142611,4.3930570184141065,4.464787867790081,3.184511942466372,3.8600910840474194,3.101710597989136,2.496523428131002,3.177947290202518,4.172883289212524,3.4752635445697564,2.9213960494468245,3.324785984970164,2.9933312115824764,1.8986649089794128,4.539738233096524,5.0,3.10004096570926,4.6936654913964455,5.0,5.0,5.0,5.0,5.0,Rapid Growth (>50%),65.935055204506,61.26903752313584,5.149976265719714,1,28,5.0,5.0,5.0,5.0,1.6381757655469047,3.9911803797893186,5.0
NG_SME_0008,Rivers,South-South,Urban,Wholesale Trade,46,0-2,1.5,1-5,3,161284.8317270372,Limited Liability Company,43,Female,Bachelor,Business Administration,3.243566375964349,8.922101158318442,3.319875472090836,1.831592708392204,4.656158542714218,2.408185546227878,2.3656096093985304,1.3627160870182502,3.148814234914642,2.3428717862060546,2.2992139054491334,4.123291282701636,2.812070440224877,3.047761770922231,3.545135133682649,4.00670635464827,3.6716545231734177,4.365143409772552,1.9594210365437157,2.9810626510445455,3.6840169091198542,2.0200147262776174,2.706287935032496,2.968436674683853,2.1548541631700697,3.790194659573745,4.920483530225242,2.837879293743707,4.712902922528844,2.3387703829315747,2.5820610680377767,1.9340808584403006,1.9874029591958895,1.0010807131028558,1.0,1.4063496396134183,1.5111031805189616,Slow Growth (0-10%),3.32268724338915,14.639125801150744,-19.020861221710305,0,18,1.0653473984054314,1.3346698967449253,1.8962164687853533,1.1694137122528814,2.3640966786838735,3.5957634748186735,1.3748967132044267
NG_SME_0009,Plateau,North-Central,Urban,Manufacturing,10-33,3-5,4.0,26-50,38,102379.80237586467,Partnership,33,Male,Diploma,No Formal Education,1.1534774487510608,4.707130636344418,3.5099097769697924,3.796974644538306,4.427401049740622,4.364631195381541,4.091604376326136,4.155912902880184,3.296514132476247,3.946504341992381,4.623420592777607,4.115022837358474,3.735179860469476,2.2474952805293564,3.5081746012699897,2.3831010672097825,2.235505624447039,2.6384141650156105,2.723473615262921,2.7913393371181003,2.5567944358195978,2.352855254866382,3.958114712524077,3.912474075353463,2.824571050908748,2.4637989692103015,3.7190673923430584,4.03553239742253,3.990998301112824,3.532165261539982,4.920183474731993,1.869545485844964,3.8210245666058005,5.0,3.255004524377943,4.564097641993816,3.8569698647786947,Moderate Growth (10-25%),20.366723269012958,-10.484411557456312,25.462225630947533,1,21,4.474380126254484,4.212840496560686,4.1480677286415695,4.0330911733378505,4.0305145628894135,3.2210065187415857,3.9832497389406094
NG_SME_0010,Zamfara,North-West,Rural,IT Services,62-63,0-2,1.5,6-10,8,73207.21208401551,Cooperative,34,Female,PhD,Accounting,1.692486660900721,9.211190033319154,4.373884668266174,4.416699176870923,5.0,3.1584047647348563,2.893027208341352,3.7472590671022266,3.276787467026645,5.0,3.250805760033625,2.734688558690504,3.6759643920831513,2.9162152002855426,1.0,4.230187094912257,5.0,3.001554353912829,3.012076228345498,4.269949371916155,3.7467779568646624,3.581492749386785,2.1997853978840425,2.7357250956683536,3.7031185988815154,4.746593358213974,2.823180682581038,2.1963028255686465,3.2760150428774297,5.0,4.707643758224696,2.29379458495075,3.1269937082658497,3.1837858232428955,2.6091037419399954,3.3118004294419237,3.5906784559481126,Slow Growth (0-10%),6.289184130061423,2.435042598646895,-20.0,0,20,3.2779424412048286,3.5852304944898483,2.981575558969341,3.2738866357697765,3.543143927111153,3.642791733455572,3.127640432349213
NG_SME_0011,Plateau,North-Central,Urban,Retail Trade,47,0-2,1.5,50+,75,3325268.7142345477,Limited Liability Company,57,Female,Diploma,Education,0.16134297166354444,9.420741499971346,5.0,4.724304235154478,5.0,5.0,5.0,5.0,3.6468368881969573,2.7929817221934843,3.4305417724240597,4.381954787721989,4.908478663758438,2.8161636668210726,3.8439307676604595,3.454604117561626,3.1533360312700043,2.394543489819319,3.14191510165974,4.758480486185046,2.776057551776701,4.467108558479666,1.7802443823888272,3.254569471269628,3.3872150102323717,5.0,3.694867451799767,3.736966892433371,4.406237832696845,1.7303651213735025,2.1044839683493795,2.3046858252795355,4.529329366765953,5.0,4.711606890565773,4.782225074700078,4.7596421873689545,Moderate Growth (10-25%),24.523673638287136,29.407366290407463,0.3932496777089374,0,34,4.662399267455525,4.980790781596592,4.6620868206663095,4.143994998168452,5.0,4.077698446879575,4.75014461117517
