firm_id,state,geo_political_zone,location_type,industry_sector,firm_age_years,num_employees,annual_turnover_million_naira,legal_structure,owner_age,owner_gender,owner_education_level,owner_field_of_study,prior_entrepreneurial_experience_years,digital_literacy_score,digital_tools_computers,digital_tools_accounting_software,digital_tools_crm,digital_tools_ecommerce,digital_tools_cloud_computing,digital_tools_social_media,advanced_tech_ai_ml,advanced_tech_iot,advanced_tech_blockchain,advanced_tech_robotics,digitization_level_composite,process_new_production_methods,process_supply_chain_software,process_support_techniques,product_new_goods_services_3years,product_launch_frequency,business_model_revenue_changes,business_model_value_proposition,driver_competitive_pressure,driver_customer_demand,driver_management_attitude,constraint_access_to_credit,constraint_innovation_cost,constraint_internal_capital,constraint_finding_skilled_employees,constraint_training_cost,constraint_management_capability,constraint_electricity_reliability,constraint_internet_quality_cost,constraint_logistics_transportation,constraint_regulations_taxes,constraint_corruption_informal_charges,constraint_government_support_effectiveness,constraint_competition_intensity,constraint_demand_uncertainty,constraint_international_market_access,performance_profitability_growth,performance_sales_growth,performance_market_share_growth,performance_roi,performance_overall_satisfaction,objective_turnover_growth_percent,objective_profit_margin_percent,objective_employee_growth_percent,objective_new_branches,objective_new_clients,growth_product_lines_increase,growth_quality_improvement,growth_customer_satisfaction,growth_customer_retention_rate,innovation_technology_score,innovation_process_score,innovation_product_score,innovation_business_model_score,innovation_overall_score,constraint_financial_score,constraint_human_capital_score,constraint_infrastructure_score,constraint_regulatory_score,constraint_market_score,constraint_overall_score,performance_subjective_score,survey_date,survey_response_time_minutes,data_quality_score
SME_00001,Imo,South-East,Urban,Accommodation and Food Service,5,12,29.66,Sole Proprietorship,34,Male,Postgraduate,Economics,0,7.9,2.9,2.7,1.0,1.9,1.8,3.4,1.0,1.0,1.0,1.0,2.6,3.5,3.9,3.6,4.1,3.1,3.0,2.8,4.1,3.2,4.0,4.2,3.6,3.0,3.8,3.8,2.4,4.2,3.5,3.1,2.7,3.5,1.8,4.5,3.9,2.4,2.9,3.1,2.7,2.2,3.4,6.4,17.0,2.7,0,31,2.4,2.5,3.5,59.7,1.77,3.67,3.2,2.9,2.88,3.62,3.33,3.6,2.67,3.6,3.36,2.9,2024-03-06,43,0.74
SME_00002,Ekiti,South-West,Urban,Information and Communication,3,18,61.02,Sole Proprietorship,44,Male,Bachelor,Agriculture,16,6.0,2.5,2.2,1.8,2.1,1.8,2.3,1.0,1.0,1.0,1.0,2.11,1.8,1.0,1.8,2.2,1.4,1.1,2.1,2.8,3.9,2.3,2.7,2.9,2.1,3.4,3.6,2.9,3.0,2.2,3.2,3.2,3.5,1.4,3.8,2.4,3.3,2.5,3.1,3.5,3.5,3.2,-0.0,25.2,5.8,0,25,3.1,4.2,3.4,64.0,1.67,1.53,2.23,1.6,1.76,2.7,3.3,2.8,2.7,3.17,2.93,3.03,2024-02-11,49,0.85
SME_00003,Edo,South-South,Urban,Manufacturing,1,19,46.78,Partnership,36,Male,Bachelor,Computer Science,10,8.9,1.9,1.3,1.0,1.0,1.6,1.9,1.0,1.0,1.0,1.0,1.45,1.8,1.6,2.2,2.4,2.2,1.6,2.3,3.7,3.7,2.9,3.4,3.7,3.8,3.3,2.8,2.3,2.4,2.3,2.7,4.2,2.8,1.4,4.1,2.5,4.9,1.8,2.4,2.5,2.7,2.6,-11.6,15.0,2.0,0,9,2.1,2.9,2.6,63.9,1.27,1.87,2.23,1.95,1.83,3.2,2.8,2.47,2.8,3.83,3.02,2.23,2024-03-15,28,0.78
SME_00004,Katsina,North-West,Urban,Information and Communication,4,14,89.0,Sole Proprietorship,40,Female,Postgraduate,Engineering,11,8.4,2.3,1.7,1.0,1.4,1.0,2.2,1.0,1.0,1.0,1.0,1.77,1.7,1.5,2.6,3.2,2.8,3.3,2.8,3.2,3.9,2.7,2.2,2.4,2.7,3.4,3.8,2.3,4.4,4.1,3.4,3.0,3.5,2.6,3.9,2.3,3.8,3.0,2.7,2.8,3.0,3.6,-1.3,20.7,4.3,0,21,2.3,3.8,3.6,74.6,1.36,1.93,2.77,3.05,2.28,3.04,3.17,3.97,3.03,3.33,3.31,2.83,2024-02-14,44,0.85
SME_00005,Akwa Ibom,South-South,Urban,Information and Communication,1,14,103.13,Sole Proprietorship,36,Female,Postgraduate,Law,10,9.9,3.1,2.6,2.2,2.6,2.1,3.2,1.0,1.0,1.0,1.0,2.73,3.2,2.6,2.9,3.9,3.6,2.9,3.5,3.4,3.7,3.7,3.3,2.8,2.9,3.0,4.2,3.2,3.3,2.7,3.1,2.8,2.6,1.7,4.8,3.8,3.7,3.6,3.5,4.1,3.8,4.4,16.6,21.2,3.9,0,25,2.9,3.9,4.4,83.2,1.98,2.9,3.47,3.2,2.89,3.18,3.47,3.03,2.37,4.1,3.23,3.73,2024-02-24,49,0.86
SME_00006,Imo,South-East,Rural,Agriculture,11,15,54.38,Partnership,49,Male,No Formal Education,N/A,13,4.9,2.2,2.3,1.8,1.2,2.3,3.1,1.0,1.0,1.0,1.0,2.19,1.4,1.4,1.0,1.0,1.4,1.6,1.0,4.3,3.5,1.9,2.1,2.9,2.7,4.0,5.0,2.8,3.6,3.5,3.6,3.7,3.2,1.7,4.4,3.6,3.5,2.5,1.7,1.8,1.8,2.3,-9.8,11.6,-1.9,0,15,3.0,2.3,2.3,57.4,1.69,1.27,1.8,1.3,1.52,3.24,3.93,3.57,2.87,3.83,3.49,2.0,2024-01-23,40,0.88
SME_00007,Gombe,North-East,Urban,Manufacturing,6,35,148.72,Limited Liability,43,Male,Postgraduate,Agriculture,0,4.5,1.9,1.3,1.0,1.5,1.2,2.0,1.0,1.0,1.0,1.0,1.63,1.8,1.8,2.1,1.7,1.8,1.6,1.0,3.5,3.6,2.3,1.0,2.0,2.5,2.3,3.1,3.2,4.7,3.7,4.4,3.0,1.6,1.9,4.0,3.0,3.5,2.1,3.0,2.4,2.4,2.9,-3.4,13.8,-0.7,0,24,2.7,2.7,3.2,56.8,1.29,1.9,2.07,1.3,1.64,2.46,2.87,4.27,2.17,3.5,3.05,2.5,2024-03-15,30,0.74
SME_00008,Bauchi,North-East,Rural,Wholesale and Retail Trade,1,7,26.23,Sole Proprietorship,36,Female,Secondary,N/A,0,6.3,1.9,1.1,1.0,1.0,1.0,1.5,1.0,1.1,1.0,1.0,1.17,1.0,1.7,1.5,1.1,1.2,1.1,1.5,3.2,3.1,1.8,3.4,4.0,3.0,2.7,4.0,3.7,5.0,5.0,4.4,3.0,3.8,1.8,3.1,2.5,4.8,1.8,3.0,2.6,2.3,3.3,-7.1,17.8,-5.1,0,4,2.6,2.0,2.8,63.4,1.16,1.4,1.63,1.3,1.37,3.88,3.47,4.8,2.87,3.47,3.7,2.47,2024-02-29,44,0.78
SME_00009,Sokoto,North-West,Urban,Wholesale and Retail Trade,2,18,66.97,Sole Proprietorship,38,Female,Secondary,N/A,11,5.3,2.2,2.0,1.8,2.7,1.6,3.6,1.0,1.0,1.0,1.0,2.81,1.7,1.9,2.0,2.3,1.2,2.6,1.9,3.9,4.5,2.8,3.7,3.2,2.3,3.1,3.3,3.2,3.8,4.1,3.9,3.0,4.1,2.8,2.7,3.2,3.2,2.4,3.1,2.5,2.8,2.9,1.7,20.0,0.2,0,19,3.7,2.9,3.9,65.6,1.79,1.87,2.4,2.25,2.08,3.32,3.2,3.93,3.3,3.03,3.36,2.67,2024-04-09,40,0.89
SME_00010,Ekiti,South-West,Urban,Wholesale and Retail Trade,2,29,85.0,Partnership,32,Male,No Formal Education,N/A,0,7.5,3.0,2.5,1.5,1.8,1.9,3.3,1.0,1.0,1.0,1.0,2.52,4.2,3.1,4.2,3.1,3.3,4.0,3.2,3.4,4.1,3.6,2.6,2.0,2.3,4.3,3.6,3.8,3.6,1.6,4.0,2.1,3.7,2.9,3.5,3.8,3.8,2.7,2.6,3.8,3.6,3.9,5.2,20.9,7.0,1,17,3.1,3.2,3.8,69.3,1.8,3.83,3.17,3.6,3.1,2.42,3.9,3.07,2.9,3.7,3.2,3.03,2024-02-24,45,0.98
