Year,Quarter,Agriculture_Growth_Percent,Mining_Quarrying_Growth_Percent,Manufacturing_Growth_Percent,Electricity_Gas_Steam_Growth_Percent,Water_Supply_Growth_Percent,Construction_Growth_Percent,Trade_Growth_Percent,Transportation_Storage_Growth_Percent,Accommodation_Food_Growth_Percent,Information_Communication_Growth_Percent,Financial_Insurance_Growth_Percent,Real_Estate_Growth_Percent,Professional_Services_Growth_Percent,Administrative_Services_Growth_Percent,Public_Administration_Growth_Percent,Education_Growth_Percent,Health_Social_Work_Growth_Percent,Arts_Entertainment_Growth_Percent,Other_Services_Growth_Percent,Data_Source
2018,Q1,3.05,-2.35,0.77,26.35,9.52,4.73,0.35,-14.57,5.23,9.12,1.48,8.25,12.34,7.89,2.15,4.67,3.89,6.78,5.12,NBS
2018,Q2,1.19,-12.45,0.55,9.75,8.89,5.12,-1.25,-11.23,4.67,10.45,2.34,7.89,11.67,8.23,1.89,5.12,4.23,7.34,4.89,NBS
2018,Q3,1.85,-10.15,1.18,15.23,7.67,6.45,1.78,-8.67,5.89,11.78,3.12,8.67,13.45,9.12,2.67,5.89,4.78,8.12,5.67,NBS
2018,Q4,3.41,-5.35,2.25,20.67,9.23,7.89,2.45,-6.23,6.78,12.34,4.56,9.23,14.67,10.45,3.23,6.34,5.45,9.67,6.23,NBS
2019,Q1,3.17,-2.75,1.01,22.15,8.67,5.23,1.89,-8.45,5.67,8.89,2.78,7.45,11.23,8.67,2.45,4.89,4.12,7.89,5.34,NBS
2019,Q2,1.79,-8.89,0.94,18.45,7.89,6.12,0.67,-10.67,4.89,9.67,3.45,8.12,12.67,9.23,1.78,5.45,4.67,8.45,4.78,NBS
2019,Q3,2.28,-6.23,1.65,25.89,8.45,7.67,2.12,-7.89,6.23,10.89,4.12,9.45,13.89,10.67,2.89,6.12,5.23,9.12,5.89,NBS
2019,Q4,2.31,-4.67,2.18,28.34,9.12,8.23,2.78,-5.67,7.45,11.45,5.23,10.12,15.23,11.89,3.45,6.78,5.89,10.45,6.67,NBS
2020,Q1,2.15,-19.76,-1.51,-26.43,5.89,1.23,-2.45,-15.23,2.34,12.90,7.89,6.78,8.45,5.67,1.23,3.89,3.45,4.12,2.89,NBS
2020,Q2,1.58,-6.63,-8.78,-27.27,3.45,-5.67,-8.89,-25.67,-12.34,14.23,9.12,4.23,5.67,2.89,-1.45,2.12,1.78,1.23,0.67,NBS
2020,Q3,1.39,-13.92,-1.76,-14.76,4.12,-2.34,-5.23,-18.45,-8.67,15.67,10.45,5.67,7.23,4.12,0.89,3.45,2.89,2.67,1.89,NBS
2020,Q4,3.42,-19.99,1.49,-9.25,5.67,0.89,-1.78,-12.23,-4.89,17.23,12.67,7.12,9.45,6.23,2.34,4.78,4.12,4.23,3.45,NBS
2021,Q1,2.28,-20.35,3.40,26.35,6.89,2.45,1.23,-8.67,1.78,18.45,14.23,8.45,11.67,7.89,3.12,5.67,5.23,6.78,4.89,NBS
2021,Q2,1.50,-12.65,8.69,30.67,7.45,4.12,3.67,-5.23,4.89,19.78,15.67,9.78,13.45,9.12,4.23,6.89,6.45,8.12,6.23,NBS
2021,Q3,1.30,-10.73,4.46,28.89,8.12,5.89,5.23,-2.45,7.67,21.23,17.45,11.23,15.67,10.89,5.67,7.78,7.89,9.67,7.45,NBS
2021,Q4,3.58,-8.19,3.35,25.12,9.23,7.45,6.78,0.89,9.45,22.67,19.23,12.67,17.89,12.34,6.89,8.67,9.12,11.23,8.78,NBS
2022,Q1,3.61,-26.35,4.21,12.45,7.89,6.23,4.89,-1.23,6.78,10.67,8.45,9.23,12.67,8.89,4.12,6.45,5.78,7.89,5.67,NBS
2022,Q2,1.50,-11.77,4.84,19.78,8.45,7.67,6.12,2.45,8.89,12.34,10.23,10.78,14.23,10.45,5.67,7.89,7.23,9.45,7.12,NBS
2022,Q3,1.55,-22.67,2.27,15.23,9.12,8.89,7.45,4.67,10.23,14.67,12.45,12.34,16.78,12.67,6.89,9.12,8.67,11.12,8.45,NBS
2022,Q4,1.37,-13.38,4.65,22.89,10.45,10.12,8.78,6.23,12.67,16.89,14.78,14.12,18.45,14.23,8.12,10.67,10.23,12.89,9.78,NBS
2023,Q1,1.50,-4.55,1.30,28.67,9.78,9.45,7.23,5.89,11.45,18.23,16.34,13.67,17.12,13.45,7.67,9.89,9.45,11.67,9.12,NBS
2023,Q2,1.76,-0.33,2.77,32.45,10.89,11.23,9.67,7.45,13.78,20.67,18.89,15.89,19.67,15.78,9.23,11.45,11.12,13.45,10.67,NBS
2023,Q3,2.09,2.75,2.90,35.12,11.67,12.78,11.23,9.12,15.45,22.34,21.23,17.45,21.89,17.34,10.78,12.89,12.67,15.12,12.23,NBS
2023,Q4,1.96,1.25,3.52,38.67,12.45,14.23,12.89,10.78,17.12,24.67,23.78,19.23,24.12,19.67,12.34,14.45,14.23,17.67,14.12,NBS
2024,Q1,2.13,0.87,2.18,25.34,11.23,13.45,11.67,9.45,15.78,21.89,20.45,17.89,22.34,18.12,11.67,13.23,13.45,16.23,13.67,NBS
2024,Q2,2.45,1.52,3.89,30.78,12.67,15.12,13.45,11.23,18.34,25.12,24.67,20.67,25.78,21.45,13.89,15.67,15.89,18.45,15.23,NBS
2024,Q3,2.78,2.34,4.23,33.45,13.89,16.78,14.89,12.67,20.12,27.67,27.23,22.45,28.12,23.78,15.45,17.23,17.45,20.67,16.89,NBS
