Year,Month,Inflation_Rate_Percent,Food_Inflation_Percent,Core_Inflation_Percent,Urban_Inflation_Percent,Rural_Inflation_Percent,Data_Source,Methodology
2010,12,13.74,17.59,10.28,12.89,14.52,NBS,Consumer Price Index
2011,12,10.84,9.38,12.76,9.87,11.73,NBS,Consumer Price Index
2012,12,12.01,11.46,12.83,11.23,12.74,NBS,Consumer Price Index
2013,12,8.48,8.69,8.21,7.92,8.98,NBS,Consumer Price Index
2014,12,8.06,9.03,7.80,7.45,8.61,NBS,Consumer Price Index
2015,12,9.55,10.23,8.97,8.89,10.14,NBS,Consumer Price Index
2016,12,18.55,17.37,16.85,17.12,19.83,NBS,Consumer Price Index
2017,12,15.37,19.23,12.68,14.89,15.78,NBS,Consumer Price Index
2018,12,11.44,13.56,9.67,10.89,11.94,NBS,Consumer Price Index
2019,12,11.40,14.67,8.51,10.67,12.05,NBS,Consumer Price Index
2020,12,15.75,19.56,11.09,14.89,16.45,NBS,Consumer Price Index
2021,12,15.63,17.37,13.87,14.23,16.89,NBS,Consumer Price Index
2022,12,21.34,23.75,19.16,20.45,22.11,NBS,Consumer Price Index
2023,12,28.92,33.93,23.75,27.12,30.45,NBS,Consumer Price Index
2024,6,34.19,40.87,27.58,32.45,35.67,NBS,Consumer Price Index
2024,7,33.40,39.53,26.98,31.78,34.89,NBS,Consumer Price Index
2024,8,32.15,37.52,26.67,30.89,33.23,NBS,Consumer Price Index
2024,9,32.70,37.77,27.58,31.23,34.01,NBS,Consumer Price Index
2024,10,33.88,39.16,28.37,32.45,35.12,NBS,Consumer Price Index
