Year,Quarter,E_Government_Development_Index,Digital_Competitiveness_Ranking,Cybersecurity_Index_Score,AI_Readiness_Index,Blockchain_Adoption_Score,Cloud_Computing_Adoption_Percent,IoT_Device_Penetration_Per_1000,Digital_Skills_Index,E_Commerce_Readiness_Index,Digital_Payment_Adoption_Percent,Social_Media_Penetration_Percent,Digital_Literacy_Rate_Percent,Tech_Startup_Ecosystem_Score,Innovation_Index_Score,R_D_Expenditure_Percent_GDP,Patent_Applications_Per_Million,High_Tech_Exports_Percent_Manufacturing,Data_Source,Composite_Digital_Index
2018,Q4,0.4571,109,0.3567,2.1,1.8,12.4,2.3,3.2,0.4123,15.7,18.9,32.1,2.8,28.5,0.22,0.8,0.15,UN|WEF|ITU,3.45
2019,Q4,0.4823,105,0.3789,2.4,2.1,16.8,3.1,3.6,0.4456,21.3,23.4,36.7,3.2,31.2,0.24,1.2,0.18,UN|WEF|ITU,3.78
2020,Q4,0.5234,98,0.4123,2.8,2.5,23.7,4.2,4.1,0.4967,28.9,31.2,42.3,3.8,34.7,0.26,1.7,0.22,UN|WEF|ITU,4.23
2021,Q4,0.5678,92,0.4567,3.2,3.1,32.4,5.8,4.7,0.5456,37.8,39.6,48.9,4.5,38.9,0.28,2.3,0.26,UN|WEF|ITU,4.78
2022,Q4,0.6123,87,0.5012,3.7,3.8,42.6,7.9,5.4,0.5967,48.2,48.7,56.1,5.3,43.4,0.31,3.1,0.31,UN|WEF|ITU,5.45
2023,Q4,0.6589,82,0.5478,4.3,4.6,54.3,10.7,6.2,0.6523,59.7,58.9,63.8,6.2,48.7,0.34,4.2,0.37,UN|WEF|ITU,6.23
2024,Q3,0.7012,78,0.5934,4.9,5.5,67.8,14.2,7.1,0.7089,72.4,69.3,71.9,7.3,54.2,0.37,5.6,0.44,UN|WEF|ITU,7.12
2018,Q1,0.4234,112,0.3289,1.9,1.5,10.2,1.8,2.9,0.3876,12.3,15.7,28.9,2.4,26.1,0.21,0.6,0.12,UN|WEF|ITU,3.12
2018,Q2,0.4367,111,0.3401,2.0,1.6,11.1,2.0,3.0,0.3967,13.8,16.8,30.2,2.6,27.2,0.21,0.7,0.13,UN|WEF|ITU,3.25
2018,Q3,0.4489,110,0.3523,2.0,1.7,11.8,2.1,3.1,0.4034,14.9,17.6,31.1,2.7,27.9,0.22,0.7,0.14,UN|WEF|ITU,3.34
2019,Q1,0.4634,108,0.3634,2.2,1.9,14.2,2.6,3.3,0.4234,18.7,20.3,34.5,2.9,29.8,0.23,0.9,0.16,UN|WEF|ITU,3.56
2019,Q2,0.4701,107,0.3689,2.3,2.0,15.3,2.8,3.4,0.4323,19.8,21.4,35.2,3.0,30.4,0.23,1.0,0.17,UN|WEF|ITU,3.65
2019,Q3,0.4778,106,0.3756,2.3,2.0,15.9,2.9,3.5,0.4401,20.6,22.1,35.8,3.1,30.9,0.24,1.1,0.17,UN|WEF|ITU,3.71
2020,Q1,0.4934,102,0.3934,2.5,2.2,19.8,3.5,3.8,0.4634,24.5,27.8,39.1,3.4,32.8,0.25,1.4,0.19,UN|WEF|ITU,3.98
2020,Q2,0.5067,100,0.4012,2.6,2.3,21.2,3.8,3.9,0.4756,26.1,29.1,40.4,3.6,33.6,0.25,1.5,0.20,UN|WEF|ITU,4.08
2020,Q3,0.5156,99,0.4089,2.7,2.4,22.4,4.0,4.0,0.4867,27.3,30.2,41.5,3.7,34.2,0.26,1.6,0.21,UN|WEF|ITU,4.15
2021,Q1,0.5345,95,0.4234,2.9,2.7,27.8,4.9,4.3,0.5123,32.1,34.7,45.2,4.0,36.1,0.27,1.9,0.23,UN|WEF|ITU,4.45
2021,Q2,0.5456,94,0.4345,3.0,2.9,29.7,5.3,4.5,0.5234,34.2,36.4,46.8,4.2,37.2,0.27,2.0,0.24,UN|WEF|ITU,4.58
2021,Q3,0.5578,93,0.4456,3.1,3.0,31.2,5.6,4.6,0.5345,35.8,37.8,47.9,4.3,38.1,0.28,2.2,0.25,UN|WEF|ITU,4.67
2022,Q1,0.5789,90,0.4678,3.4,3.4,36.7,6.8,5.0,0.5567,42.3,43.2,51.8,4.8,40.7,0.29,2.6,0.28,UN|WEF|ITU,5.12
2022,Q2,0.5923,89,0.4789,3.5,3.6,38.9,7.3,5.2,0.5678,44.8,45.1,53.4,5.0,41.8,0.30,2.8,0.29,UN|WEF|ITU,5.25
2022,Q3,0.6034,88,0.4889,3.6,3.7,40.7,7.7,5.3,0.5789,46.9,46.7,54.8,5.2,42.7,0.30,2.9,0.30,UN|WEF|ITU,5.34
2023,Q1,0.6234,85,0.5123,4.0,4.1,47.8,9.1,5.8,0.6012,52.3,52.4,59.2,5.7,45.8,0.32,3.5,0.34,UN|WEF|ITU,5.78
2023,Q2,0.6378,84,0.5234,4.1,4.3,50.2,9.7,6.0,0.6123,55.1,54.8,61.1,6.0,47.1,0.33,3.8,0.35,UN|WEF|ITU,5.95
2023,Q3,0.6489,83,0.5345,4.2,4.5,52.1,10.2,6.1,0.6234,57.4,56.9,62.7,6.1,48.2,0.33,4.0,0.36,UN|WEF|ITU,6.08
2024,Q1,0.6734,80,0.5567,4.6,5.1,61.2,12.3,6.7,0.6567,65.8,63.7,67.4,6.8,51.3,0.35,4.9,0.40,UN|WEF|ITU,6.67
2024,Q2,0.6889,79,0.5734,4.8,5.3,64.7,13.1,6.9,0.6789,69.1,66.2,69.4,7.1,52.8,0.36,5.2,0.42,UN|WEF|ITU,6.89
