welding_technique,anode_material,cathode_material,surface_finish,power_W,amplitude_um,force_N,time_ms,frequency_Hz,speed_mm_s,tab_thickness_um,preheat_temp_C,energy_density_J_mm2,pred_thermal_cycles_to_failure,pred_contact_resistance_uOhm,pred_tensile_shear_strength_N,pred_IMC_thickness_um,pred_overall_quality_score,desirability
,Cu,Al,Ni-Plated,2896.552453856121,39.31423469264027,1464.5743671615037,780.3678487917673,20000.0,0.0,150,40,1506.9176048854772,2460.7587653895293,40.73002416833589,924.0921264622416,1.8089392459329363,68.89960256069222,0.7439981826739696
,Cu,Al-Alloy-1050,Ni-Plated,2735.716333242537,23.29941854660204,1217.4053270048682,798.4198247740514,20000.0,0.0,150,40,1456.1667702793447,2528.6693480663002,41.581510458590316,856.5450305955898,1.9456187448064828,67.93782360659637,0.7427162975179682
,Ni-plated-Cu,Al-Alloy-1050,Ni-Plated,2972.050069068936,20.821059772545535,1390.0748007293025,788.2817609747781,20000.0,0.0,150,40,1561.8752414339144,2474.8962416629483,39.80625178950371,870.5209592400023,1.9297765358405394,67.55576418771848,0.742672224375682
,Cu,Al-Alloy-1050,Ni-Plated,2819.9165975829155,22.62141887967665,1261.057586102475,774.929324362234,20000.0,0.0,150,40,1456.824042481852,2519.7836813996337,41.03234622717801,844.7687279760029,1.9185541935674977,67.81610731813554,0.7422465821853884
,Cu,Al-Alloy-1050,Ni-Plated,2891.142779679681,21.35655808103269,1264.6884374173287,795.0473044159816,20000.0,0.0,150,40,1532.3968491107057,2503.3292349710623,40.837171520030005,848.7733986080887,1.9459291830937524,67.96133504899716,0.7414248859695225
,Cu,Al,Ni-Plated,2899.092063760252,32.776270997601074,1440.7868582849896,775.1236793893819,20000.0,0.0,150,40,1498.1032715669355,2465.750154278418,41.13487653700463,924.3564525987176,1.7841672616672175,66.96585137255889,0.7412348018903492
,Cu,Al-Alloy-1050,Ni-Plated,2940.683537372781,34.728381403315204,1399.5567881363331,750.4225941869205,20000.0,0.0,150,40,1471.1702458653679,2470.2050011234196,42.35366483150101,890.2059659295045,1.8535171427681396,66.84693890911971,0.7349972243226176
,Ni-plated-Cu,Al,Ni-Plated,2826.889632654298,38.07183399722689,1444.3121601143112,787.2142656841728,20000.0,0.0,150,40,1483.5785642267695,2436.777944918812,41.71422901098263,906.3834817078065,1.7751671734293686,67.11838540658319,0.7346402836220655
,Cu,Al-Alloy-1050,Ni-Plated,2907.594434455633,34.821856582411854,1252.93570251084,749.0328502861337,20000.0,0.0,150,40,1451.9224978109344,2476.91373451941,41.877579579084895,858.3560961231198,1.8634929743693576,66.8379598953585,0.7346182542295729
,Cu,Al,Ni-Plated,2070.5618289972335,23.945516906733424,1168.7827521761687,793.9933259425238,20000.0,0.0,150,40,1096.0081821167657,2515.1809136934057,41.14679051454625,769.5780325530848,1.9438551624489506,67.74077903368146,0.7343834591743158
,Cu,Al,Ni-Plated,2816.296891699172,30.616262364529348,1473.5453449671513,749.674384578235,20000.0,0.0,150,40,1407.5370927161155,2469.937632300396,41.91662886983861,843.0033711002332,1.790664588611327,68.49280224762302,0.7341370550847267
,Ni-plated-Cu,Al-Alloy-1050,Ni-Plated,2688.571146215315,20.246111314001055,1467.0130479695367,768.5964484813953,20000.0,0.0,150,40,1377.6174896470968,2478.8504797581863,41.57837797573286,815.7970531604742,1.8800715277631315,68.6293880914069,0.733998434090609
,Ni-plated-Cu,Al,Ni-Plated,2718.3733450587356,20.75009147191157,1236.550080693808,767.0526575242624,20000.0,0.0,150,40,1390.0903323136147,2497.6865597188353,42.42602969850564,830.9440599968215,1.8053338063018112,67.15448378162897,0.7332950815973036
