Temperature_C,CTE_1e-6_K,Youngs_Modulus_GPa,Poissons_Ratio,Shear_Viscosity_Pa_s,Density_kg_m3,Thermal_Conductivity_W_mK,Specific_Heat_J_kgK,Layer_Type
25,11.0,180.2,0.29,1.8e+15,5920,2.9,520,GDC_Barrier
100,11.2,177.3,0.29,1.3e+15,5916,3.0,535,GDC_Barrier
200,11.4,172.8,0.30,6.8e+14,5910,3.2,555,GDC_Barrier
300,11.6,167.8,0.30,3.2e+14,5903,3.4,575,GDC_Barrier
400,11.8,162.3,0.30,1.4e+14,5895,3.6,595,GDC_Barrier
500,12.0,156.2,0.31,5.8e+13,5886,3.8,615,GDC_Barrier
600,12.2,149.6,0.31,2.3e+13,5876,4.0,635,GDC_Barrier
700,12.4,142.5,0.31,8.9e+12,5865,4.2,655,GDC_Barrier
800,12.6,134.8,0.32,3.3e+12,5853,4.4,675,GDC_Barrier
900,12.8,126.6,0.32,1.2e+12,5839,4.6,695,GDC_Barrier
1000,13.0,117.9,0.32,4.2e+11,5824,4.8,715,GDC_Barrier
1100,13.2,108.6,0.33,1.4e+11,5808,5.0,735,GDC_Barrier
1200,13.4,98.8,0.33,4.5e+10,5790,5.2,755,GDC_Barrier
1300,13.6,88.5,0.33,1.4e+10,5771,5.4,775,GDC_Barrier
1400,13.8,77.6,0.34,4.2e+09,5750,5.6,795,GDC_Barrier
1450,13.9,72.1,0.34,2.5e+09,5739,5.7,805,GDC_Barrier
1500,14.0,66.4,0.34,1.5e+09,5727,5.8,815,GDC_Barrier
1550,14.1,60.5,0.35,9.2e+08,5714,5.9,825,GDC_Barrier
1600,14.2,54.3,0.35,5.5e+08,5700,6.0,835,GDC_Barrier
25,10.8,195.4,0.30,2.2e+15,6100,2.7,480,SDC_Interlayer
100,10.9,192.6,0.30,1.6e+15,6096,2.8,495,SDC_Interlayer
200,11.1,188.1,0.30,8.1e+14,6090,3.0,515,SDC_Interlayer
300,11.3,183.0,0.31,3.8e+14,6083,3.2,535,SDC_Interlayer
400,11.5,177.4,0.31,1.7e+14,6075,3.4,555,SDC_Interlayer
500,11.7,171.2,0.31,6.9e+13,6066,3.6,575,SDC_Interlayer
600,11.9,164.5,0.32,2.7e+13,6056,3.8,595,SDC_Interlayer
700,12.1,157.2,0.32,1.0e+13,6045,4.0,615,SDC_Interlayer
800,12.3,149.4,0.32,3.9e+12,6033,4.2,635,SDC_Interlayer
900,12.5,141.1,0.33,1.4e+12,6019,4.4,655,SDC_Interlayer
1000,12.7,132.2,0.33,5.0e+11,6004,4.6,675,SDC_Interlayer
1100,12.9,122.8,0.33,1.7e+11,5988,4.8,695,SDC_Interlayer
1200,13.1,112.9,0.34,5.4e+10,5970,5.0,715,SDC_Interlayer
1300,13.3,102.4,0.34,1.6e+10,5951,5.2,735,SDC_Interlayer
1400,13.5,91.4,0.34,4.9e+09,5930,5.4,755,SDC_Interlayer
1450,13.6,85.8,0.35,2.9e+09,5919,5.5,765,SDC_Interlayer
1500,13.7,80.0,0.35,1.7e+09,5907,5.6,775,SDC_Interlayer
1550,13.8,74.0,0.35,1.0e+09,5894,5.7,785,SDC_Interlayer
1600,13.9,67.8,0.36,6.2e+08,5880,5.8,795,SDC_Interlayer
