Temperature_C,CTE_1e-6_K,Youngs_Modulus_GPa,Poissons_Ratio,Shear_Viscosity_Pa_s,Density_kg_m3,Thermal_Conductivity_W_mK,Specific_Heat_J_kgK
25,10.5,210.5,0.31,2.5e+16,6050,2.5,450
100,10.6,207.8,0.31,1.8e+16,6046,2.6,465
200,10.8,203.2,0.31,9.2e+15,6040,2.8,485
300,11.0,198.1,0.32,4.5e+15,6033,3.0,505
400,11.2,192.5,0.32,2.0e+15,6025,3.2,525
500,11.4,186.3,0.32,8.5e+14,6016,3.4,545
600,11.6,179.6,0.33,3.4e+14,6006,3.6,565
700,11.8,172.3,0.33,1.3e+14,5995,3.8,585
800,12.0,164.5,0.33,4.8e+13,5982,4.0,605
900,12.2,156.1,0.34,1.7e+13,5968,4.2,625
1000,12.4,147.2,0.34,5.8e+12,5953,4.4,645
1100,12.6,137.7,0.34,1.9e+12,5936,4.6,665
1200,12.8,127.6,0.35,6.2e+11,5918,4.8,685
1300,13.0,117.0,0.35,1.9e+11,5898,5.0,705
1400,13.2,105.8,0.35,5.8e+10,5876,5.2,725
1450,13.3,100.1,0.36,3.5e+10,5864,5.3,735
1500,13.4,94.2,0.36,2.1e+10,5852,5.4,745
1550,13.5,88.1,0.36,1.3e+10,5838,5.5,755
1600,13.6,81.8,0.37,7.8e+09,5824,5.6,765
