Sample_ID,Temperature_C,Time_min,Porosity_percent,Mean_Pore_Size_um,Pore_Size_Std_Dev_um,Mean_Grain_Size_um,Grain_Size_Std_Dev_um,Tortuosity,Triple_Phase_Boundary_Density_um_um3,Connectivity_Factor,Imaging_Method
MS001,1200,0,45.0,2.85,1.42,0.82,0.28,4.82,0.185,0.42,SEM
MS002,1200,30,42.8,2.68,1.35,0.91,0.31,4.65,0.198,0.45,SEM
MS003,1200,60,40.2,2.52,1.28,1.02,0.35,4.48,0.212,0.48,SEM
MS004,1200,120,36.5,2.28,1.18,1.18,0.41,4.22,0.235,0.53,XCT
MS005,1200,180,32.8,2.05,1.08,1.35,0.48,3.95,0.258,0.58,XCT
MS006,1200,240,28.5,1.78,0.95,1.58,0.57,3.62,0.288,0.64,XCT
MS007,1200,300,24.2,1.52,0.82,1.85,0.68,3.28,0.318,0.70,XCT
MS008,1200,360,20.8,1.32,0.72,2.15,0.82,2.98,0.342,0.75,XCT
MS009,1250,0,45.0,2.85,1.42,0.82,0.28,4.82,0.185,0.42,SEM
MS010,1250,30,41.5,2.58,1.31,0.98,0.34,4.52,0.208,0.48,SEM
MS011,1250,60,37.8,2.32,1.19,1.15,0.41,4.18,0.235,0.54,SEM
MS012,1250,120,32.2,1.98,1.02,1.42,0.52,3.72,0.275,0.62,XCT
MS013,1250,180,27.5,1.68,0.88,1.75,0.65,3.32,0.315,0.70,XCT
MS014,1250,240,22.8,1.42,0.75,2.12,0.82,2.92,0.358,0.78,XCT
MS015,1250,300,18.5,1.18,0.62,2.58,1.02,2.58,0.398,0.85,XCT
MS016,1250,360,15.2,0.98,0.52,3.08,1.25,2.32,0.428,0.90,XCT
MS017,1300,0,45.0,2.85,1.42,0.82,0.28,4.82,0.185,0.42,SEM
MS018,1300,30,40.2,2.48,1.26,1.08,0.38,4.38,0.222,0.52,SEM
MS019,1300,60,35.5,2.15,1.11,1.35,0.49,3.95,0.262,0.61,SEM
MS020,1300,120,28.8,1.75,0.92,1.78,0.68,3.38,0.318,0.72,XCT
MS021,1300,180,23.2,1.42,0.75,2.28,0.92,2.88,0.372,0.82,XCT
MS022,1300,240,18.5,1.15,0.61,2.85,1.18,2.48,0.418,0.88,XCT
MS023,1300,300,14.8,0.92,0.49,3.52,1.48,2.18,0.452,0.92,XCT
MS024,1300,360,11.5,0.75,0.40,4.28,1.82,1.95,0.478,0.95,XCT
MS025,1350,0,45.0,2.85,1.42,0.82,0.28,4.82,0.185,0.42,SEM
MS026,1350,30,38.8,2.38,1.22,1.18,0.42,4.22,0.238,0.56,SEM
MS027,1350,60,33.2,2.02,1.05,1.55,0.58,3.72,0.288,0.68,SEM
MS028,1350,120,25.5,1.58,0.82,2.08,0.85,3.08,0.362,0.80,XCT
MS029,1350,180,19.8,1.25,0.65,2.72,1.15,2.58,0.425,0.88,XCT
MS030,1350,240,15.2,0.98,0.52,3.48,1.52,2.22,0.472,0.92,XCT
MS031,1350,300,11.8,0.78,0.42,4.35,1.95,1.95,0.505,0.95,XCT
MS032,1350,360,9.2,0.62,0.34,5.38,2.48,1.75,0.528,0.97,XCT
MS033,1400,0,45.0,2.85,1.42,0.82,0.28,4.82,0.185,0.42,SEM
MS034,1400,30,37.5,2.28,1.18,1.28,0.46,4.05,0.255,0.60,SEM
MS035,1400,60,31.2,1.88,0.98,1.75,0.68,3.52,0.318,0.74,SEM
MS036,1400,120,22.8,1.42,0.75,2.45,1.02,2.82,0.405,0.85,XCT
MS037,1400,180,16.5,1.08,0.58,3.28,1.42,2.32,0.475,0.92,XCT
MS038,1400,240,12.2,0.82,0.45,4.25,1.88,1.98,0.522,0.95,XCT
MS039,1400,300,9.5,0.65,0.36,5.38,2.48,1.75,0.552,0.97,XCT
MS040,1400,360,7.5,0.52,0.29,6.72,3.22,1.58,0.575,0.98,XCT
MS041,1450,0,45.0,2.85,1.42,0.82,0.28,4.82,0.185,0.42,SEM
MS042,1450,30,36.2,2.18,1.12,1.38,0.50,3.88,0.272,0.64,SEM
MS043,1450,60,29.5,1.78,0.92,1.92,0.78,3.35,0.345,0.78,SEM
MS044,1450,120,20.8,1.32,0.72,2.78,1.18,2.65,0.445,0.88,XCT
MS045,1450,180,14.5,0.98,0.52,3.85,1.68,2.15,0.515,0.93,XCT
MS046,1450,240,10.5,0.72,0.40,5.12,2.28,1.82,0.562,0.96,XCT
MS047,1450,300,7.8,0.55,0.31,6.58,3.02,1.62,0.592,0.97,XCT
MS048,1450,360,6.2,0.45,0.26,8.28,3.92,1.48,0.612,0.98,XCT
MS049,1500,0,45.0,2.85,1.42,0.82,0.28,4.82,0.185,0.42,SEM
MS050,1500,30,35.2,2.08,1.08,1.48,0.54,3.72,0.288,0.68,SEM
MS051,1500,60,27.8,1.68,0.88,2.12,0.88,3.18,0.375,0.82,SEM
MS052,1500,120,18.5,1.18,0.62,3.18,1.38,2.42,0.488,0.91,XCT
MS053,1500,180,12.8,0.88,0.48,4.52,2.05,1.95,0.562,0.95,XCT
MS054,1500,240,9.2,0.65,0.36,6.08,2.88,1.68,0.612,0.97,XCT
MS055,1500,300,6.8,0.50,0.28,7.92,3.82,1.48,0.642,0.98,XCT
MS056,1500,360,5.5,0.42,0.24,9.98,4.95,1.35,0.662,0.99,XCT
