Sample_ID,Temperature_C,Time_min,Porosity_percent,Mean_Pore_Size_um,Pore_Size_Std_Dev_um,Mean_Grain_Size_um,Grain_Size_Std_Dev_um,Tortuosity,Ionic_Conductivity_S_cm,Connectivity_Factor,Imaging_Method
YSZ001,1300,0,50.0,1.85,0.92,0.65,0.22,5.25,0.018,0.38,SEM
YSZ002,1300,30,47.2,1.72,0.88,0.72,0.25,5.05,0.022,0.42,SEM
YSZ003,1300,60,44.5,1.62,0.82,0.81,0.28,4.85,0.026,0.45,SEM
YSZ004,1300,120,40.8,1.48,0.75,0.95,0.33,4.52,0.032,0.50,XCT
YSZ005,1300,180,37.2,1.35,0.68,1.12,0.39,4.22,0.038,0.55,XCT
YSZ006,1300,240,33.5,1.22,0.62,1.32,0.46,3.88,0.045,0.61,XCT
YSZ007,1300,300,29.8,1.08,0.55,1.55,0.55,3.55,0.052,0.67,XCT
YSZ008,1300,360,26.5,0.98,0.50,1.82,0.65,3.25,0.058,0.72,XCT
YSZ009,1350,0,50.0,1.85,0.92,0.65,0.22,5.25,0.018,0.38,SEM
YSZ010,1350,30,45.8,1.68,0.85,0.78,0.27,4.88,0.025,0.44,SEM
YSZ011,1350,60,41.8,1.52,0.78,0.92,0.32,4.52,0.032,0.50,SEM
YSZ012,1350,120,36.5,1.32,0.68,1.15,0.40,4.05,0.042,0.58,XCT
YSZ013,1350,180,31.8,1.15,0.59,1.42,0.50,3.62,0.052,0.66,XCT
YSZ014,1350,240,27.2,0.98,0.51,1.75,0.62,3.22,0.062,0.74,XCT
YSZ015,1350,300,22.8,0.85,0.44,2.12,0.78,2.85,0.072,0.81,XCT
YSZ016,1350,360,19.5,0.75,0.39,2.55,0.95,2.55,0.080,0.86,XCT
YSZ017,1400,0,50.0,1.85,0.92,0.65,0.22,5.25,0.018,0.38,SEM
YSZ018,1400,30,44.5,1.62,0.82,0.85,0.30,4.72,0.028,0.48,SEM
YSZ019,1400,60,39.2,1.42,0.72,1.05,0.37,4.25,0.038,0.56,SEM
YSZ020,1400,120,32.8,1.18,0.61,1.38,0.49,3.65,0.052,0.67,XCT
YSZ021,1400,180,27.2,0.98,0.51,1.78,0.65,3.12,0.068,0.77,XCT
YSZ022,1400,240,22.5,0.82,0.43,2.25,0.85,2.68,0.082,0.84,XCT
YSZ023,1400,300,18.2,0.68,0.36,2.82,1.08,2.32,0.095,0.89,XCT
YSZ024,1400,360,15.2,0.58,0.31,3.48,1.35,2.05,0.105,0.92,XCT
YSZ025,1450,0,50.0,1.85,0.92,0.65,0.22,5.25,0.018,0.38,SEM
YSZ026,1450,30,43.2,1.58,0.80,0.92,0.32,4.58,0.032,0.52,SEM
YSZ027,1450,60,36.8,1.35,0.68,1.18,0.42,4.02,0.045,0.62,SEM
YSZ028,1450,120,29.5,1.08,0.56,1.58,0.58,3.35,0.065,0.75,XCT
YSZ029,1450,180,23.8,0.88,0.46,2.08,0.78,2.82,0.085,0.85,XCT
YSZ030,1450,240,18.8,0.72,0.38,2.68,1.02,2.42,0.102,0.91,XCT
YSZ031,1450,300,15.2,0.58,0.31,3.38,1.32,2.12,0.115,0.94,XCT
YSZ032,1450,360,12.5,0.48,0.26,4.18,1.68,1.88,0.125,0.96,XCT
YSZ033,1500,0,50.0,1.85,0.92,0.65,0.22,5.25,0.018,0.38,SEM
YSZ034,1500,30,41.8,1.52,0.78,1.02,0.36,4.42,0.038,0.56,SEM
YSZ035,1500,60,34.5,1.25,0.64,1.38,0.50,3.82,0.055,0.68,SEM
YSZ036,1500,120,26.2,0.98,0.51,1.92,0.72,3.08,0.080,0.82,XCT
YSZ037,1500,180,20.2,0.78,0.41,2.58,1.00,2.55,0.105,0.90,XCT
YSZ038,1500,240,15.8,0.62,0.33,3.38,1.35,2.18,0.125,0.94,XCT
YSZ039,1500,300,12.5,0.50,0.27,4.32,1.78,1.88,0.140,0.96,XCT
YSZ040,1500,360,10.2,0.42,0.23,5.42,2.32,1.68,0.150,0.97,XCT
