Parameter,Material,Minimum_Value,Maximum_Value,Optimal_Range_Min,Optimal_Range_Max,Unit,Constraint_Type,Physical_Limit,Safety_Factor
Heating_Rate,NiO-YSZ,1,15,3,7,C/min,Process,20,1.5
Heating_Rate,YSZ,1,12,3,6,C/min,Process,18,1.5
Peak_Temperature,NiO-YSZ,1150,1500,1250,1400,C,Equipment,1600,1.1
Peak_Temperature,YSZ,1250,1550,1350,1500,C,Equipment,1600,1.1
Hold_Time,NiO-YSZ,30,480,90,240,min,Process,720,1.5
Hold_Time,YSZ,30,480,120,300,min,Process,720,1.5
Cooling_Rate,NiO-YSZ,2,15,3,8,C/min,Process,20,1.5
Cooling_Rate,YSZ,2,12,3,7,C/min,Process,18,1.5
Initial_Density,NiO-YSZ,50,65,53,58,percent,Material,70,1.2
Initial_Density,YSZ,45,60,48,55,percent,Material,65,1.2
Sample_Thickness,NiO-YSZ,0.5,2.5,0.8,1.5,mm,Geometric,5.0,2.0
Sample_Thickness,YSZ,0.3,2.0,0.5,1.2,mm,Geometric,4.0,2.0
Particle_Size,NiO-YSZ,0.3,2.0,0.6,1.2,um,Material,5.0,2.5
Particle_Size,YSZ,0.2,1.5,0.4,0.9,um,Material,3.0,2.0
Atmosphere_O2,NiO-YSZ,18,25,20,22,percent,Safety,100,4.0
Atmosphere_O2,YSZ,18,25,20,22,percent,Safety,100,4.0
Ramp_Segments,All,1,5,2,3,count,Control,8,2.0
Temperature_Gradient,NiO-YSZ,0,5,0.5,2.5,C/cm,Process,10,2.0
Temperature_Gradient,YSZ,0,4,0.3,2.0,C/cm,Process,8,2.0
Final_Density_Target,NiO-YSZ,70,95,80,92,percent,Performance,98,1.05
Final_Density_Target,YSZ,75,96,82,94,percent,Performance,99,1.05
Max_Warpage_Allowed,NiO-YSZ,0,0.35,0,0.20,mm,Quality,1.0,3.0
Max_Warpage_Allowed,YSZ,0,0.25,0,0.15,mm,Quality,0.8,3.0
