Experiment_ID,Material,Defect_Type,Defect_Location,Defect_Length_mm,Defect_Width_um,Defect_Depth_um,Number_of_Defects,Severity_Score_1_10,Critical_Defect,Formation_Stage
PWD001,NiO-YSZ,None,None,0,0,0,0,0,No,None
PWD002,NiO-YSZ,Surface_Pit,Random,0.5,125,45,12,2,No,Cooling
PWD003,NiO-YSZ,None,None,0,0,0,0,0,No,None
PWD004,NiO-YSZ,Surface_Pit,Random,0.8,152,58,18,3,No,Cooling
PWD005,NiO-YSZ,Microcrack,Edge,2.5,25,180,3,4,No,Cooling
PWD006,NiO-YSZ,Through_Crack,Corner,15.2,285,1200,1,9,Yes,Hold_Cooling
PWD007,NiO-YSZ,None,None,0,0,0,0,0,No,None
PWD008,NiO-YSZ,Surface_Pit,Random,1.2,185,72,25,3,No,Cooling
PWD009,NiO-YSZ,None,None,0,0,0,0,0,No,None
PWD010,NiO-YSZ,Surface_Pit,Random,1.5,218,88,32,4,No,Cooling
PWD011,NiO-YSZ,Microcrack,Corner,3.8,38,245,5,5,No,Cooling
PWD012,NiO-YSZ,Through_Crack,Corner,18.5,325,1200,2,10,Yes,Hold_Cooling
PWD013,NiO-YSZ,Surface_Pit,Random,1.8,245,95,38,4,No,Cooling
PWD014,NiO-YSZ,Microcrack,Edge,4.5,45,285,8,6,No,Cooling
PWD015,NiO-YSZ,Surface_Pit,Random,2.2,278,118,45,5,No,Cooling
PWD016,NiO-YSZ,Microcrack,Edge,5.2,52,325,12,6,No,Cooling
PWD017,NiO-YSZ,Microcrack,Corner,6.8,68,385,15,7,No,Cooling
PWD018,NiO-YSZ,Through_Crack,Corner,22.5,385,1200,3,10,Yes,Hold_Cooling
PWD019,NiO-YSZ,Microcrack,Edge,7.5,75,425,18,7,No,Hold_Cooling
PWD020,NiO-YSZ,Through_Crack,Edge,25.8,425,1200,2,10,Yes,Hold
PWD021,NiO-YSZ,Microcrack,Edge,8.2,82,468,22,8,No,Hold_Cooling
PWD022,NiO-YSZ,Through_Crack,Edge,28.5,468,1200,3,10,Yes,Hold
PWD023,NiO-YSZ,Through_Crack,Corner,32.5,525,1200,2,10,Yes,Hold
PWD024,NiO-YSZ,Through_Crack,Corner,38.2,585,1200,4,10,Yes,Hold
PWD025,NiO-YSZ,Through_Crack,Edge,35.8,568,1200,3,10,Yes,Hold
PWD026,NiO-YSZ,Through_Crack,Edge,42.5,645,1200,5,10,Yes,Hold
PWD027,NiO-YSZ,Through_Crack,Edge,38.5,598,1200,4,10,Yes,Hold
PWD028,NiO-YSZ,Through_Crack,Edge,45.8,685,1200,6,10,Yes,Hold
PWD029,NiO-YSZ,Through_Crack,Corner,42.2,628,1200,5,10,Yes,Heating_Hold
PWD030,NiO-YSZ,Through_Crack,Corner,48.5,725,1200,7,10,Yes,Heating_Hold
PWD031,NiO-YSZ,Surface_Pit,Random,1.8,228,92,35,4,No,Cooling
PWD032,NiO-YSZ,Microcrack,Edge,6.5,65,358,14,7,No,Cooling
PWD033,NiO-YSZ,Surface_Pit,Random,2.2,258,105,42,5,No,Cooling
PWD034,NiO-YSZ,Microcrack,Edge,7.8,78,398,18,7,No,Hold_Cooling
PWD035,NiO-YSZ,None,None,0,0,0,0,0,No,None
PWD036,NiO-YSZ,Surface_Pit,Random,1.2,168,68,22,3,No,Cooling
PWD037,YSZ,None,None,0,0,0,0,0,No,None
PWD038,YSZ,Surface_Pit,Random,0.3,85,28,8,1,No,Cooling
PWD039,YSZ,None,None,0,0,0,0,0,No,None
PWD040,YSZ,Surface_Pit,Random,0.5,98,32,12,2,No,Cooling
PWD041,YSZ,None,None,0,0,0,0,0,No,None
PWD042,YSZ,Surface_Pit,Random,0.8,125,45,18,2,No,Cooling
PWD043,YSZ,None,None,0,0,0,0,0,No,None
PWD044,YSZ,Surface_Pit,Random,1.0,142,52,22,3,No,Cooling
PWD045,YSZ,Surface_Pit,Random,1.2,168,62,28,3,No,Cooling
PWD046,YSZ,Microcrack,Edge,3.2,32,185,5,4,No,Cooling
PWD047,YSZ,Surface_Pit,Random,1.5,185,68,32,4,No,Cooling
PWD048,YSZ,Microcrack,Edge,3.8,38,215,7,5,No,Cooling
PWD049,YSZ,Microcrack,Edge,4.5,45,248,9,5,No,Cooling
PWD050,YSZ,Microcrack,Edge,6.2,62,325,15,6,No,Hold_Cooling
PWD051,YSZ,Microcrack,Edge,5.2,52,285,12,6,No,Cooling
PWD052,YSZ,Through_Crack,Edge,18.5,298,800,1,9,Yes,Hold_Cooling
PWD053,YSZ,Through_Crack,Edge,22.5,342,800,2,10,Yes,Hold
PWD054,YSZ,Through_Crack,Edge,28.8,425,800,3,10,Yes,Hold
PWD055,YSZ,Through_Crack,Edge,25.2,385,800,2,10,Yes,Hold
PWD056,YSZ,Through_Crack,Edge,32.5,485,800,4,10,Yes,Hold
PWD057,NiO-YSZ,Microcrack,Edge,5.8,58,338,10,6,No,Cooling
PWD058,NiO-YSZ,Microcrack,Edge,6.8,68,385,14,7,No,Cooling
PWD059,NiO-YSZ,Microcrack,Edge,7.5,75,428,16,7,No,Cooling
PWD060,NiO-YSZ,Through_Crack,Edge,26.5,445,1200,2,10,Yes,Cooling
