Experiment_ID,Material,Heating_Rate_C_min,Peak_Temperature_C,Hold_Time_min,Cooling_Rate_C_min,Atmosphere,Initial_Thickness_mm,Green_Density_percent,Final_Density_percent,Final_Warpage_mm,Cracking,Max_Warpage_Location,Comments
PWD001,NiO-YSZ,3,1200,120,5,Air,1.2,55,68.5,0.085,No,Edge,Baseline_low_temp
PWD002,NiO-YSZ,3,1200,240,5,Air,1.2,55,72.8,0.125,No,Edge,Extended_hold
PWD003,NiO-YSZ,5,1200,120,5,Air,1.2,55,68.2,0.092,No,Edge,Baseline_medium_rate
PWD004,NiO-YSZ,5,1200,240,5,Air,1.2,55,73.5,0.138,No,Edge,Extended_hold_medium_rate
PWD005,NiO-YSZ,10,1200,120,5,Air,1.2,55,71.2,0.158,No,Corner,Fast_heating
PWD006,NiO-YSZ,10,1200,240,5,Air,1.2,55,75.8,0.195,Yes,Corner,Fast_heating_extended
PWD007,NiO-YSZ,3,1250,120,5,Air,1.2,55,74.5,0.105,No,Edge,Moderate_temp
PWD008,NiO-YSZ,3,1250,240,5,Air,1.2,55,79.2,0.165,No,Edge,Moderate_temp_extended
PWD009,NiO-YSZ,5,1250,120,5,Air,1.2,55,74.8,0.112,No,Edge,Standard_profile
PWD010,NiO-YSZ,5,1250,240,5,Air,1.2,55,80.1,0.178,No,Edge,Standard_extended
PWD011,NiO-YSZ,10,1250,120,5,Air,1.2,55,77.5,0.185,No,Corner,Fast_moderate_temp
PWD012,NiO-YSZ,10,1250,240,5,Air,1.2,55,82.8,0.242,Yes,Corner,Fast_extended_moderate
PWD013,NiO-YSZ,3,1300,120,5,Air,1.2,55,79.8,0.145,No,Edge,High_temp
PWD014,NiO-YSZ,3,1300,240,5,Air,1.2,55,85.2,0.225,No,Edge,High_temp_extended
PWD015,NiO-YSZ,5,1300,120,5,Air,1.2,55,80.5,0.155,No,Edge,Standard_high_temp
PWD016,NiO-YSZ,5,1300,240,5,Air,1.2,55,86.5,0.245,No,Edge,Standard_high_extended
PWD017,NiO-YSZ,10,1300,120,5,Air,1.2,55,83.2,0.228,No,Corner,Fast_high_temp
