Experiment_ID,Time_min,Set_Temperature_C,Measured_Temperature_Center_C,Measured_Temperature_Edge_C,Measured_Temperature_Corner_C,Temperature_Gradient_C_cm,Heating_Cooling_Rate_C_min,Atmosphere_O2_percent,Sample_Position
PWD001,0,25,25.2,25.1,25.0,0.05,0,21.0,Center
PWD001,60,175,176.8,175.2,174.5,0.52,2.95,21.0,Center
PWD001,120,325,327.5,325.8,324.2,0.78,2.98,21.0,Center
PWD001,180,475,478.2,476.1,473.8,1.05,3.02,21.0,Center
PWD001,240,625,629.5,626.8,623.5,1.42,3.01,21.0,Center
PWD001,300,775,781.2,777.5,773.2,1.88,2.97,21.0,Center
PWD001,360,925,933.8,928.5,922.8,2.58,2.99,21.0,Center
PWD001,400,1200,1212.5,1205.2,1196.8,3.68,6.95,21.0,Center
PWD001,460,1200,1205.8,1198.5,1190.2,3.65,0,21.0,Center
PWD001,520,1200,1208.2,1200.8,1192.5,3.68,0,21.0,Center
PWD001,540,1200,1206.5,1199.2,1191.0,3.62,0,21.0,Center
PWD001,560,1108,1104.2,1097.8,1090.5,3.18,-5.12,21.0,Center
PWD001,580,1008,1005.8,1000.2,993.8,2.78,-4.98,21.0,Center
PWD001,600,908,906.5,901.8,896.2,2.42,-4.95,21.0,Center
PWD001,640,708,707.2,703.5,699.2,1.88,-4.97,21.0,Center
PWD001,680,508,507.8,505.2,502.8,1.18,-5.02,21.0,Center
PWD001,720,308,308.5,307.2,306.0,0.58,-4.98,21.0,Center
PWD001,760,108,108.8,108.2,107.8,0.22,-5.01,21.0,Center
PWD001,780,25,26.2,25.8,25.5,0.15,-4.15,21.0,Center
PWD009,0,25,25.1,25.0,24.9,0.05,0,21.0,Center
PWD009,48,250,252.5,250.8,249.2,0.78,4.98,21.0,Center
PWD009,96,475,479.8,477.2,474.5,1.22,5.02,21.0,Center
PWD009,144,700,707.5,703.8,699.5,1.88,4.96,21.0,Center
PWD009,192,925,934.2,928.8,922.5,2.72,5.01,21.0,Center
PWD009,240,1150,1162.8,1155.5,1147.2,3.62,4.97,21.0,Center
PWD009,250,1250,1265.2,1256.8,1247.5,4.12,10.24,21.0,Center
PWD009,310,1250,1258.5,1250.2,1241.5,3.98,0,21.0,Center
PWD009,370,1250,1262.8,1254.5,1245.8,4.02,0,21.0,Center
PWD009,390,1156,1152.5,1145.2,1137.8,3.45,-5.15,21.0,Center
PWD009,410,1056,1053.8,1047.5,1040.8,3.02,-4.92,21.0,Center
PWD009,450,856,854.2,849.5,844.2,2.32,-4.98,21.0,Center
PWD009,490,656,655.5,652.2,648.5,1.62,-5.03,21.0,Center
PWD009,530,456,455.8,453.5,451.2,1.08,-5.01,21.0,Center
PWD009,570,256,256.5,255.2,254.2,0.52,-4.97,21.0,Center
PWD009,590,156,156.8,156.0,155.5,0.30,-5.02,21.0,Center
PWD009,600,106,106.5,106.1,105.8,0.16,-5.03,21.0,Center
PWD009,605,25,26.5,26.2,25.8,0.12,-16.20,21.0,Center
PWD015,0,25,25.2,25.1,25.0,0.05,0,21.0,Center
PWD015,52,285,287.8,286.2,284.5,0.78,5.03,21.0,Center
PWD015,104,545,551.2,548.5,545.2,1.38,4.98,21.0,Center
PWD015,156,805,814.5,810.2,805.8,2.02,5.01,21.0,Center
PWD015,208,1065,1078.8,1072.5,1065.8,3.02,4.96,21.0,Center
PWD015,260,1300,1318.5,1310.2,1301.5,3.98,4.62,21.0,Center
PWD015,320,1300,1312.8,1304.5,1295.8,3.95,0,21.0,Center
PWD015,380,1300,1316.2,1307.8,1299.2,3.98,0,21.0,Center
PWD015,400,1204,1201.5,1194.2,1186.8,3.45,-5.18,21.0,Center
PWD015,420,1104,1102.8,1096.5,1089.8,3.02,-4.88,21.0,Center
PWD015,460,904,903.5,898.8,893.5,2.32,-5.02,21.0,Center
PWD015,500,704,703.8,700.5,696.8,1.62,-4.97,21.0,Center
PWD015,540,504,503.5,501.2,498.8,1.08,-5.03,21.0,Center
PWD015,580,304,304.8,303.5,302.2,0.52,-4.98,21.0,Center
PWD015,600,204,204.5,203.8,203.2,0.30,-5.02,21.0,Center
PWD015,610,154,154.2,153.8,153.5,0.16,-5.00,21.0,Center
PWD015,615,25,26.8,26.5,26.2,0.12,-25.80,21.0,Center
PWD027,0,25,25.1,25.0,24.9,0.05,0,21.0,Center
PWD027,56,305,308.2,306.5,304.8,0.78,5.02,21.0,Center
PWD027,112,585,592.8,589.5,586.2,1.52,4.98,21.0,Center
PWD027,168,865,876.5,871.8,867.2,2.18,5.01,21.0,Center
PWD027,224,1145,1161.2,1154.8,1148.5,2.98,4.97,21.0,Center
PWD027,280,1400,1424.5,1415.2,1405.8,4.38,4.69,21.0,Center
PWD027,340,1400,1418.8,1409.5,1400.2,4.35,0,21.0,Center
PWD027,400,1400,1422.5,1413.2,1403.8,4.38,0,21.0,Center
PWD027,420,1298,1295.8,1287.5,1279.2,3.88,-5.12,21.0,Center
PWD027,440,1198,1196.5,1189.2,1181.8,3.42,-4.95,21.0,Center
PWD027,480,998,997.2,991.8,986.5,2.48,-5.03,21.0,Center
PWD027,520,798,797.5,793.5,789.2,1.92,-4.98,21.0,Center
PWD027,560,598,597.8,595.2,592.8,1.18,-5.01,21.0,Center
PWD027,600,398,398.5,397.2,395.8,0.62,-4.97,21.0,Center
PWD027,620,298,298.2,297.5,296.8,0.32,-5.02,21.0,Center
PWD027,630,248,248.5,248.0,247.5,0.22,-5.00,21.0,Center
PWD027,635,25,27.2,26.8,26.5,0.12,-44.60,21.0,Center
