Experiment_ID,Material,Measurement_Method,Point_X_mm,Point_Y_mm,Height_Deviation_mm,Max_Slope_deg,Curvature_1_per_m,Surface_Roughness_um,Measurement_Uncertainty_mm
PWD001,NiO-YSZ,3D_Profilometer,0,0,0.000,0.15,0.42,2.85,0.003
PWD001,NiO-YSZ,3D_Profilometer,25,0,0.032,0.28,0.58,2.92,0.003
PWD001,NiO-YSZ,3D_Profilometer,50,0,0.085,0.45,0.82,3.12,0.003
PWD001,NiO-YSZ,3D_Profilometer,0,25,0.028,0.25,0.52,2.88,0.003
PWD001,NiO-YSZ,3D_Profilometer,25,25,0.042,0.32,0.65,2.98,0.003
PWD001,NiO-YSZ,3D_Profilometer,50,25,0.078,0.42,0.78,3.08,0.003
PWD002,NiO-YSZ,3D_Profilometer,0,0,0.000,0.22,0.58,3.15,0.003
PWD002,NiO-YSZ,3D_Profilometer,25,0,0.048,0.38,0.78,3.25,0.003
PWD002,NiO-YSZ,3D_Profilometer,50,0,0.125,0.62,1.15,3.48,0.003
PWD002,NiO-YSZ,3D_Profilometer,0,25,0.038,0.35,0.68,3.18,0.003
PWD002,NiO-YSZ,3D_Profilometer,25,25,0.062,0.45,0.88,3.32,0.003
PWD002,NiO-YSZ,3D_Profilometer,50,25,0.112,0.58,1.08,3.42,0.003
PWD015,NiO-YSZ,3D_Profilometer,0,0,0.000,0.28,0.72,3.52,0.003
PWD015,NiO-YSZ,3D_Profilometer,25,0,0.058,0.52,1.05,3.65,0.003
PWD015,NiO-YSZ,3D_Profilometer,50,0,0.155,0.88,1.52,3.88,0.003
PWD015,NiO-YSZ,3D_Profilometer,0,25,0.048,0.48,0.92,3.58,0.003
PWD015,NiO-YSZ,3D_Profilometer,25,25,0.078,0.62,1.18,3.72,0.003
PWD015,NiO-YSZ,3D_Profilometer,50,25,0.142,0.82,1.45,3.82,0.003
PWD021,NiO-YSZ,3D_Profilometer,0,0,0.000,0.38,0.95,3.85,0.003
PWD021,NiO-YSZ,3D_Profilometer,25,0,0.082,0.68,1.42,4.05,0.003
PWD021,NiO-YSZ,3D_Profilometer,50,0,0.225,1.15,2.12,4.38,0.003
PWD021,NiO-YSZ,3D_Profilometer,0,25,0.068,0.62,1.25,3.92,0.003
PWD021,NiO-YSZ,3D_Profilometer,25,25,0.112,0.82,1.58,4.15,0.003
PWD021,NiO-YSZ,3D_Profilometer,50,25,0.205,1.08,2.05,4.32,0.003
PWD027,NiO-YSZ,3D_Profilometer,0,0,0.000,0.52,1.28,4.25,0.003
PWD027,NiO-YSZ,3D_Profilometer,25,0,0.118,0.92,1.88,4.58,0.003
PWD027,NiO-YSZ,3D_Profilometer,50,0,0.312,1.52,2.85,5.12,0.003
PWD027,NiO-YSZ,3D_Profilometer,0,25,0.095,0.85,1.68,4.35,0.003
PWD027,NiO-YSZ,3D_Profilometer,25,25,0.158,1.08,2.15,4.72,0.003
PWD027,NiO-YSZ,3D_Profilometer,50,25,0.285,1.42,2.75,5.05,0.003
PWD037,YSZ,3D_Profilometer,0,0,0.000,0.12,0.28,1.85,0.002
PWD037,YSZ,3D_Profilometer,25,0,0.018,0.18,0.38,1.92,0.002
PWD037,YSZ,3D_Profilometer,50,0,0.048,0.28,0.52,2.08,0.002
PWD037,YSZ,3D_Profilometer,0,25,0.015,0.15,0.32,1.88,0.002
PWD037,YSZ,3D_Profilometer,25,25,0.025,0.22,0.42,1.98,0.002
PWD037,YSZ,3D_Profilometer,50,25,0.042,0.25,0.48,2.05,0.002
PWD045,YSZ,3D_Profilometer,0,0,0.000,0.18,0.42,2.15,0.002
PWD045,YSZ,3D_Profilometer,25,0,0.035,0.32,0.68,2.28,0.002
PWD045,YSZ,3D_Profilometer,50,0,0.095,0.52,0.98,2.52,0.002
PWD045,YSZ,3D_Profilometer,0,25,0.028,0.28,0.58,2.18,0.002
PWD045,YSZ,3D_Profilometer,25,25,0.048,0.38,0.75,2.35,0.002
PWD045,YSZ,3D_Profilometer,50,25,0.085,0.48,0.92,2.48,0.002
PWD051,YSZ,3D_Profilometer,0,0,0.000,0.25,0.58,2.52,0.002
PWD051,YSZ,3D_Profilometer,25,0,0.052,0.45,0.92,2.72,0.002
PWD051,YSZ,3D_Profilometer,50,0,0.145,0.75,1.38,3.05,0.002
PWD051,YSZ,3D_Profilometer,0,25,0.042,0.42,0.78,2.58,0.002
PWD051,YSZ,3D_Profilometer,25,25,0.072,0.52,1.05,2.82,0.002
PWD051,YSZ,3D_Profilometer,50,25,0.132,0.68,1.32,3.02,0.002
