Year,Government_SME_Budget_Billion_NGN,Tax_Incentives_For_SMEs_Billion_NGN,SME_Credit_Guarantee_Scheme_Billion_NGN,SMEDAN_Beneficiaries_Thousands,BOI_SME_Loans_Billion_NGN,CBN_Intervention_Funds_Billion_NGN,Entrepreneurship_Training_Programs_Count,Digital_Literacy_Programs_Count,Trade_Facilitation_Index,Regulatory_Burden_Index,Political_Stability_Index,Security_Risk_Index,Corruption_Perception_Index,Regional_Integration_Score,Export_Promotion_Score,Infrastructure_Quality_Index,Power_Sector_Reform_Index,Telecoms_Competition_Index,Financial_Inclusion_Target_Achievement_Percent,MSME_Policy_Implementation_Score
2015,45.67,12.34,8.92,89.45,156.78,234.56,342,189,3.45,6.78,4.23,6.89,26,3.12,3.89,3.67,3.21,6.45,42.3,4.56
2016,52.34,14.89,10.45,103.67,178.92,267.89,378,212,3.56,6.67,4.12,7.12,28,3.28,4.01,3.78,3.34,6.67,44.8,4.73
2017,61.23,17.56,12.78,124.56,212.45,312.67,423,245,3.73,6.45,4.28,7.34,27,3.45,4.23,3.92,3.51,6.89,48.2,5.01
2018,73.45,21.23,15.67,148.92,256.78,378.92,489,289,3.92,6.23,4.45,7.23,27,3.67,4.51,4.12,3.73,7.12,52.6,5.34
2019,89.67,25.78,19.45,178.34,312.45,467.89,567,345,4.12,6.01,4.67,7.01,26,3.89,4.78,4.34,3.98,7.45,57.9,5.73
2020,78.92,22.34,16.89,156.78,278.92,423.45,523,312,3.98,6.12,4.34,7.45,25,3.78,4.56,4.23,3.89,7.34,55.3,5.56
2021,98.45,29.67,23.45,201.23,378.92,567.89,645,412,4.34,5.89,4.56,7.34,24,4.01,4.92,4.51,4.19,7.67,61.7,6.01
2022,123.67,36.89,29.78,245.67,467.89,689.23,734,489,4.67,5.67,4.78,7.23,24,4.28,5.23,4.78,4.45,7.98,67.4,6.45
2023,142.34,42.45,34.56,278.92,534.56,778.45,812,556,4.89,5.51,4.89,7.34,25,4.45,5.47,4.92,4.62,8.23,71.8,6.73
2024,167.89,49.78,41.23,323.45,623.45,901.23,923,645,5.12,5.34,5.01,7.29,26,4.67,5.78,5.12,4.89,8.56,76.9,7.12
