Year,Region,Total_SMEs_Thousands,SME_Density_Per_1000_Population,Average_SME_Revenue_Million_NGN,SME_Formal_Registration_Percent,Bank_Branch_Density_Per_100K,Venture_Capital_Investment_Million_NGN,Business_Incubators_Count,Innovation_Hubs_Count,University_Industry_Collaboration_Index,R_D_Expenditure_Percent_GDP,Patent_Applications_Count,Trademark_Registrations_Count,Startup_Ecosystem_Rank,Digital_Infrastructure_Score,Business_Support_Services_Score
2015,South West,12456,18.7,8.92,24.3,42.3,1245.67,34,28,4.23,0.45,234,567,1,6.8,5.4
2015,South East,5234,14.2,6.45,18.9,28.7,456.78,12,9,3.12,0.28,89,234,4,4.9,4.1
2015,South South,4567,13.8,7.23,21.4,34.2,567.89,15,11,3.45,0.32,123,312,3,5.3,4.6
2015,North Central,3456,11.2,5.67,16.7,25.4,234.56,8,6,2.67,0.21,67,178,5,4.2,3.7
2015,North West,7823,9.8,4.89,12.3,18.9,189.23,6,4,2.12,0.15,45,134,6,3.4,3.1
2015,North East,3541,8.3,4.12,10.8,15.6,145.67,4,3,1.89,0.12,34,89,6,2.9,2.8
2016,South West,12934,19.1,9.34,25.1,43.8,1345.78,37,31,4.45,0.48,256,612,1,7.2,5.7
2016,South East,5445,14.5,6.78,19.6,29.8,489.34,13,10,3.28,0.30,98,267,4,5.2,4.3
2016,South South,4756,14.1,7.56,22.1,35.6,612.34,16,12,3.62,0.34,134,345,3,5.6,4.8
2016,North Central,3589,11.5,5.89,17.3,26.3,256.78,9,7,2.78,0.23,72,198,5,4.5,3.9
2016,North West,8145,10.1,5.12,12.8,19.6,201.45,7,5,2.23,0.16,49,145,6,3.6,3.2
2016,North East,3676,8.5,4.34,11.2,16.2,156.89,5,4,1.98,0.13,37,97,6,3.1,2.9
2017,South West,13456,19.6,9.89,26.3,45.6,1467.89,41,35,4.73,0.52,289,678,1,7.7,6.1
2017,South East,5678,14.9,7.23,20.5,31.2,534.56,15,12,3.51,0.33,112,298,4,5.6,4.6
2017,South South,4956,14.5,8.01,23.1,37.4,678.92,18,14,3.87,0.37,148,389,3,6.0,5.1
2017,North Central,3734,11.9,6.23,18.1,27.5,289.45,10,8,2.95,0.25,81,223,5,4.8,4.2
2017,North West,8489,10.5,5.45,13.4,20.5,223.67,8,6,2.38,0.18,56,167,6,3.9,3.4
2017,North East,3823,8.8,4.67,11.7,16.9,172.34,6,5,2.12,0.14,42,112,6,3.4,3.1
2018,South West,13989,20.2,10.56,27.8,47.8,1612.45,46,40,5.12,0.57,334,756,1,8.3,6.6
2018,South East,5923,15.3,7.78,21.7,33.1,589.23,17,14,3.81,0.37,131,342,4,6.1,5.0
2018,South South,5178,15.0,8.59,24.5,39.6,756.78,21,17,4.19,0.41,169,445,3,6.5,5.5
2018,North Central,3895,12.4,6.67,19.2,29.1,334.56,12,10,3.19,0.28,93,256,5,5.2,4.6
2018,North West,8856,10.9,5.89,14.3,21.8,256.89,10,7,2.59,0.20,65,195,6,4.3,3.7
2018,North East,3989,9.2,5.12,12.5,17.9,198.67,7,6,2.31,0.16,49,131,6,3.8,3.4
2019,South West,14567,20.9,11.34,29.7,50.4,1789.23,52,46,5.59,0.63,389,856,1,9.0,7.2
2019,South East,6189,15.8,8.45,23.2,35.4,656.78,20,17,4.19,0.42,154,398,4,6.7,5.5
2019,South South,5423,15.6,9.34,26.3,42.3,856.34,25,20,4.61,0.46,198,512,3,7.1,6.0
2019,North Central,4078,13.0,7.23,20.6,31.2,389.67,14,12,3.51,0.32,109,298,5,5.7,5.1
2019,North West,9245,11.4,6.45,15.4,23.4,298.45,12,9,2.87,0.23,78,229,6,4.8,4.1
2019,North East,4167,9.6,5.67,13.5,19.3,234.56,9,7,2.56,0.18,58,156,6,4.3,3.8
2020,South West,14823,21.2,10.89,30.4,51.7,1623.45,55,49,5.73,0.64,412,901,1,9.3,7.4
2020,South East,6301,16.0,8.12,23.7,36.2,634.56,21,18,4.28,0.43,162,421,4,6.9,5.6
2020,South South,5534,15.8,9.01,26.9,43.2,823.45,26,21,4.73,0.47,207,541,3,7.3,6.1
2020,North Central,4156,13.2,6.98,21.0,31.8,378.92,15,13,3.59,0.33,114,316,5,5.9,5.2
2020,North West,9423,11.6,6.23,15.7,23.9,289.34,13,10,2.94,0.24,82,243,6,4.9,4.2
2020,North East,4248,9.8,5.48,13.8,19.7,228.67,10,8,2.62,0.19,61,165,6,4.4,3.9
2021,South West,15456,21.9,11.89,32.4,54.3,1923.45,61,55,6.21,0.71,478,1012,1,10.1,8.0
2021,South East,6578,16.5,8.92,25.3,38.7,723.45,24,21,4.67,0.48,189,478,4,7.5,6.1
2021,South South,5789,16.3,9.89,28.7,45.9,956.78,29,24,5.12,0.53,243,612,3,8.0,6.6
2021,North Central,4356,13.7,7.67,22.4,33.9,445.67,17,15,3.91,0.37,134,367,5,6.4,5.6
2021,North West,9823,12.0,6.89,16.9,25.6,334.56,15,12,3.19,0.27,96,278,6,5.3,4.6
2021,North East,4434,10.1,6.01,14.7,21.1,267.89,12,9,2.84,0.21,71,189,6,4.8,4.2
2022,South West,16123,22.7,12.89,34.9,57.8,2189.67,68,62,6.78,0.79,556,1145,1,11.0,8.7
2022,South East,6878,17.1,9.78,27.4,41.8,823.67,28,25,5.12,0.54,223,556,4,8.2,6.7
2022,South South,6067,16.9,10.89,31.2,49.3,1089.23,33,28,5.61,0.59,289,701,3,8.7,7.2
2022,North Central,4578,14.3,8.45,24.3,36.7,523.45,20,18,4.31,0.42,159,434,5,7.0,6.2
2022,North West,10267,12.5,7.67,18.5,27.9,389.67,18,14,3.51,0.30,115,323,6,5.8,5.1
2022,North East,4645,10.5,6.67,16.1,22.9,312.45,14,11,3.12,0.24,84,223,6,5.3,4.7
2023,South West,16678,23.4,13.67,36.8,60.4,2234.56,72,66,7.12,0.83,601,1223,1,11.5,9.1
2023,South East,7123,17.6,10.34,28.9,43.9,867.89,30,27,5.39,0.57,243,601,4,8.6,7.0
2023,South South,6289,17.4,11.45,32.8,51.6,1134.56,35,30,5.89,0.62,312,756,3,9.1,7.5
2023,North Central,4745,14.7,8.92,25.6,38.7,556.78,21,19,4.53,0.44,172,467,5,7.3,6.5
2023,North West,10634,12.9,8.12,19.5,29.4,423.45,19,15,3.69,0.31,125,349,6,6.1,5.3
