item_code,construct,F1,F2,F3,F4,F5,F6,F7,F8
ATT1,ATT,0.111,-0.029,-0.732,-0.126,0.076,0.063,-0.100,0.023
ATT2,ATT,0.142,-0.014,-0.725,-0.136,0.052,0.080,-0.048,0.007
ATT3,ATT,0.141,-0.034,-0.732,-0.101,0.033,0.047,-0.065,0.003
SN1,SN,0.117,-0.076,-0.154,-0.050,0.025,0.617,-0.046,0.001
SN2,SN,0.091,-0.056,-0.139,-0.074,0.023,0.589,-0.065,0.005
PBC1,PBC,0.751,-0.011,-0.171,-0.161,0.092,0.043,-0.130,0.001
PBC2,PBC,0.723,-0.023,-0.127,-0.144,0.103,0.069,-0.135,-0.011
PBC3,PBC,0.601,0.007,-0.130,-0.111,0.043,0.029,-0.106,0.012
INT1,INT,0.399,0.025,-0.403,-0.287,0.246,0.188,-0.174,0.046
INT2,INT,0.390,-0.006,-0.388,-0.312,0.235,0.205,-0.198,0.049
SEV1,SEV,0.013,-0.146,0.000,-0.063,0.003,0.025,-0.026,0.608
SEV2,SEV,-0.008,-0.130,-0.052,-0.026,-0.004,-0.018,-0.005,0.604
VULN1,VULN,0.004,-0.774,-0.038,-0.035,-0.005,0.034,-0.020,0.069
VULN2,VULN,0.023,-0.632,-0.020,-0.060,0.008,0.058,-0.003,0.127
SE1,SE,0.204,-0.033,-0.113,-0.197,0.138,0.070,-0.568,0.013
SE2,SE,0.211,-0.002,-0.145,-0.175,0.092,0.022,-0.607,-0.016
SE3,SE,0.216,-0.022,-0.123,-0.164,0.085,0.058,-0.574,0.046
RE1,RE,0.165,-0.029,-0.136,-0.719,0.065,0.018,-0.094,0.032
RE2,RE,0.136,-0.025,-0.133,-0.771,0.051,0.047,-0.108,0.005
RE3,RE,0.124,-0.058,-0.130,-0.661,0.061,0.029,-0.116,0.039
PB1,PB,0.114,-0.003,-0.090,-0.097,0.653,0.018,-0.091,-0.015
PB2,PB,0.185,0.003,-0.117,-0.090,0.642,0.020,-0.115,0.012
