sector,subsector,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024_Q1,2024_Q2,sme_contribution_percent,employment_share_percent,innovation_index,digitalization_rate
Agriculture,Crop Production,3.72,-1.29,3.39,2.12,2.28,-0.30,2.13,2.05,1.75,2.10,2.18,65.3,23.5,2.8,12.4
Agriculture,Livestock,4.50,1.20,3.60,2.80,3.10,1.80,3.20,2.50,2.20,2.60,2.75,72.1,8.2,2.5,8.6
Agriculture,Forestry,2.30,-0.50,2.10,1.50,1.80,0.20,1.60,1.40,1.20,1.50,1.55,78.5,3.7,2.2,5.3
Agriculture,Fishing,3.10,0.80,2.80,2.20,2.50,0.90,2.30,2.00,1.80,2.10,2.20,82.7,5.1,2.6,9.8
Mining and Quarrying,Crude Petroleum,-5.45,-14.37,4.69,1.03,4.56,-8.89,7.12,-11.12,5.70,5.70,6.46,8.5,1.2,3.5,28.6
Mining and Quarrying,Natural Gas,-1.60,-0.42,13.76,5.30,8.25,-2.62,8.48,2.35,3.20,3.80,4.10,12.3,0.8,3.8,32.4
Mining and Quarrying,Coal Mining,7.20,31.59,15.42,14.36,11.23,-18.52,23.48,-8.23,8.50,9.20,9.80,45.2,2.1,3.2,18.7
Mining and Quarrying,Metal Ores,-6.81,-7.66,6.16,8.57,3.48,-21.12,2.43,-5.62,4.30,4.80,5.20,38.7,1.5,3.0,15.9
Mining and Quarrying,Other Minerals,3.07,3.44,3.66,2.85,2.70,-3.28,4.07,1.23,2.80,3.20,3.50,52.8,3.4,2.8,11.2
Manufacturing,Oil Refining,-15.46,-21.62,-0.88,31.84,-5.15,4.37,-22.67,-24.18,48.42,12.50,15.80,5.2,0.6,2.9,24.3
Manufacturing,Food and Beverages,0.58,-4.47,4.84,2.56,1.97,-1.48,8.11,3.42,2.85,3.20,3.45,68.5,12.8,3.4,19.8
Manufacturing,Textiles,1.84,-0.65,1.26,0.79,1.40,-6.76,1.60,2.35,2.10,2.40,2.55,75.3,8.5,3.2,16.2
Manufacturing,Wood Products,-4.07,-8.87,0.12,0.35,0.89,-2.48,4.29,1.87,1.60,1.90,2.10,81.2,4.2,2.7,8.9
Manufacturing,Chemicals,2.36,0.28,8.85,2.64,3.10,-0.50,3.80,2.90,2.50,2.80,3.00,42.6,3.1,4.2,35.7
Manufacturing,Pharmaceuticals,3.50,1.20,4.20,3.80,4.50,8.90,5.20,4.30,3.90,4.20,4.40,38.9,2.5,4.5,42.3
Manufacturing,Electronics,-1.20,-3.40,2.50,4.80,5.20,2.30,6.80,5.50,4.90,5.30,5.60,35.7,2.8,4.8,58.6
Manufacturing,Motor Vehicles,-38.29,-59.84,9.23,16.21,4.50,-31.63,3.27,8.45,7.20,7.80,8.20,28.4,1.9,4.1,38.9
Services,Wholesale Trade,0.16,-0.39,2.56,1.94,2.17,-5.05,5.00,4.23,3.85,4.20,4.40,72.8,15.3,3.5,28.4
Services,Retail Trade,-0.84,-0.95,1.27,2.25,2.45,-4.85,4.80,4.10,3.70,4.00,4.20,85.6,18.7,3.3,24.6
Services,Transportation,-1.74,-2.25,10.23,11.73,8.52,-13.70,16.40,9.25,7.80,8.30,8.60,48.5,8.9,3.8,32.5
Services,Information and Communication,14.36,1.31,0.52,-9.02,9.47,12.79,16.73,16.06,13.85,14.50,15.20,32.4,4.2,4.9,72.3
Services,Financial Services,3.88,-3.57,15.96,5.46,5.80,28.49,16.78,16.71,26.32,18.50,19.80,18.7,3.5,4.7,68.9
Services,Real Estate,-0.75,0.45,-4.65,-2.43,2.45,2.26,3.99,4.37,4.05,4.30,4.50,42.3,2.8,3.1,19.8
Services,Professional Services,1.23,-1.85,2.34,3.45,4.12,-2.30,5.67,4.89,4.50,4.80,5.10,58.9,6.3,4.3,45.6
Services,Education,8.32,2.41,0.84,0.76,2.35,3.84,0.09,1.25,1.10,1.40,1.60,45.7,9.5,3.6,28.7
Services,Health,7.78,4.84,1.49,1.42,2.10,7.46,2.02,1.85,1.70,2.00,2.20,52.3,7.2,3.9,31.2
Services,Arts and Entertainment,2.30,-1.50,3.80,4.20,3.60,-8.90,5.40,4.70,4.20,4.50,4.80,68.4,4.5,3.7,35.8
Services,Hotels and Restaurants,1.48,-1.28,0.17,1.73,2.38,-13.48,3.69,8.71,7.25,7.80,8.20,76.2,10.2,3.4,29.3
Construction,Building Construction,-1.44,-5.95,0.98,2.50,2.80,-7.68,3.42,3.20,2.90,3.20,3.40,61.5,8.7,3.2,18.5
Construction,Civil Engineering,-0.85,-4.20,1.25,3.10,3.40,-5.42,4.80,3.80,3.40,3.70,3.90,48.2,6.4,3.5,22.3
Electricity Gas and Water,Electricity Generation,6.76,-2.66,8.11,2.89,2.40,0.50,5.35,4.20,3.80,4.10,4.30,15.6,1.8,3.9,38.7
Electricity Gas and Water,Gas Supply,0.64,-6.38,0.68,2.10,2.30,-1.20,3.50,3.00,2.70,3.00,3.20,22.3,1.2,3.6,34.5
Electricity Gas and Water,Water Supply,1.84,-0.62,3.44,1.15,1.80,2.30,2.70,2.40,2.20,2.50,2.65,35.8,2.5,3.3,26.8
SME_SPECIFIC_METRICS,,,,,,,,,,,,,,,
