state,region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,urban_penetration_2024,rural_penetration_2024,3g_coverage,4g_coverage,5g_coverage,fiber_optic_coverage
Lagos,South West,45.2,48.7,52.3,56.8,61.5,66.8,72.5,78.9,85.7,92.3,95.8,78.5,98.5,94.2,12.5,45.6
FCT-Abuja,North Central,42.8,46.1,49.7,53.9,58.4,63.5,68.9,74.8,81.2,87.9,92.3,68.4,97.8,92.5,15.8,52.3
Rivers,South South,38.5,41.7,45.2,49.1,53.3,57.9,62.8,68.2,74.0,80.2,85.6,62.3,95.4,88.3,8.2,35.7
Ogun,South West,36.2,39.3,42.6,46.3,50.2,54.5,59.2,64.2,69.7,75.5,82.1,58.9,94.2,85.6,6.5,32.4
Oyo,South West,33.8,36.7,39.8,43.2,46.9,50.9,55.3,60.0,65.1,70.6,77.3,54.8,92.8,82.4,5.2,28.9
Kaduna,North West,31.5,34.2,37.1,40.3,43.7,47.5,51.5,55.9,60.7,65.8,72.4,48.7,90.5,78.3,3.8,24.6
Kano,North West,29.3,31.8,34.5,37.5,40.7,44.2,47.9,52.0,56.4,61.2,68.5,44.2,88.7,74.6,2.9,20.8
Anambra,South East,27.6,29.9,32.5,35.3,38.3,41.6,45.1,49.0,53.1,57.6,64.8,40.5,86.9,70.8,2.1,18.5
Imo,South East,26.2,28.4,30.9,33.5,36.4,39.5,42.9,46.5,50.5,54.7,62.1,37.8,85.3,68.2,1.8,16.9
Enugu,South East,25.1,27.2,29.5,32.1,34.8,37.8,41.0,44.5,48.3,52.4,59.7,35.6,83.8,65.9,1.5,15.6
Delta,South South,24.3,26.4,28.6,31.1,33.7,36.6,39.7,43.1,46.7,50.7,57.8,33.9,82.4,63.7,1.3,14.7
Edo,South South,23.7,25.7,27.9,30.3,32.9,35.7,38.7,42.0,45.6,49.4,56.2,32.5,81.2,61.8,1.1,13.9
Akwa Ibom,South South,22.9,24.8,26.9,29.2,31.7,34.4,37.4,40.5,44.0,47.7,54.3,31.2,79.8,59.6,0.9,13.2
Cross River,South South,21.8,23.7,25.7,27.9,30.3,32.9,35.6,38.7,42.0,45.5,52.1,29.8,78.5,57.8,0.8,12.5
Abia,South East,20.5,22.2,24.1,26.2,28.4,30.8,33.5,36.3,39.4,42.7,49.8,28.1,76.9,55.4,0.7,11.8
Osun,South West,19.8,21.5,23.3,25.3,27.5,29.8,32.4,35.1,38.1,41.3,48.2,26.9,75.6,53.7,0.6,11.2
Ondo,South West,18.7,20.3,22.0,23.9,25.9,28.2,30.6,33.2,36.0,39.0,45.9,25.3,74.2,51.8,0.5,10.6
Ekiti,South West,17.9,19.4,21.1,22.9,24.8,26.9,29.2,31.7,34.4,37.3,44.1,24.2,72.8,49.9,0.4,10.1
Kwara,North Central,16.8,18.2,19.8,21.5,23.3,25.3,27.5,29.8,32.3,35.1,42.3,22.8,71.5,48.2,0.4,9.6
Kogi,North Central,15.6,16.9,18.4,20.0,21.7,23.5,25.5,27.7,30.0,32.6,40.2,21.3,70.2,46.3,0.3,9.1
Plateau,North Central,14.9,16.2,17.6,19.1,20.7,22.5,24.4,26.5,28.7,31.2,38.7,20.4,68.9,44.7,0.3,8.7
Benue,North Central,13.7,14.9,16.2,17.5,19.1,20.7,22.5,24.4,26.5,28.7,36.2,18.8,67.5,42.8,0.2,8.3
Niger,North Central,12.8,13.9,15.1,16.4,17.8,19.3,21.0,22.8,24.7,26.8,34.5,17.6,66.2,41.2,0.2,7.9
Nasarawa,North Central,11.5,12.5,13.6,14.7,16.0,17.4,18.9,20.5,22.2,24.1,32.1,16.2,64.8,39.3,0.2,7.5
Bauchi,North East,10.7,11.6,12.6,13.7,14.8,16.1,17.5,19.0,20.6,22.3,30.3,15.1,63.5,37.8,0.1,7.2
Gombe,North East,9.8,10.6,11.6,12.6,13.6,14.8,16.1,17.5,19.0,20.6,28.7,14.2,62.1,36.2,0.1,6.8
Adamawa,North East,8.9,9.7,10.5,11.4,12.4,13.5,14.6,15.9,17.2,18.7,27.2,13.1,60.8,34.6,0.1,6.5
Taraba,North East,7.8,8.5,9.2,10.0,10.9,11.8,12.8,13.9,15.1,16.4,25.3,11.8,59.4,33.1,0.1,6.2
Sokoto,North West,7.2,7.8,8.5,9.2,10.0,10.8,11.8,12.8,13.9,15.1,23.8,10.9,58.1,31.5,0.1,5.9
Kebbi,North West,6.5,7.1,7.7,8.3,9.1,9.8,10.7,11.6,12.6,13.7,22.5,9.8,56.7,30.2,0.0,5.6
Zamfara,North West,5.9,6.4,6.9,7.5,8.2,8.9,9.6,10.4,11.3,12.3,21.2,8.9,55.4,28.6,0.0,5.3
Katsina,North West,5.3,5.8,6.3,6.8,7.4,8.0,8.7,9.5,10.3,11.2,19.8,8.1,54.0,27.2,0.0,5.0
Jigawa,North West,4.7,5.1,5.5,6.0,6.5,7.1,7.7,8.4,9.1,9.8,18.3,7.2,52.7,25.8,0.0,4.8
Borno,North East,4.2,4.5,4.9,5.3,5.8,6.3,6.8,7.4,8.0,8.7,16.9,6.5,51.3,24.3,0.0,4.5
Yobe,North East,3.8,4.1,4.5,4.9,5.3,5.7,6.2,6.8,7.3,8.0,15.7,5.8,50.0,22.9,0.0,4.3
NATIONAL AVERAGE,All Regions,19.8,21.5,23.3,25.3,27.5,29.9,32.4,35.2,38.2,41.5,52.3,30.8,74.6,54.8,2.1,15.7
