year,quarter,gdp_growth_rate,gdp_nominal_billion_naira,gdp_real_billion_naira,oil_gdp_growth,non_oil_gdp_growth,agriculture_gdp,manufacturing_gdp,services_gdp,sme_contribution_percent
2015,Q1,3.96,24314.14,16259.62,5.94,2.78,3.72,1.68,3.75,48.2
2015,Q2,2.35,23951.95,16117.05,-6.79,3.46,4.27,-1.92,4.50,47.8
2015,Q3,2.84,25092.99,16540.95,1.06,3.05,3.89,-2.20,3.55,48.0
2015,Q4,2.11,25265.02,16639.18,-5.45,3.14,4.41,1.69,3.36,47.5
2016,Q1,0.67,24551.48,16364.66,-4.81,0.72,3.09,-7.00,1.58,47.0
2016,Q2,-2.06,24325.50,15786.12,-17.48,0.51,3.00,-3.36,1.30,46.5
2016,Q3,-2.24,26267.11,16176.76,-22.01,0.03,4.54,-2.96,-1.23,46.2
2016,Q4,-1.30,27718.59,16424.14,-12.34,-0.03,4.19,2.35,0.82,46.0
2017,Q1,-0.91,26571.48,16232.73,-11.64,0.72,3.39,1.37,0.67,46.5
2017,Q2,0.72,28324.44,15892.65,-1.64,0.45,3.01,-0.91,1.09,47.0
2017,Q3,1.40,30689.28,16407.56,25.89,-0.76,3.06,0.14,-0.52,47.2
2017,Q4,1.92,32584.89,16729.89,11.20,0.47,4.23,0.24,2.60,47.5
2018,Q1,1.95,31796.76,16555.85,14.77,0.76,2.98,3.89,1.82,47.8
2018,Q2,1.50,33316.06,16144.28,-3.95,2.85,1.91,3.17,2.47,48.0
2018,Q3,1.81,36995.10,16672.34,-2.91,2.97,1.91,-2.85,2.94,48.2
2018,Q4,2.38,39803.99,17125.01,-1.62,2.70,2.46,2.35,1.20,48.5
2019,Q1,2.10,37069.78,16914.95,-0.68,2.47,3.17,-0.42,2.42,48.8
2019,Q2,1.94,38996.35,16416.48,-1.18,2.12,3.23,0.51,2.00,49.0
2019,Q3,2.28,43564.01,17039.68,6.49,1.85,2.28,1.10,1.94,49.2
2019,Q4,2.55,46998.12,17523.41,5.36,2.26,2.31,1.24,2.36,49.5
2020,Q1,1.87,42396.73,17237.15,5.06,1.55,2.20,0.43,1.57,48.0
2020,Q2,-6.10,39089.46,15417.02,-6.63,-6.05,1.58,-8.78,-6.92,45.5
2020,Q3,-3.62,42301.13,16416.46,-13.89,-2.51,1.39,-3.00,-5.49,44.8
2020,Q4,-1.92,45638.35,17200.84,-19.76,1.69,3.42,1.61,-0.71,45.0
2021,Q1,0.51,49276.37,17336.73,-2.21,0.79,2.28,-2.44,0.39,46.2
2021,Q2,5.01,51819.73,16197.36,12.52,4.62,1.30,3.49,9.28,47.5
2021,Q3,4.03,54617.46,17071.18,7.49,3.59,1.22,4.17,8.41,48.0
2021,Q4,3.98,58053.44,17894.89,8.06,3.58,2.13,3.02,5.88,48.5
2022,Q1,3.11,59735.91,17863.23,6.08,2.77,2.25,2.51,4.77,49.0
2022,Q2,3.54,63919.87,16746.91,4.34,3.51,1.20,2.84,6.74,49.3
2022,Q3,2.25,68014.48,17452.47,-22.67,4.77,1.34,-1.91,5.58,49.5
2022,Q4,3.52,72940.35,18536.27,-13.38,4.14,2.05,2.68,7.41,49.8
2023,Q1,2.31,75769.42,18275.62,-4.21,2.77,1.79,-0.01,5.12,50.0
2023,Q2,2.51,81134.33,17151.66,-6.89,3.58,1.75,-0.66,5.21,50.2
2023,Q3,2.54,86421.31,17895.87,-0.04,2.65,1.30,0.15,4.35,50.5
2023,Q4,3.46,92765.04,19193.13,12.11,3.07,1.75,1.61,4.42,50.8
2024,Q1,2.98,96547.82,18817.85,5.70,2.80,2.10,0.85,4.85,51.0
2024,Q2,3.19,103456.28,17700.45,6.46,3.00,2.18,1.20,5.12,51.3
2024,Q3,3.25,110234.15,18476.92,4.82,3.15,2.25,1.35,5.28,51.5
