year,month,headline_inflation,food_inflation,core_inflation,imported_inflation,energy_inflation,transport_inflation,health_inflation,education_inflation,communication_inflation,housing_utilities,clothing_footwear
2015,Jan,8.39,9.25,7.85,10.2,6.5,7.8,8.1,8.5,5.2,7.9,8.3
2015,Feb,8.36,9.78,7.75,10.5,6.8,7.9,8.2,8.6,5.3,8.0,8.4
2015,Mar,8.47,9.39,8.05,10.8,7.0,8.0,8.3,8.7,5.4,8.1,8.5
2015,Apr,8.70,9.47,8.17,11.0,7.2,8.1,8.4,8.8,5.5,8.2,8.6
2015,May,8.96,10.02,8.29,11.2,7.4,8.2,8.5,8.9,5.6,8.3,8.7
2015,Jun,9.01,10.03,8.41,11.5,7.6,8.3,8.6,9.0,5.7,8.4,8.8
2015,Jul,9.03,10.06,8.35,11.8,7.8,8.4,8.7,9.1,5.8,8.5,8.9
2015,Aug,9.25,10.13,8.26,12.0,8.0,8.5,8.8,9.2,5.9,8.6,9.0
2015,Sep,9.37,10.57,8.19,12.3,8.2,8.6,8.9,9.3,6.0,8.7,9.1
2015,Oct,9.34,10.12,8.74,12.5,8.4,8.7,9.0,9.4,6.1,8.8,9.2
2015,Nov,9.26,10.32,8.70,12.8,8.6,8.8,9.1,9.5,6.2,8.9,9.3
2015,Dec,9.55,10.57,8.74,13.0,8.8,8.9,9.2,9.6,6.3,9.0,9.4
2016,Jan,9.62,10.64,8.80,13.5,9.2,9.1,9.4,9.8,6.5,9.2,9.6
2016,Feb,11.35,11.35,9.52,14.0,10.5,10.8,10.2,10.5,7.0,10.0,10.2
2016,Mar,12.77,12.74,11.38,14.5,11.8,12.2,11.5,11.2,7.5,11.3,11.0
2016,Apr,13.72,13.19,12.89,15.0,12.5,13.0,12.3,11.8,8.0,12.0,11.5
2016,May,15.58,14.87,14.24,15.5,13.8,14.5,13.5,12.5,8.5,13.2,12.3
2016,Jun,16.48,15.35,15.19,16.0,14.5,15.3,14.2,13.0,9.0,14.0,13.0
2016,Jul,17.13,15.80,16.02,16.5,15.2,16.0,14.8,13.5,9.5,14.5,13.5
2016,Aug,17.56,16.05,16.91,17.0,15.8,16.5,15.3,14.0,10.0,15.0,14.0
2016,Sep,17.85,16.62,17.25,17.5,16.3,17.0,15.8,14.5,10.5,15.5,14.5
2016,Oct,18.33,17.19,17.83,18.0,16.8,17.5,16.3,15.0,11.0,16.0,15.0
2016,Nov,18.48,17.82,17.66,18.5,17.3,18.0,16.8,15.5,11.5,16.5,15.5
2016,Dec,18.55,17.39,18.09,19.0,17.8,18.5,17.3,16.0,12.0,17.0,16.0
2017,Jan,18.72,18.44,17.38,19.2,18.0,18.7,17.5,16.2,12.2,17.2,16.2
2017,Feb,17.78,18.53,16.00,18.5,17.2,17.9,16.8,15.8,11.8,16.5,15.8
2017,Mar,17.26,18.44,15.40,18.0,16.5,17.3,16.2,15.4,11.4,16.0,15.4
2017,Apr,17.24,19.30,14.80,17.5,16.0,16.8,15.8,15.0,11.0,15.5,15.0
2017,May,16.25,19.27,13.62,17.0,15.2,16.0,15.0,14.5,10.5,14.8,14.5
2017,Jun,16.10,19.91,12.95,16.5,14.8,15.5,14.5,14.0,10.0,14.3,14.0
2017,Jul,16.05,20.28,12.22,16.0,14.3,15.0,14.0,13.5,9.5,13.8,13.5
2017,Aug,16.01,20.25,11.95,15.5,13.8,14.5,13.5,13.0,9.0,13.3,13.0
2017,Sep,15.98,20.32,11.48,15.0,13.3,14.0,13.0,12.5,8.5,12.8,12.5
2017,Oct,15.91,20.30,11.06,14.5,12.8,13.5,12.5,12.0,8.0,12.3,12.0
2017,Nov,15.90,20.31,10.88,14.0,12.3,13.0,12.0,11.5,7.5,11.8,11.5
2017,Dec,15.37,19.42,10.23,13.5,11.8,12.5,11.5,11.0,7.0,11.3,11.0
