year,month,monetary_policy_rate,prime_lending_rate,maximum_lending_rate,interbank_call_rate,treasury_bill_91_day,treasury_bill_182_day,treasury_bill_364_day,savings_deposit_rate,one_month_deposit_rate,three_month_deposit_rate,six_month_deposit_rate,twelve_month_deposit_rate,sme_lending_rate_average
2015,Jan,13.00,16.85,26.77,1.50,10.85,11.25,11.83,3.96,8.58,8.83,7.66,9.17,28.5
2015,Feb,13.00,16.96,26.85,7.33,10.68,11.17,11.69,3.95,8.73,8.73,8.33,9.59,28.7
2015,Mar,13.00,16.96,26.84,16.17,10.58,10.96,11.39,3.96,8.54,8.73,8.40,9.31,28.6
2015,Apr,13.00,16.93,26.71,13.00,10.53,10.96,11.46,3.95,8.58,9.24,8.14,9.38,28.4
2015,May,13.00,16.94,26.72,7.92,10.00,10.74,11.24,3.95,7.69,8.63,8.27,10.12,28.5
2015,Jun,13.00,16.95,26.74,7.33,9.89,10.63,11.12,3.95,7.89,8.63,8.13,9.55,28.5
2015,Jul,13.00,16.96,26.83,9.25,9.78,10.61,11.10,3.95,8.21,8.81,8.45,9.52,28.6
2015,Aug,13.00,16.96,26.77,7.60,9.44,10.51,10.88,3.95,7.97,8.70,8.23,9.63,28.5
2015,Sep,13.00,16.97,26.96,8.00,8.82,10.14,10.48,3.94,7.80,8.83,8.56,9.64,28.8
2015,Oct,13.00,16.96,26.97,8.50,8.59,9.87,10.15,3.94,7.70,8.47,8.26,9.55,28.8
2015,Nov,11.00,16.95,26.89,10.26,7.10,8.71,8.94,3.93,7.38,8.22,8.18,9.39,28.7
2015,Dec,11.00,16.96,26.96,5.79,3.79,5.55,5.59,3.91,6.35,6.91,6.82,9.06,28.8
2016,Jan,11.00,16.98,27.09,2.16,3.15,4.22,4.37,3.87,5.38,5.62,5.73,8.73,29.0
2016,Feb,11.00,16.87,26.94,2.42,1.82,3.06,3.32,3.86,4.61,5.00,4.94,7.60,28.9
2016,Mar,12.00,16.89,27.30,5.00,5.15,5.77,5.98,3.85,5.19,5.60,5.62,8.32,29.3
