year,month,mobile_money_accounts_millions,mobile_money_agents_thousands,mobile_money_transaction_volume_billion_naira,mobile_money_transaction_value_billion_naira,fintech_companies,digital_wallet_users_millions,pos_terminals_thousands,atm_count_thousands,internet_banking_users_millions,ussd_banking_users_millions,mobile_banking_app_downloads_millions,nip_transactions_millions,nip_value_trillion_naira,financial_inclusion_rate,unbanked_population_millions,bank_account_ownership_percent,payment_card_users_millions,agent_banking_outlets_thousands,microfinance_banks,digital_lending_platforms
2015,Jan,21.5,102.3,18.5,245.8,45,5.2,155.4,17.2,8.5,12.3,2.1,12.8,0.42,56.8,52.3,39.8,15.2,25.8,982,8
2015,Jun,23.8,115.6,22.3,298.7,52,6.1,167.8,17.5,9.8,14.6,2.8,15.6,0.58,57.5,51.2,40.5,16.8,32.4,993,11
2015,Dec,26.3,128.7,27.8,378.5,63,7.2,182.6,17.8,11.5,17.2,3.7,19.8,0.78,58.3,50.1,41.3,18.7,41.2,1008,15
2016,Jan,27.1,135.2,29.5,402.3,68,7.8,195.3,18.1,12.3,18.5,4.2,22.1,0.86,58.7,49.5,41.7,19.8,45.6,1015,17
2016,Jun,29.8,152.3,34.7,485.6,78,9.2,213.7,18.5,14.2,21.3,5.3,27.3,1.08,59.5,48.3,42.5,22.1,54.8,1028,21
2016,Dec,32.8,168.9,41.2,592.7,92,10.8,234.8,18.9,16.5,24.8,6.8,34.5,1.39,60.4,47.1,43.4,24.7,65.3,1045,26
2017,Jan,33.6,174.5,43.2,625.8,97,11.5,248.6,19.2,17.3,26.1,7.4,37.2,1.52,60.8,46.5,43.8,25.8,69.2,1052,28
2017,Jun,37.2,195.6,50.8,756.3,115,13.7,275.3,19.7,20.1,30.2,9.2,45.8,1.92,61.8,45.2,44.8,28.9,82.6,1073,34
2017,Dec,41.5,218.7,60.3,928.5,138,16.2,305.8,20.2,23.5,35.1,11.5,57.3,2.45,63.0,43.8,46.0,32.5,98.7,1098,42
2018,Jan,42.8,226.3,63.5,985.2,145,17.1,323.7,20.5,24.8,36.9,12.3,61.8,2.67,63.4,43.2,46.4,33.9,103.5,1106,45
2018,Jun,47.3,255.8,74.2,1185.6,172,20.3,362.5,21.1,28.7,42.8,15.2,75.3,3.35,64.5,41.8,47.5,37.8,121.8,1132,54
2018,Dec,52.6,287.9,87.5,1435.8,208,24.1,407.2,21.8,33.2,49.5,18.8,93.2,4.28,65.8,40.3,48.8,42.3,143.6,1163,65
2019,Jan,54.2,298.6,92.1,1523.7,218,25.5,432.5,22.1,35.1,52.3,20.2,100.8,4.68,66.2,39.7,49.2,44.1,150.8,1172,69
2019,Jun,60.1,337.2,107.3,1832.5,256,30.2,485.6,22.8,40.8,60.7,24.8,122.5,5.85,67.5,38.2,50.5,49.2,175.3,1205,82
2019,Dec,67.2,378.5,126.8,2218.4,308,35.8,548.3,23.5,47.5,70.6,30.5,150.7,7.42,69.0,36.5,52.0,55.1,203.7,1243,98
2020,Jan,69.1,392.3,133.5,2365.7,323,37.8,582.6,23.8,50.2,74.6,32.8,162.8,8.08,69.4,35.9,52.4,57.3,212.5,1253,103
2020,Jun,76.8,445.6,158.2,2925.3,385,45.2,657.3,24.5,59.3,88.2,40.5,203.5,10.35,71.2,33.8,54.2,64.7,251.8,1292,125
2020,Dec,85.4,502.8,188.7,3612.5,468,54.1,745.8,25.3,70.2,104.3,50.2,256.3,13.28,73.2,31.5,56.2,73.2,298.6,1338,152
2021,Jan,87.8,521.3,198.5,3845.2,488,56.8,793.2,25.6,73.8,109.7,53.2,275.8,14.45,73.6,30.9,56.6,76.1,312.5,1348,159
2021,Jun,98.2,592.7,235.6,4732.8,572,67.5,908.6,26.4,87.3,129.8,65.8,342.7,18.52,75.8,28.5,58.8,86.3,368.2,1395,188
2021,Dec,110.5,673.8,282.3,5875.6,685,80.2,1048.3,27.3,103.5,153.8,81.5,432.8,23.85,78.2,25.8,61.2,98.2,433.7,1452,225
2022,Jan,113.8,698.5,297.2,6258.3,715,84.3,1116.5,27.7,108.9,161.9,86.8,467.5,26.08,78.6,25.2,61.6,102.3,453.2,1463,235
2022,Jun,128.5,798.3,352.8,7715.2,845,100.2,1298.7,28.5,128.7,191.3,107.2,578.3,33.42,81.2,22.3,64.2,117.8,532.6,1523,282
2022,Dec,145.8,915.6,423.5,9625.8,1018,119.5,1518.3,29.5,152.8,227.1,132.8,732.5,43.28,84.0,19.2,67.0,136.5,625.8,1593,342
2023,Jan,150.2,952.3,448.2,10285.6,1068,125.8,1623.7,29.9,161.2,239.6,141.5,792.8,47.35,84.4,18.6,67.4,142.3,656.2,1605,358
2023,Jun,171.5,1095.8,532.7,12738.5,1268,150.2,1915.6,30.8,191.5,284.7,175.2,983.7,60.85,87.5,15.2,70.5,165.8,772.3,1682,435
2023,Dec,196.8,1268.5,642.8,15932.7,1538,179.8,2275.3,31.8,228.5,339.6,217.8,1252.3,78.92,90.8,11.5,73.8,194.2,908.6,1773,532
2024,Jan,203.5,1325.8,682.3,17085.2,1618,189.5,2445.8,32.2,241.8,359.4,232.5,1358.7,86.48,91.2,10.9,74.2,202.8,956.3,1788,558
2024,Feb,208.2,1365.4,708.5,17925.6,1668,196.8,2568.3,32.5,250.3,372.1,243.8,1435.2,92.15,91.5,10.5,74.5,209.5,993.7,1798,578
2024,Mar,213.5,1408.3,738.2,18832.5,1723,204.8,2698.5,32.8,259.5,385.8,256.2,1518.3,98.25,91.8,10.1,74.8,216.8,1032.8,1810,598
2024,Apr,219.2,1453.6,769.8,19785.3,1782,213.2,2835.6,33.1,269.1,400.2,269.5,1608.2,104.82,92.1,9.7,75.1,224.5,1073.5,1823,620
2024,May,225.3,1501.2,803.5,20798.5,1845,222.1,2978.8,33.4,279.3,415.3,283.8,1704.8,111.85,92.4,9.3,75.4,232.8,1115.8,1836,642
2024,Jun,232.0,1551.3,839.2,21875.3,1912,231.5,3128.5,33.7,290.2,431.2,299.2,1808.5,119.35,92.7,8.9,75.7,241.5,1159.8,1850,665
2024,Jul,238.8,1603.8,876.5,23015.8,1983,241.3,3285.2,34.0,301.7,447.8,315.5,1918.8,127.35,93.0,8.5,76.0,250.6,1205.5,1865,689
2024,Aug,245.9,1658.7,915.8,24225.3,2058,251.6,3448.5,34.3,313.8,465.2,332.8,2036.2,135.85,93.3,8.1,76.3,260.2,1252.8,1880,714
2024,Sep,253.2,1716.2,957.2,25508.6,2138,262.5,3618.8,34.6,326.5,483.3,351.2,2160.8,144.88,93.6,7.7,76.6,270.3,1301.8,1896,740
FINTECH_ECOSYSTEM_METRICS_2024,,,,,,,,,,,,,,,,,,,,,
Payment_Service_Banks,,,,,,12,,,,,,,,,,,,,,
Digital_Banks,,,,,,8,,,,,,,,,,,,,,
Payment_Service_Providers,,,,,,285,,,,,,,,,,,,,,
Mobile_Money_Operators,,,,,,25,,,,,,,,,,,,,,
Switch_Companies,,,,,,8,,,,,,,,,,,,,,
Payment_Terminal_Providers,,,,,,15,,,,,,,,,,,,,,
Cryptocurrency_Exchanges,,,,,,18,,,,,,,,,,,,,,
Insurtech_Companies,,,,,,42,,,,,,,,,,,,,,
Wealthtech_Platforms,,,,,,28,,,,,,,,,,,,,,
Regtech_Solutions,,,,,,35,,,,,,,,,,,,,,
DIGITAL_PAYMENT_CHANNELS_2024,,,,,,,,,,,,,,,,,,,,,
USSD_Transaction_Volume_Percent,,,,,,38.5,,,,,,,,,,,,,,
Mobile_App_Volume_Percent,,,,,,28.7,,,,,,,,,,,,,,
Web_Banking_Volume_Percent,,,,,,15.2,,,,,,,,,,,,,,
POS_Volume_Percent,,,,,,12.8,,,,,,,,,,,,,,
ATM_Volume_Percent,,,,,,4.8,,,,,,,,,,,,,,
