Year,Agriculture_Growth_Percent,Manufacturing_Growth_Percent,Trade_Growth_Percent,ICT_Growth_Percent,Financial_Services_Growth_Percent,Real_Estate_Growth_Percent,Construction_Growth_Percent,Professional_Services_Growth_Percent,Transportation_Growth_Percent,Education_Growth_Percent,Healthcare_Growth_Percent,Hospitality_Growth_Percent,Energy_Growth_Percent,Mining_Growth_Percent,Agriculture_GDP_Contribution_Percent,Manufacturing_GDP_Contribution_Percent,Trade_GDP_Contribution_Percent,ICT_GDP_Contribution_Percent,Oil_Gas_GDP_Contribution_Percent
2015,3.72,-2.74,1.83,8.47,5.23,2.91,-4.82,3.45,-0.89,2.31,4.12,1.67,-3.21,-5.43,20.23,9.87,16.43,8.92,10.78
2016,4.11,-5.82,-2.14,7.89,-4.21,-3.45,-8.91,-1.23,-5.67,1.89,-0.45,-6.78,-5.12,-14.37,21.18,8.45,15.21,9.67,8.32
2017,3.45,-1.52,0.67,10.23,2.11,-2.89,-3.45,1.78,-2.34,2.45,3.12,-2.45,1.23,-3.89,21.94,8.89,15.67,10.89,9.12
2018,2.12,1.23,2.34,11.56,4.89,1.67,2.45,3.21,1.89,3.12,4.56,2.78,2.34,0.67,22.45,9.23,16.12,12.34,9.67
2019,2.36,0.89,3.21,10.87,5.67,3.45,2.89,4.12,2.67,3.78,5.23,3.89,1.89,-1.23,22.89,9.45,16.78,13.56,9.23
2020,-1.23,-8.78,-5.67,12.34,-3.45,-4.89,-7.89,-2.78,-6.89,0.45,2.89,-12.34,-3.67,-8.91,24.12,7.89,14.56,15.23,7.45
2021,2.11,3.45,1.89,14.67,8.23,2.34,4.56,4.89,3.21,2.78,5.67,8.91,2.12,1.45,24.67,8.56,15.12,17.89,7.89
2022,1.89,2.67,2.78,16.23,7.89,3.89,3.45,5.67,4.12,3.45,6.34,11.23,1.67,0.89,24.89,8.89,15.67,20.45,7.34
2023,1.34,-1.89,0.89,15.78,4.56,1.23,-2.34,2.89,1.45,2.12,4.89,6.78,-0.89,-2.67,25.12,8.34,15.34,23.67,6.89
2024,2.01,1.45,2.12,14.89,6.23,2.67,1.89,4.34,2.78,2.89,5.78,9.45,1.12,0.34,25.45,8.67,15.89,26.23,6.45
