firm_id,state,geo_political_zone,location_type,industry_code,industry_name,firm_age_years,num_employees,annual_turnover_naira,legal_structure,owner_age,owner_gender,owner_education,field_of_study,prior_entrepreneurial_exp,digital_literacy_score,digital_tools_computers,digital_tools_accounting_software,digital_tools_crm,digital_tools_ecommerce,digital_tools_cloud_computing,digital_tools_social_media,advanced_tech_ai_ml,advanced_tech_iot,advanced_tech_blockchain,advanced_tech_robotics,website_presence,social_media_presence,online_payments,new_production_methods,supply_chain_software,inventory_management,new_support_processes,new_products_services_3yrs,frequency_new_launches,product_improvement_efforts,revenue_model_changes,value_proposition_changes,customer_engagement_changes,competitive_pressure,customer_demand_innovation,management_innovation_attitude,access_to_credit,cost_of_innovation,internal_capital_sufficiency,skilled_employee_availability,training_costs,management_capability,electricity_reliability,internet_quality_cost,logistics_transportation,regulatory_burden,corruption_informal_charges,govt_support_effectiveness,competition_intensity,demand_uncertainty,international_market_access,profitability_growth_3yrs,sales_growth_3yrs,market_share_growth_3yrs,roi_satisfaction,overall_performance_satisfaction,annual_turnover_growth_pct,profit_margin_pct,employee_growth_pct,new_branches_3yrs,product_line_increase,service_quality_improvement,customer_satisfaction_improvement,innovation_composite_score,constraint_composite_score,performance_composite_score
SME_0001,Kebbi,North West,Urban,C13,Textiles Manufacturing,1,6,4341807,Limited Liability Company,46,Female,OND/NCE,Engineering,1,4,3,3,4,3,2,2,1,1,1,1,3,3,2,3,3,3,4,1,1,2,2,1,2,3,3,4,3,3,3,1,2,2,5,4,5,3,3,4,4,2,4,3,4,3,3,4,-14.8,-1.4,,0,2,2,2,2.8,3.0,3.6666666666666665
SME_0002,Osun,South West,Urban,A01,"Agriculture, Forestry and Fishing",4,17,23532854,Partnership,48,Female,OND/NCE,Arts/Humanities,0,4,2,2,3,2,2,3,2,1,1,1,2,2,1,1,1,1,1,3,3,3,3,2,3,3,2,1,4,3,3,1,1,1,5,4,3,3,3,3,3,3,3,2,2,2,2,2,,-4.0,-30.0,0,1,2,2,2.2,3.3333333333333335,2.0
SME_0003,Borno,North East,Rural,A01,"Agriculture, Forestry and Fishing",1,3,3851249,Partnership,50,Male,Primary Education,Business/Management,1,5,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,4,5,4,1,1,1,1,1,1,5,5,5,4,4,5,4,5,5,5,4,5,5,5,4,1,1,1,1,1,12.8,,-10.1,0,1,1,1,2.0,4.333333333333333,1.0
SME_0004,Kano,North West,Urban,J62,IT Services,4,4,9941822,Limited Liability Company,56,Male,Master,Agriculture,0,7,4,3,5,4,4,3,4,3,4,3,5,5,5,5,5,4,5,3,4,4,3,3,3,5,5,5,5,5,4,5,2,4,5,4,5,4,4,4,5,5,5,2,3,3,3,3,0.3,,28.1,0,3,2,3,4.0,5.0,2.6666666666666665
SME_0005,Ondo,South West,Rural,C10,Food Products Manufacturing,1,7,7820871,Sole Proprietorship,27,Male,Primary Education,Business/Management,1,6,1,1,1,1,1,1,2,2,2,3,1,2,1,3,2,2,2,1,1,1,1,1,1,4,4,4,3,4,4,3,4,4,4,5,4,1,3,2,5,4,4,1,2,1,1,2,-11.7,1.1,-0.9,0,1,1,1,1.4,3.3333333333333335,1.6666666666666667
SME_0006,Kwara,North Central,Urban,G47,Retail Trade,3,6,4189150,Partnership,42,Female,HND/Bachelor,Arts/Humanities,0,6,3,3,4,2,3,3,1,2,2,2,4,4,4,1,1,1,1,3,2,2,3,3,4,3,4,3,2,4,3,4,3,4,4,4,3,3,4,3,4,4,3,2,2,3,2,2,-30.5,,-9.3,0,2,2,1,2.8,3.3333333333333335,2.0
SME_0007,Sokoto,North West,Urban,I55,Accommodation Services,9,5,9560583,Sole Proprietorship,31,Male,HND/Bachelor,Agriculture,1,7,2,4,3,3,3,3,2,3,1,2,4,3,4,4,5,3,4,5,5,5,4,4,3,3,3,2,5,4,5,4,3,2,3,5,4,4,4,4,4,5,4,2,2,3,2,2,-3.9,8.4,,0,2,2,2,3.6,4.0,2.0
SME_0008,Kogi,North Central,Rural,G47,Retail Trade,2,3,3506022,Limited Liability Company,37,Male,OND/NCE,Social Sciences,1,5,3,3,3,3,4,3,1,1,2,1,1,1,2,2,3,1,2,3,3,4,3,3,3,3,3,3,5,4,5,5,3,4,5,4,5,3,4,2,4,4,4,2,3,3,3,4,,4.7,-22.2,0,2,2,2,2.8,5.0,3.0
SME_0009,Kwara,North Central,Rural,A01,"Agriculture, Forestry and Fishing",1,1,1244973,Partnership,32,Male,HND/Bachelor,Business/Management,1,7,4,4,3,4,4,4,2,3,3,3,3,3,3,4,5,4,4,2,2,2,3,2,1,3,1,2,2,3,5,3,3,3,5,5,4,4,3,4,4,3,5,2,2,3,2,3,-3.1,2.9,,0,2,2,2,3.4,3.3333333333333335,2.3333333333333335
SME_0010,Yobe,North East,Rural,J62,IT Services,6,13,19756278,Sole Proprietorship,47,Male,HND/Bachelor,Computer Science/IT,1,6,4,4,4,4,4,4,1,2,1,1,4,4,5,4,2,3,3,5,4,4,3,3,3,5,5,4,5,5,5,3,4,4,4,5,5,4,5,5,3,3,3,3,2,2,2,3,,,1.6,0,3,2,3,4.2,4.0,2.6666666666666665
SME_0011,Gombe,North East,Rural,A01,"Agriculture, Forestry and Fishing",2,12,8424632,Limited Liability Company,54,Male,HND/Bachelor,Agriculture,0,5,4,4,4,5,4,3,3,4,3,2,1,2,1,4,3,2,3,2,2,3,2,1,2,2,2,2,3,4,3,3,2,3,4,5,5,1,3,2,4,4,3,2,2,1,2,1,-23.3,,-8.3,0,3,2,2,3.6,3.3333333333333335,1.6666666666666667
SME_0012,Kogi,North Central,Rural,J62,IT Services,17,3,8902398,Partnership,55,Female,OND/NCE,Agriculture,0,7,1,2,2,3,2,2,1,2,2,2,5,4,4,3,2,3,3,2,3,2,4,3,3,3,4,3,3,4,4,5,4,5,5,5,5,4,4,5,4,3,3,3,2,3,2,2,-22.9,5.5,-30.0,0,3,3,3,2.0,4.333333333333333,2.3333333333333335
SME_0013,Anambra,South East,Rural,M73,Advertising and Market Research,1,10,12827495,Limited Liability Company,28,Male,Secondary Education,Other,1,8,2,2,2,4,3,2,3,2,2,2,3,3,3,5,4,4,5,3,4,3,4,4,3,4,2,4,4,3,4,2,3,3,5,5,4,5,5,5,3,5,4,2,3,2,2,3,-11.2,10.5,42.1,0,4,2,2,2.8,3.6666666666666665,2.6666666666666665
SME_0014,Lagos,South West,Urban,G47,Retail Trade,25,6,3839632,Sole Proprietorship,40,Female,HND/Bachelor,Computer Science/IT,1,8,4,4,5,3,4,4,3,3,2,3,4,4,4,4,4,5,5,3,3,2,3,3,3,4,3,4,4,3,3,3,4,3,4,4,3,1,2,3,3,5,4,3,4,3,3,4,,,,0,3,3,2,4.0,3.6666666666666665,3.6666666666666665
SME_0015,Benue,North Central,Rural,H49,Transportation and Storage,3,22,18249264,Limited Liability Company,28,Male,Primary Education,Social Sciences,1,4,2,1,2,2,1,2,1,1,1,2,4,3,3,2,1,1,2,1,1,1,1,1,1,2,2,1,2,4,2,4,3,4,3,4,3,1,4,3,4,4,4,1,1,2,2,2,-18.9,1.4,10.1,0,2,2,2,1.6,3.0,1.3333333333333333
SME_0016,Zamfara,North West,Rural,G47,Retail Trade,2,1,1100624,Partnership,28,Male,OND/NCE,Medicine/Health,0,6,2,2,3,2,1,3,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,3,4,4,5,5,5,4,5,5,5,4,5,4,4,4,5,5,3,1,1,1,1,1,-28.9,,-27.5,0,1,1,1,1.8,4.666666666666667,1.0
SME_0017,Ogun,South West,Rural,F41,Construction,1,6,3382238,Partnership,34,Male,OND/NCE,Education,1,5,2,2,2,2,2,2,1,1,1,1,1,3,2,3,4,4,3,4,4,4,1,1,1,2,3,2,3,4,3,4,5,5,4,5,4,4,4,5,2,3,4,2,2,2,2,2,-12.1,9.7,17.5,0,2,1,2,2.6,3.6666666666666665,2.0
SME_0018,Katsina,North West,Urban,M73,Advertising and Market Research,6,6,7162805,Limited Liability Company,46,Female,HND/Bachelor,Sciences,1,8,5,5,5,5,5,5,2,2,2,1,4,3,4,5,5,4,5,5,5,5,5,4,5,3,2,3,3,4,3,2,3,4,5,5,5,5,5,5,3,2,3,4,4,5,4,4,18.5,25.3,39.8,3,4,4,4,5.0,3.3333333333333335,4.0
SME_0019,Anambra,South East,Urban,M73,Advertising and Market Research,1,8,9027290,Limited Liability Company,48,Female,Secondary Education,Social Sciences,0,7,4,4,4,4,4,4,2,2,2,2,4,3,4,3,3,3,2,4,4,3,3,4,5,4,5,4,4,4,4,4,4,4,4,2,2,4,5,5,1,1,2,3,3,3,3,3,,13.7,-9.3,0,3,4,2,3.8,4.0,3.0
SME_0020,Benue,North Central,Rural,F41,Construction,6,34,56746149,Limited Liability Company,49,Male,OND/NCE,Sciences,1,4,4,3,4,4,3,3,3,4,2,2,1,2,2,2,2,2,2,3,3,3,3,3,2,3,3,3,4,4,5,4,5,5,4,3,4,3,2,2,3,4,3,2,1,2,1,2,,15.4,,0,2,3,3,3.2,4.0,1.6666666666666667
SME_0021,Oyo,South West,Rural,I55,Accommodation Services,9,6,6194477,Limited Liability Company,49,Female,Primary Education,Social Sciences,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,3,2,1,1,1,2,2,4,3,4,3,3,3,5,4,4,4,4,4,4,5,4,1,1,1,1,1,-2.7,-5.0,,0,2,2,2,1.8,4.0,1.0
SME_0022,Rivers,South South,Urban,N77,Rental and Leasing,1,15,29607347,Sole Proprietorship,31,Male,HND/Bachelor,Arts/Humanities,1,8,4,4,4,3,3,3,1,1,2,2,4,5,4,4,3,4,4,3,4,4,3,3,3,5,5,5,2,4,4,2,4,2,3,2,3,4,5,4,3,3,4,3,3,3,3,3,8.5,,-20.4,0,4,3,4,3.8,2.3333333333333335,3.0
SME_0023,Nasarawa,North Central,Urban,Q86,Health Services,14,6,4626929,Sole Proprietorship,56,Male,HND/Bachelor,Social Sciences,0,5,4,3,3,3,3,4,1,2,1,1,3,4,3,2,2,3,3,4,3,3,4,3,3,4,4,4,3,3,3,3,3,3,4,4,3,4,3,4,3,3,1,3,3,3,3,3,,17.9,0.2,0,3,2,2,3.2,3.3333333333333335,3.0
SME_0024,Kebbi,North West,Rural,G47,Retail Trade,2,21,26204472,Sole Proprietorship,51,Male,Secondary Education,Economics/Finance,0,6,3,2,3,2,2,2,3,3,2,3,2,3,3,1,1,2,1,3,2,3,3,4,4,3,3,2,5,5,5,4,3,3,5,4,3,4,4,2,3,5,3,2,2,2,2,3,-11.5,,-2.4,0,2,1,2,2.4,4.666666666666667,2.3333333333333335
SME_0025,Ondo,South West,Urban,G47,Retail Trade,3,15,8566410,Partnership,37,Female,OND/NCE,Sciences,0,4,5,4,4,4,4,4,1,2,1,1,2,2,2,5,3,3,4,2,3,3,1,2,1,1,2,4,3,2,2,3,3,4,5,5,5,3,3,2,4,2,2,3,3,3,3,4,9.2,11.9,9.0,0,3,2,3,4.0,3.6666666666666665,3.3333333333333335
SME_0026,Plateau,North Central,Urban,C25,Metal Products Manufacturing,1,5,8003979,Sole Proprietorship,37,Male,Secondary Education,Economics/Finance,1,3,3,3,2,3,3,3,1,1,1,1,3,3,2,3,3,3,3,1,2,2,1,2,1,4,4,4,5,4,5,4,5,4,4,3,5,3,3,2,3,4,4,1,2,2,2,2,-1.5,0.8,-19.0,0,1,1,1,2.4,4.333333333333333,1.6666666666666667
SME_0027,Abuja,North Central,Rural,Q86,Health Services,4,4,7968522,Partnership,34,Male,OND/NCE,Education,1,5,2,2,2,2,2,3,1,1,2,1,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,1,1,2,2,1,,-3.6,-10.8,0,1,1,1,2.4,5.0,1.0
SME_0028,Borno,North East,Urban,C10,Food Products Manufacturing,6,12,20744495,Limited Liability Company,26,Male,Primary Education,Economics/Finance,0,5,1,3,2,2,2,2,1,1,1,1,1,1,1,4,5,4,4,3,3,3,3,2,1,4,4,3,3,4,3,3,3,4,4,4,5,3,2,3,1,3,2,2,3,2,3,3,,6.9,28.4,0,2,3,2,2.6,3.3333333333333335,2.6666666666666665
SME_0029,Cross River,South South,Rural,H49,Transportation and Storage,1,3,4000665,Sole Proprietorship,49,Male,Secondary Education,Economics/Finance,1,7,2,2,2,3,3,2,2,1,1,1,4,3,4,3,4,3,2,3,3,3,1,1,1,4,4,5,5,4,5,5,5,4,5,4,4,3,4,5,5,4,4,1,1,1,1,1,-3.6,,-27.8,0,1,1,1,2.4,5.0,1.0
SME_0030,Plateau,North Central,Rural,C25,Metal Products Manufacturing,5,8,9816896,Limited Liability Company,51,Male,OND/NCE,Other,1,5,2,3,3,3,3,4,3,1,1,2,4,2,3,4,4,4,4,3,3,3,2,3,2,2,2,2,4,3,4,5,4,4,3,4,4,4,4,5,3,3,4,2,3,3,2,3,-4.3,,28.2,0,3,3,2,3.0,4.0,2.6666666666666665
SME_0031,Ekiti,South West,Urban,C25,Metal Products Manufacturing,6,5,8762724,Sole Proprietorship,30,Male,No Formal Education,Arts/Humanities,1,6,2,1,2,2,2,1,1,1,1,1,2,4,3,1,1,2,1,2,1,2,3,2,3,2,1,1,3,2,3,3,4,2,4,3,5,3,3,4,3,3,3,1,2,3,1,1,-2.6,0.8,,0,2,2,2,1.6,3.3333333333333335,1.3333333333333333
SME_0032,Zamfara,North West,Urban,G47,Retail Trade,8,10,17135650,Sole Proprietorship,27,Male,Primary Education,Medicine/Health,0,5,2,3,2,2,2,2,1,1,1,1,3,2,3,3,2,2,3,1,1,1,2,1,1,2,3,3,4,3,4,3,4,4,4,5,4,2,3,4,5,5,5,1,1,1,1,1,,1.3,-19.6,0,2,2,2,2.2,3.6666666666666665,1.0
