Year,Total_SMEs_Million,SME_GDP_Contribution_Percent,SME_Employment_Million,Formal_SMEs_Percent,Informal_SMEs_Percent,SME_Survival_Rate_5Years_Percent,New_SME_Registrations_Thousands,SME_Closure_Rate_Percent,Access_to_Finance_Percent,SME_Export_Value_Billion_NGN,Women_Owned_SMEs_Percent,Youth_Owned_SMEs_Percent,Tech_Enabled_SMEs_Percent,SME_Innovation_Rate_Percent,Average_SME_Size_Employees,SME_Digitalization_Index,SME_Training_Access_Percent,SME_Loan_Default_Rate_Percent,SME_Credit_to_GDP_Percent,Microfinance_Penetration_Percent
2015,37.07,48.23,59.64,15.6,84.4,42.3,156.78,18.7,5.4,234.56,23.4,34.2,8.7,12.4,4.2,2.34,12.6,23.4,2.8,14.3
2016,38.45,47.89,60.23,16.2,83.8,41.8,148.92,19.8,5.1,198.34,24.1,35.6,10.2,13.8,4.3,2.67,13.4,25.1,2.6,15.1
2017,39.92,48.12,61.34,16.9,83.1,42.5,167.45,18.9,5.6,223.67,24.9,36.8,12.4,15.3,4.4,3.12,14.8,24.2,2.7,16.2
2018,41.56,48.56,62.89,17.8,82.2,43.7,189.23,17.8,6.3,267.89,25.8,38.2,15.1,17.6,4.5,3.67,16.3,22.8,2.9,17.6
2019,43.34,49.23,64.78,18.7,81.3,44.9,212.34,16.9,7.1,312.45,26.7,39.7,18.9,20.4,4.7,4.34,18.1,21.4,3.2,19.3
2020,44.23,50.12,63.45,19.2,80.8,42.3,178.92,21.3,6.4,278.92,27.3,40.8,22.7,23.1,4.6,4.89,17.2,26.7,2.9,20.1
2021,45.89,51.34,66.23,20.1,79.9,45.6,234.56,18.4,7.8,367.34,28.2,42.3,27.8,26.9,4.8,5.67,19.8,23.9,3.4,21.8
2022,47.78,52.67,68.92,21.3,78.7,47.2,278.45,17.1,8.9,456.78,29.4,44.1,34.2,31.2,5.0,6.45,22.3,21.6,3.8,23.9
2023,49.34,53.45,70.45,22.1,77.9,46.8,267.89,18.9,8.2,423.45,30.1,45.3,41.8,33.8,5.1,7.12,23.1,24.3,3.5,24.8
2024,51.23,54.23,72.34,23.2,76.8,48.1,289.67,17.4,9.4,501.23,31.2,46.9,49.7,37.4,5.3,7.89,25.6,22.7,3.9,26.5
