# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Material,Temperature_C,Elastic_Modulus_GPa,Poisson_Ratio,Flexural_Strength_MPa,Fracture_Toughness_MPa_sqrt_m,Weibull_Modulus
8YSZ,25,210.0,0.31,250.0,2.0,10.0
8YSZ,50,208.5,0.31,247.7,1.98,9.9
8YSZ,75,206.9,0.31,245.4,1.96,9.8
8YSZ,100,205.4,0.31,243.1,1.95,9.8
8YSZ,125,203.8,0.31,240.8,1.93,9.7
8YSZ,150,202.3,0.31,238.5,1.91,9.6
8YSZ,175,200.8,0.31,236.2,1.89,9.5
8YSZ,200,199.2,0.31,233.8,1.87,9.5
8YSZ,225,197.7,0.31,231.5,1.86,9.4
8YSZ,250,196.2,0.31,229.2,1.84,9.3
8YSZ,275,194.6,0.31,226.9,1.82,9.2
8YSZ,300,193.1,0.31,224.6,1.8,9.2
8YSZ,325,191.5,0.31,222.3,1.78,9.1
8YSZ,350,190.0,0.31,220.0,1.77,9.0
8YSZ,375,188.5,0.31,217.7,1.75,8.9
8YSZ,400,186.9,0.31,215.4,1.73,8.8
8YSZ,425,185.4,0.31,213.1,1.71,8.8
8YSZ,450,183.8,0.31,210.8,1.69,8.7
8YSZ,475,182.3,0.31,208.5,1.68,8.6
8YSZ,500,180.8,0.31,206.2,1.66,8.5
8YSZ,525,179.2,0.31,203.8,1.64,8.5
8YSZ,550,177.7,0.31,201.5,1.62,8.4
8YSZ,575,176.2,0.31,199.2,1.61,8.3
8YSZ,600,174.6,0.31,196.9,1.59,8.2
8YSZ,625,173.1,0.31,194.6,1.57,8.2
8YSZ,650,171.5,0.31,192.3,1.55,8.1
8YSZ,675,170.0,0.31,190.0,1.53,8.0
8YSZ,700,168.5,0.31,187.7,1.52,7.9
8YSZ,725,166.9,0.31,185.4,1.5,7.8
8YSZ,750,165.4,0.31,183.1,1.48,7.8
8YSZ,775,163.8,0.31,180.8,1.46,7.7
8YSZ,800,162.3,0.31,178.5,1.44,7.6
8YSZ,825,160.8,0.31,176.2,1.43,7.5
8YSZ,850,159.2,0.31,173.8,1.41,7.5
8YSZ,875,157.7,0.31,171.5,1.39,7.4
8YSZ,900,156.2,0.31,169.2,1.37,7.3
8YSZ,925,154.6,0.31,166.9,1.35,7.2
8YSZ,950,153.1,0.31,164.6,1.34,7.2
8YSZ,975,151.5,0.31,162.3,1.32,7.1
8YSZ,1000,150.0,0.31,160.0,1.3,7.0
GDC,25,185.0,0.29,200.0,1.5,9.0
GDC,50,183.6,0.29,198.5,1.49,8.9
GDC,75,182.2,0.29,196.9,1.47,8.8
GDC,100,180.8,0.29,195.4,1.46,8.8
GDC,125,179.4,0.29,193.8,1.45,8.7
GDC,150,177.9,0.29,192.3,1.44,8.6
GDC,175,176.5,0.29,190.8,1.42,8.5
GDC,200,175.1,0.29,189.2,1.41,8.5
GDC,225,173.7,0.29,187.7,1.4,8.4
GDC,250,172.3,0.29,186.2,1.38,8.3
GDC,275,170.9,0.29,184.6,1.37,8.2
GDC,300,169.5,0.29,183.1,1.36,8.2
GDC,325,168.1,0.29,181.5,1.35,8.1
GDC,350,166.7,0.29,180.0,1.33,8.0
GDC,375,165.3,0.29,178.5,1.32,7.9
GDC,400,163.8,0.29,176.9,1.31,7.8
GDC,425,162.4,0.29,175.4,1.29,7.8
GDC,450,161.0,0.29,173.8,1.28,7.7
GDC,475,159.6,0.29,172.3,1.27,7.6
GDC,500,158.2,0.29,170.8,1.26,7.5
GDC,525,156.8,0.29,169.2,1.24,7.5
GDC,550,155.4,0.29,167.7,1.23,7.4
GDC,575,154.0,0.29,166.2,1.22,7.3
GDC,600,152.6,0.29,164.6,1.21,7.2
GDC,625,151.2,0.29,163.1,1.19,7.2
GDC,650,149.7,0.29,161.5,1.18,7.1
GDC,675,148.3,0.29,160.0,1.17,7.0
GDC,700,146.9,0.29,158.5,1.15,6.9
GDC,725,145.5,0.29,156.9,1.14,6.8
GDC,750,144.1,0.29,155.4,1.13,6.8
GDC,775,142.7,0.29,153.8,1.12,6.7
GDC,800,141.3,0.29,152.3,1.1,6.6
GDC,825,139.9,0.29,150.8,1.09,6.5
GDC,850,138.5,0.29,149.2,1.08,6.5
GDC,875,137.1,0.29,147.7,1.06,6.4
GDC,900,135.6,0.29,146.2,1.05,6.3
GDC,925,134.2,0.29,144.6,1.04,6.2
GDC,950,132.8,0.29,143.1,1.03,6.2
GDC,975,131.4,0.29,141.5,1.01,6.1
GDC,1000,130.0,0.29,140.0,1.0,6.0
Ni-YSZ,25,95.0,0.3,130.0,1.8,7.0
Ni-YSZ,50,93.7,0.3,128.1,1.77,6.9
Ni-YSZ,75,92.4,0.3,126.2,1.75,6.9
Ni-YSZ,100,91.2,0.3,124.2,1.72,6.8
Ni-YSZ,125,89.9,0.3,122.3,1.7,6.8
Ni-YSZ,150,88.6,0.3,120.4,1.67,6.7
Ni-YSZ,175,87.3,0.3,118.5,1.65,6.7
Ni-YSZ,200,86.0,0.3,116.5,1.62,6.6
Ni-YSZ,225,84.7,0.3,114.6,1.59,6.6
Ni-YSZ,250,83.5,0.3,112.7,1.57,6.5
Ni-YSZ,275,82.2,0.3,110.8,1.54,6.5
Ni-YSZ,300,80.9,0.3,108.8,1.52,6.4
Ni-YSZ,325,79.6,0.3,106.9,1.49,6.4
Ni-YSZ,350,78.3,0.3,105.0,1.47,6.3
Ni-YSZ,375,77.1,0.3,103.1,1.44,6.3
Ni-YSZ,400,75.8,0.3,101.2,1.42,6.2
Ni-YSZ,425,74.5,0.3,99.2,1.39,6.2
Ni-YSZ,450,73.2,0.3,97.3,1.36,6.1
Ni-YSZ,475,71.9,0.3,95.4,1.34,6.1
Ni-YSZ,500,70.6,0.3,93.5,1.31,6.0
Ni-YSZ,525,69.4,0.3,91.5,1.29,6.0
Ni-YSZ,550,68.1,0.3,89.6,1.26,5.9
Ni-YSZ,575,66.8,0.3,87.7,1.24,5.9
Ni-YSZ,600,65.5,0.3,85.8,1.21,5.8
Ni-YSZ,625,64.2,0.3,83.8,1.18,5.8
Ni-YSZ,650,62.9,0.3,81.9,1.16,5.7
Ni-YSZ,675,61.7,0.3,80.0,1.13,5.7
Ni-YSZ,700,60.4,0.3,78.1,1.11,5.6
Ni-YSZ,725,59.1,0.3,76.2,1.08,5.6
Ni-YSZ,750,57.8,0.3,74.2,1.06,5.5
Ni-YSZ,775,56.5,0.3,72.3,1.03,5.5
Ni-YSZ,800,55.3,0.3,70.4,1.01,5.4
Ni-YSZ,825,54.0,0.3,68.5,0.98,5.4
Ni-YSZ,850,52.7,0.3,66.5,0.95,5.3
Ni-YSZ,875,51.4,0.3,64.6,0.93,5.3
Ni-YSZ,900,50.1,0.3,62.7,0.9,5.2
Ni-YSZ,925,48.8,0.3,60.8,0.88,5.2
Ni-YSZ,950,47.6,0.3,58.8,0.85,5.1
Ni-YSZ,975,46.3,0.3,56.9,0.83,5.1
Ni-YSZ,1000,45.0,0.3,55.0,0.8,5.0
LSCF,25,105.0,0.25,90.0,1.0,6.0
LSCF,50,103.6,0.251,88.7,0.99,5.9
LSCF,75,102.2,0.251,87.4,0.98,5.9
LSCF,100,100.8,0.252,86.2,0.97,5.8
LSCF,125,99.4,0.252,84.9,0.96,5.8
LSCF,150,97.9,0.253,83.6,0.95,5.7
LSCF,175,96.5,0.253,82.3,0.94,5.7
LSCF,200,95.1,0.254,81.0,0.93,5.6
LSCF,225,93.7,0.254,79.7,0.92,5.6
LSCF,250,92.3,0.255,78.5,0.91,5.5
LSCF,275,90.9,0.255,77.2,0.9,5.5
LSCF,300,89.5,0.256,75.9,0.89,5.4
LSCF,325,88.1,0.256,74.6,0.88,5.4
LSCF,350,86.7,0.257,73.3,0.87,5.3
LSCF,375,85.3,0.257,72.1,0.86,5.3
LSCF,400,83.8,0.258,70.8,0.85,5.2
LSCF,425,82.4,0.258,69.5,0.84,5.2
LSCF,450,81.0,0.259,68.2,0.83,5.1
LSCF,475,79.6,0.259,66.9,0.82,5.1
LSCF,500,78.2,0.26,65.6,0.81,5.0
LSCF,525,76.8,0.26,64.4,0.79,5.0
LSCF,550,75.4,0.261,63.1,0.78,4.9
LSCF,575,74.0,0.261,61.8,0.77,4.9
LSCF,600,72.6,0.262,60.5,0.76,4.8
LSCF,625,71.2,0.262,59.2,0.75,4.8
LSCF,650,69.7,0.263,57.9,0.74,4.7
LSCF,675,68.3,0.263,56.7,0.73,4.7
LSCF,700,66.9,0.264,55.4,0.72,4.6
LSCF,725,65.5,0.264,54.1,0.71,4.6
LSCF,750,64.1,0.265,52.8,0.7,4.5
LSCF,775,62.7,0.265,51.5,0.69,4.5
LSCF,800,61.3,0.266,50.3,0.68,4.4
LSCF,825,59.9,0.266,49.0,0.67,4.4
LSCF,850,58.5,0.267,47.7,0.66,4.3
LSCF,875,57.1,0.267,46.4,0.65,4.3
LSCF,900,55.6,0.268,45.1,0.64,4.2
LSCF,925,54.2,0.268,43.8,0.63,4.2
LSCF,950,52.8,0.269,42.6,0.62,4.1
LSCF,975,51.4,0.269,41.3,0.61,4.1
LSCF,1000,50.0,0.27,40.0,0.6,4.0
LSM,25,95.0,0.26,85.0,0.9,5.0
LSM,50,93.8,0.26,83.8,0.89,5.0
LSM,75,92.6,0.26,82.6,0.88,4.9
LSM,100,91.4,0.26,81.4,0.87,4.9
LSM,125,90.2,0.26,80.2,0.86,4.9
LSM,150,89.0,0.26,79.0,0.85,4.9
LSM,175,87.8,0.26,77.8,0.84,4.8
LSM,200,86.6,0.26,76.6,0.83,4.8
LSM,225,85.4,0.26,75.4,0.82,4.8
LSM,250,84.2,0.26,74.2,0.81,4.8
LSM,275,82.9,0.26,72.9,0.8,4.7
LSM,300,81.7,0.26,71.7,0.79,4.7
LSM,325,80.5,0.26,70.5,0.78,4.7
LSM,350,79.3,0.26,69.3,0.77,4.7
LSM,375,78.1,0.26,68.1,0.76,4.6
LSM,400,76.9,0.26,66.9,0.75,4.6
LSM,425,75.7,0.26,65.7,0.74,4.6
LSM,450,74.5,0.26,64.5,0.73,4.6
LSM,475,73.3,0.26,63.3,0.72,4.5
LSM,500,72.1,0.26,62.1,0.71,4.5
LSM,525,70.9,0.26,60.9,0.69,4.5
LSM,550,69.7,0.26,59.7,0.68,4.5
LSM,575,68.5,0.26,58.5,0.67,4.4
LSM,600,67.3,0.26,57.3,0.66,4.4
LSM,625,66.1,0.26,56.1,0.65,4.4
LSM,650,64.9,0.26,54.9,0.64,4.4
LSM,675,63.7,0.26,53.7,0.63,4.3
LSM,700,62.5,0.26,52.5,0.62,4.3
LSM,725,61.3,0.26,51.3,0.61,4.3
LSM,750,60.1,0.26,50.1,0.6,4.3
LSM,775,58.8,0.26,48.8,0.59,4.2
LSM,800,57.6,0.26,47.6,0.58,4.2
LSM,825,56.4,0.26,46.4,0.57,4.2
LSM,850,55.2,0.26,45.2,0.56,4.2
LSM,875,54.0,0.26,44.0,0.55,4.1
LSM,900,52.8,0.26,42.8,0.54,4.1
LSM,925,51.6,0.26,41.6,0.53,4.1
LSM,950,50.4,0.26,40.4,0.52,4.1
LSM,975,49.2,0.26,39.2,0.51,4.0
LSM,1000,48.0,0.26,38.0,0.5,4.0
Crofer22APU,25,220.0,0.3,520.0,80.0,30.0
Crofer22APU,50,217.4,0.3,510.5,78.59,29.7
Crofer22APU,75,214.9,0.3,501.0,77.18,29.4
Crofer22APU,100,212.3,0.3,491.5,75.77,29.1
Crofer22APU,125,209.7,0.3,482.1,74.36,28.8
Crofer22APU,150,207.2,0.3,472.6,72.95,28.5
Crofer22APU,175,204.6,0.3,463.1,71.54,28.2
Crofer22APU,200,202.1,0.3,453.6,70.13,27.8
Crofer22APU,225,199.5,0.3,444.1,68.72,27.5
Crofer22APU,250,196.9,0.3,434.6,67.31,27.2
Crofer22APU,275,194.4,0.3,425.1,65.9,26.9
Crofer22APU,300,191.8,0.3,415.6,64.49,26.6
Crofer22APU,325,189.2,0.3,406.2,63.08,26.3
Crofer22APU,350,186.7,0.3,396.7,61.67,26.0
Crofer22APU,375,184.1,0.3,387.2,60.26,25.7
Crofer22APU,400,181.5,0.3,377.7,58.85,25.4
Crofer22APU,425,179.0,0.3,368.2,57.44,25.1
Crofer22APU,450,176.4,0.3,358.7,56.03,24.8
Crofer22APU,475,173.8,0.3,349.2,54.62,24.5
Crofer22APU,500,171.3,0.3,339.7,53.21,24.2
Crofer22APU,525,168.7,0.3,330.3,51.79,23.8
Crofer22APU,550,166.2,0.3,320.8,50.38,23.5
Crofer22APU,575,163.6,0.3,311.3,48.97,23.2
Crofer22APU,600,161.0,0.3,301.8,47.56,22.9
Crofer22APU,625,158.5,0.3,292.3,46.15,22.6
Crofer22APU,650,155.9,0.3,282.8,44.74,22.3
Crofer22APU,675,153.3,0.3,273.3,43.33,22.0
Crofer22APU,700,150.8,0.3,263.8,41.92,21.7
Crofer22APU,725,148.2,0.3,254.4,40.51,21.4
Crofer22APU,750,145.6,0.3,244.9,39.1,21.1
Crofer22APU,775,143.1,0.3,235.4,37.69,20.8
Crofer22APU,800,140.5,0.3,225.9,36.28,20.5
Crofer22APU,825,137.9,0.3,216.4,34.87,20.2
Crofer22APU,850,135.4,0.3,206.9,33.46,19.8
Crofer22APU,875,132.8,0.3,197.4,32.05,19.5
Crofer22APU,900,130.3,0.3,187.9,30.64,19.2
Crofer22APU,925,127.7,0.3,178.5,29.23,18.9
Crofer22APU,950,125.1,0.3,169.0,27.82,18.6
Crofer22APU,975,122.6,0.3,159.5,26.41,18.3
Crofer22APU,1000,120.0,0.3,150.0,25.0,18.0
