# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Material,Ni_vol_pct,Porosity_pct,Temperature_C,Stress_Exponent_n,Activation_Energy_kJ_per_mol,Pre_Exponential_A_1_per_s,Atmosphere,Creep_Mechanism
Ni-8YSZ,40,30,750,2.8,235,1.2e-06,H2-H2O,Diffusional
Ni-8YSZ,40,30,800,3.2,248,2.8e-06,H2-H2O,Diffusional
Ni-8YSZ,40,30,850,3.5,255,5.5e-06,H2-H2O,Diffusional-Dislocation
Ni-8YSZ,40,30,900,4.1,268,1.1e-05,H2-H2O,Dislocation
Ni-8YSZ,40,30,1000,5.2,290,3.2e-05,H2-H2O,Power-Law Dislocation
Ni-8YSZ,56,20,750,2.2,215,8.5e-07,H2-H2O,Diffusional
Ni-8YSZ,56,20,800,2.6,228,1.9e-06,H2-H2O,Diffusional
Ni-8YSZ,56,20,850,3.0,242,4.2e-06,H2-H2O,Diffusional-Dislocation
Ni-8YSZ,56,20,900,3.8,260,9.5e-06,H2-H2O,Dislocation
Ni-8YSZ,56,20,1000,4.9,285,2.8e-05,H2-H2O,Power-Law Dislocation
Ni-8YSZ,30,35,750,3.5,255,2.1e-06,H2-H2O,Diffusional
Ni-8YSZ,30,35,800,3.9,268,4.5e-06,H2-H2O,Diffusional-Dislocation
Ni-8YSZ,30,35,850,4.3,278,8.8e-06,H2-H2O,Dislocation
Ni-8YSZ,30,35,900,4.8,295,1.8e-05,H2-H2O,Dislocation
Ni-8YSZ,30,35,1000,5.2,310,4.5e-05,H2-H2O,Power-Law Dislocation
Ni-3YSZ,45,25,800,2.9,240,2.2e-06,H2-H2O,Diffusional
Ni-3YSZ,45,25,850,3.3,252,4.8e-06,H2-H2O,Diffusional-Dislocation
Ni-3YSZ,45,25,900,4.0,265,1e-05,H2-H2O,Dislocation
Ni-3YSZ,45,25,950,4.6,280,2.1e-05,H2-H2O,Dislocation
Ni-3YSZ,45,25,1000,5.0,295,3.5e-05,H2-H2O,Power-Law Dislocation
