# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Temperature_C,CTE_8YSZ,CTE_NiYSZ,CTE_LSCF,CTE_GDC,CTE_LSM,CTE_Crofer,dCTE_NiYSZ_vs_8YSZ,dCTE_LSCF_vs_8YSZ,dCTE_GDC_vs_8YSZ,Stress_Anode_Electrolyte_MPa,Stress_Cathode_Electrolyte_MPa
25,10.3,12.5,14.0,11.8,11.2,10.0,2.2,3.7,1.5,-864.3,-1453.6
50,10.34,12.56,14.07,11.83,11.23,10.06,2.215,3.728,1.49,-854.5,-1438.0
75,10.39,12.62,14.14,11.87,11.25,10.13,2.231,3.756,1.479,-844.5,-1422.1
100,10.43,12.68,14.22,11.9,11.28,10.19,2.246,3.785,1.469,-834.3,-1405.7
125,10.47,12.74,14.29,11.93,11.3,10.26,2.262,3.813,1.459,-823.8,-1389.0
150,10.52,12.79,14.36,11.97,11.33,10.32,2.277,3.841,1.449,-813.2,-1371.8
175,10.56,12.85,14.43,12.0,11.35,10.38,2.292,3.869,1.438,-802.3,-1354.2
200,10.61,12.91,14.5,12.03,11.38,10.45,2.308,3.897,1.428,-791.2,-1336.3
225,10.65,12.97,14.57,12.07,11.41,10.51,2.323,3.926,1.418,-779.9,-1317.9
250,10.69,13.03,14.65,12.1,11.43,10.58,2.338,3.954,1.408,-768.4,-1299.1
275,10.74,13.09,14.72,12.13,11.46,10.64,2.354,3.982,1.397,-756.6,-1279.9
300,10.78,13.15,14.79,12.17,11.48,10.71,2.369,4.01,1.387,-744.6,-1260.4
325,10.82,13.21,14.86,12.2,11.51,10.77,2.385,4.038,1.377,-732.4,-1240.4
350,10.87,13.27,14.93,12.23,11.53,10.83,2.4,4.067,1.367,-720.0,-1220.0
375,10.91,13.33,15.01,12.27,11.56,10.9,2.415,4.095,1.356,-707.4,-1199.2
400,10.95,13.38,15.08,12.3,11.58,10.96,2.431,4.123,1.346,-694.5,-1178.0
425,11.0,13.44,15.15,12.33,11.61,11.03,2.446,4.151,1.336,-681.4,-1156.4
450,11.04,13.5,15.22,12.37,11.64,11.09,2.462,4.179,1.326,-668.1,-1134.4
475,11.08,13.56,15.29,12.4,11.66,11.15,2.477,4.208,1.315,-654.6,-1112.0
500,11.13,13.62,15.36,12.43,11.69,11.22,2.492,4.236,1.305,-640.9,-1089.2
525,11.17,13.68,15.44,12.47,11.71,11.28,2.508,4.264,1.295,-626.9,-1066.0
550,11.22,13.74,15.51,12.5,11.74,11.35,2.523,4.292,1.285,-612.7,-1042.4
575,11.26,13.8,15.58,12.53,11.76,11.41,2.538,4.321,1.274,-598.4,-1018.4
600,11.3,13.86,15.65,12.57,11.79,11.47,2.554,4.349,1.264,-583.7,-994.0
625,11.35,13.92,15.72,12.6,11.82,11.54,2.569,4.377,1.254,-568.9,-969.2
650,11.39,13.97,15.79,12.63,11.84,11.6,2.585,4.405,1.244,-553.8,-944.0
675,11.43,14.03,15.87,12.67,11.87,11.67,2.6,4.433,1.233,-538.6,-918.3
700,11.48,14.09,15.94,12.7,11.89,11.73,2.615,4.462,1.223,-523.1,-892.3
725,11.52,14.15,16.01,12.73,11.92,11.79,2.631,4.49,1.213,-507.4,-865.9
750,11.56,14.21,16.08,12.77,11.94,11.86,2.646,4.518,1.203,-491.4,-839.0
775,11.61,14.27,16.15,12.8,11.97,11.92,2.662,4.546,1.192,-475.3,-811.8
800,11.65,14.33,16.23,12.83,11.99,11.99,2.677,4.574,1.182,-458.9,-784.2
825,11.69,14.39,16.3,12.87,12.02,12.05,2.692,4.603,1.172,-442.3,-756.1
850,11.74,14.45,16.37,12.9,12.05,12.12,2.708,4.631,1.162,-425.5,-727.7
875,11.78,14.51,16.44,12.93,12.07,12.18,2.723,4.659,1.151,-408.5,-698.8
900,11.83,14.56,16.51,12.97,12.1,12.24,2.738,4.687,1.141,-391.2,-669.6
925,11.87,14.62,16.58,13.0,12.12,12.31,2.754,4.715,1.131,-373.7,-639.9
950,11.91,14.68,16.66,13.03,12.15,12.37,2.769,4.744,1.121,-356.0,-609.9
975,11.96,14.74,16.73,13.07,12.17,12.44,2.785,4.772,1.11,-338.1,-579.4
1000,12.0,14.8,16.8,13.1,12.2,12.5,2.8,4.8,1.1,-320.0,-548.6
