# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Current_Density_A_per_cm2,Voltage_750C_V,Power_750C_W_per_cm2,Voltage_800C_V,Power_800C_W_per_cm2,Voltage_850C_V,Power_850C_W_per_cm2
0.0,1.1,0.0,1.1,0.0,1.1,0.0
0.01,1.0947,0.0109,1.0966,0.011,1.0978,0.011
0.02,1.0894,0.0218,1.0933,0.0219,1.0957,0.0219
0.03,1.0841,0.0325,1.0899,0.0327,1.0935,0.0328
0.04,1.0788,0.0432,1.0866,0.0435,1.0913,0.0437
0.05,1.0734,0.0537,1.0832,0.0542,1.0892,0.0545
0.06,1.0681,0.0641,1.0798,0.0648,1.087,0.0652
0.07,1.0628,0.0744,1.0764,0.0754,1.0848,0.0759
0.08,1.0574,0.0846,1.0731,0.0858,1.0826,0.0866
0.09,1.0379,0.0934,1.0697,0.0963,1.0805,0.0972
0.1,1.0199,0.102,1.0663,0.1066,1.0783,0.1078
0.11,1.0031,0.1103,1.0629,0.1169,1.0761,0.1184
0.12,0.9873,0.1185,1.0595,0.1271,1.0739,0.1289
0.13,0.9724,0.1264,1.0561,0.1373,1.0717,0.1393
0.14,0.9581,0.1341,1.0527,0.1474,1.0695,0.1497
0.15,0.9444,0.1417,1.0493,0.1574,1.0674,0.1601
0.16,0.9313,0.149,1.0394,0.1663,1.0652,0.1704
0.17,0.9186,0.1562,1.03,0.1751,1.063,0.1807
0.18,0.9063,0.1631,1.0208,0.1837,1.0608,0.1909
0.19,0.8944,0.1699,1.012,0.1923,1.0586,0.2011
0.2,0.8829,0.1766,1.0035,0.2007,1.0564,0.2113
0.21,0.8716,0.183,0.9951,0.209,1.0542,0.2214
0.22,0.8606,0.1893,0.9871,0.2172,1.052,0.2314
0.23,0.8498,0.1955,0.9792,0.2252,1.0498,0.2414
0.24,0.8392,0.2014,0.9715,0.2332,1.0476,0.2514
0.25,0.8289,0.2072,0.964,0.241,1.0453,0.2613
0.26,0.8187,0.2129,0.9566,0.2487,1.04,0.2704
0.27,0.8087,0.2184,0.9494,0.2563,1.0348,0.2794
0.28,0.7989,0.2237,0.9423,0.2638,1.0296,0.2883
0.29,0.7892,0.2289,0.9353,0.2712,1.0246,0.2971
0.3,0.7796,0.2339,0.9285,0.2785,1.0197,0.3059
0.31,0.7702,0.2388,0.9217,0.2857,1.0148,0.3146
0.32,0.7609,0.2435,0.9151,0.2928,1.0101,0.3232
