# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Cycle,Ramp_Rate_C_per_min,Peak_Power_W_per_cm2,OCV_V,Voltage_at_0p5Acm2_V,ASR_Ohm_cm2,Degradation_pct_per_cycle,Observation
0,5,0.68,1.1,0.75,0.28,0.15,Initial reference
1,5,0.6786,1.0992,0.7489,0.283,0.15,
2,5,0.6772,1.0984,0.7478,0.287,0.15,
3,5,0.6757,1.0976,0.7466,0.29,0.15,
4,5,0.6741,1.0968,0.7455,0.293,0.15,
5,5,0.6726,1.096,0.7444,0.297,0.15,
6,5,0.671,1.0952,0.7432,0.3,0.15,
7,5,0.6694,1.0944,0.7421,0.304,0.15,
8,5,0.6678,1.0936,0.741,0.307,0.15,
9,5,0.6661,1.0928,0.7399,0.31,0.15,
10,5,0.6645,1.092,0.7388,0.314,0.15,Minor performance drop
11,5,0.6628,1.0912,0.7376,0.317,0.15,
12,5,0.6612,1.0904,0.7365,0.32,0.15,
13,5,0.6595,1.0896,0.7354,0.324,0.15,
14,5,0.6578,1.0888,0.7342,0.327,0.15,
15,5,0.6561,1.088,0.7331,0.33,0.15,
16,5,0.6544,1.0872,0.732,0.334,0.15,
17,5,0.6527,1.0864,0.7309,0.337,0.15,
18,5,0.651,1.0856,0.7298,0.34,0.15,
19,5,0.6493,1.0848,0.7286,0.344,0.15,
20,5,0.6476,1.084,0.7275,0.347,0.15,
21,5,0.6459,1.0832,0.7264,0.351,0.15,
22,5,0.6441,1.0824,0.7252,0.354,0.15,
23,5,0.6424,1.0816,0.7241,0.357,0.15,
24,5,0.6407,1.0808,0.723,0.361,0.15,
25,5,0.6389,1.08,0.7219,0.364,0.15,Moderate degradation visible
26,5,0.6372,1.0792,0.7208,0.367,0.15,
27,5,0.6354,1.0784,0.7196,0.371,0.15,
28,5,0.6337,1.0776,0.7185,0.374,0.15,
29,5,0.6319,1.0768,0.7174,0.377,0.15,
30,5,0.6302,1.076,0.7162,0.381,0.15,
31,5,0.6284,1.0752,0.7151,0.384,0.15,
32,5,0.6266,1.0744,0.714,0.388,0.15,
33,5,0.6249,1.0736,0.7129,0.391,0.15,
34,5,0.6231,1.0728,0.7118,0.394,0.15,
35,5,0.6213,1.072,0.7106,0.398,0.15,
36,5,0.6196,1.0712,0.7095,0.401,0.15,
37,5,0.6178,1.0704,0.7084,0.404,0.15,
38,5,0.616,1.0696,0.7072,0.408,0.15,
39,5,0.6142,1.0688,0.7061,0.411,0.15,
40,5,0.6125,1.068,0.705,0.414,0.15,
41,5,0.6107,1.0672,0.7039,0.418,0.15,
42,5,0.6089,1.0664,0.7028,0.421,0.15,
43,5,0.6071,1.0656,0.7016,0.424,0.15,
44,5,0.6053,1.0648,0.7005,0.428,0.15,
45,5,0.6036,1.064,0.6994,0.431,0.15,
46,5,0.6018,1.0632,0.6982,0.435,0.15,
47,5,0.6,1.0624,0.6971,0.438,0.15,
48,5,0.5982,1.0616,0.696,0.441,0.15,
49,5,0.5964,1.0608,0.6949,0.445,0.15,
50,5,0.5946,1.06,0.6938,0.448,0.15,Stable degradation rate
51,5,0.5928,1.0592,0.6926,0.451,0.15,
52,5,0.591,1.0584,0.6915,0.455,0.15,
53,5,0.5892,1.0576,0.6904,0.458,0.15,
54,5,0.5875,1.0568,0.6892,0.461,0.15,
55,5,0.5857,1.056,0.6881,0.465,0.15,
56,5,0.5839,1.0552,0.687,0.468,0.15,
57,5,0.5821,1.0544,0.6859,0.472,0.15,
58,5,0.5803,1.0536,0.6848,0.475,0.15,
59,5,0.5785,1.0528,0.6836,0.478,0.15,
60,5,0.5767,1.052,0.6825,0.482,0.15,
61,5,0.5749,1.0512,0.6814,0.485,0.15,
62,5,0.5731,1.0504,0.6802,0.488,0.15,
63,5,0.5713,1.0496,0.6791,0.492,0.15,
64,5,0.5695,1.0488,0.678,0.495,0.15,
65,5,0.5677,1.048,0.6769,0.498,0.15,
66,5,0.5659,1.0472,0.6758,0.502,0.15,
67,5,0.5642,1.0464,0.6746,0.505,0.15,
68,5,0.5624,1.0456,0.6735,0.508,0.15,
69,5,0.5606,1.0448,0.6724,0.512,0.15,
70,5,0.5588,1.044,0.6712,0.515,0.15,
71,5,0.557,1.0432,0.6701,0.519,0.15,
72,5,0.5552,1.0424,0.669,0.522,0.15,
73,5,0.5534,1.0416,0.6679,0.525,0.15,
74,5,0.5516,1.0408,0.6667,0.529,0.15,
75,5,0.5498,1.04,0.6656,0.532,0.15,
76,5,0.548,1.0392,0.6645,0.535,0.15,
77,5,0.5463,1.0384,0.6634,0.539,0.15,
78,5,0.5445,1.0376,0.6622,0.542,0.15,
79,5,0.5427,1.0368,0.6611,0.545,0.15,
80,5,0.5409,1.036,0.66,0.549,0.15,
81,5,0.5391,1.0352,0.6589,0.552,0.15,
82,5,0.5373,1.0344,0.6578,0.556,0.15,
83,5,0.5355,1.0336,0.6566,0.559,0.15,
84,5,0.5338,1.0328,0.6555,0.562,0.15,
85,5,0.532,1.032,0.6544,0.566,0.15,
86,5,0.5302,1.0312,0.6532,0.569,0.15,
87,5,0.5284,1.0304,0.6521,0.572,0.15,
88,5,0.5267,1.0296,0.651,0.576,0.15,
89,5,0.5249,1.0288,0.6499,0.579,0.15,
90,5,0.5231,1.028,0.6487,0.582,0.15,
91,5,0.5213,1.0272,0.6476,0.586,0.15,
92,5,0.5196,1.0264,0.6465,0.589,0.15,
93,5,0.5178,1.0256,0.6454,0.592,0.15,
94,5,0.516,1.0248,0.6442,0.596,0.15,
95,5,0.5142,1.024,0.6431,0.599,0.15,
96,5,0.5125,1.0232,0.642,0.603,0.15,
97,5,0.5107,1.0224,0.6409,0.606,0.15,
98,5,0.5089,1.0216,0.6398,0.609,0.15,
99,5,0.5072,1.0208,0.6386,0.613,0.15,
100,5,0.5054,1.02,0.6375,0.616,0.15,End of test - 25% power loss
0,10,0.68,1.1,0.75,0.28,0.3,Initial reference
1,10,0.6776,1.0992,0.7478,0.283,0.3,
2,10,0.6751,1.0984,0.7455,0.287,0.3,
3,10,0.6726,1.0976,0.7432,0.29,0.3,
4,10,0.6701,1.0968,0.741,0.293,0.3,
5,10,0.6675,1.096,0.7388,0.297,0.3,
6,10,0.6649,1.0952,0.7365,0.3,0.3,
7,10,0.6623,1.0944,0.7342,0.304,0.3,
8,10,0.6597,1.0936,0.732,0.307,0.3,
9,10,0.657,1.0928,0.7298,0.31,0.3,
10,10,0.6544,1.092,0.7275,0.314,0.3,Minor performance drop
11,10,0.6517,1.0912,0.7252,0.317,0.3,
12,10,0.6491,1.0904,0.723,0.32,0.3,
13,10,0.6464,1.0896,0.7208,0.324,0.3,
14,10,0.6437,1.0888,0.7185,0.327,0.3,
15,10,0.641,1.088,0.7162,0.33,0.3,
16,10,0.6383,1.0872,0.714,0.334,0.3,
17,10,0.6357,1.0864,0.7118,0.337,0.3,
18,10,0.633,1.0856,0.7095,0.34,0.3,
19,10,0.6303,1.0848,0.7072,0.344,0.3,
20,10,0.6276,1.084,0.705,0.347,0.3,
21,10,0.6249,1.0832,0.7028,0.351,0.3,
