# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Material,Temperature_C,C1,C2_stress_exp,C3_time_exp,C4_activation_div_R_K,Valid_Stress_MPa,Model_Type
Ni-8YSZ,750,1.2e-06,3.2,0.48,29880,5-20,Norton-Bailey
Ni-8YSZ,800,2.8e-06,3.5,0.52,30600,5-25,Norton-Bailey
Ni-8YSZ,850,5.5e-06,3.8,0.55,31440,5-30,Norton-Bailey
Ni-8YSZ,900,1.1e-05,4.2,0.58,33000,5-35,Norton-Bailey
8YSZ,800,5.2e-09,1.8,0.15,52000,10-100,Diffusional Creep
8YSZ,900,2.1e-08,2.0,0.18,52800,10-120,Diffusional Creep
8YSZ,1000,6.8e-08,2.2,0.22,53500,10-140,Diffusional Creep
LSCF,750,2.5e-07,2.5,0.35,28500,3-15,Norton-Bailey
LSCF,800,5.8e-07,2.8,0.38,29200,3-18,Norton-Bailey
LSCF,850,1.2e-06,3.0,0.42,30000,3-20,Norton-Bailey
Crofer22APU,700,8.5e-08,4.5,0.25,35000,20-80,Power-Law Creep
Crofer22APU,750,2.2e-07,4.8,0.28,35800,20-90,Power-Law Creep
Crofer22APU,800,5.1e-07,5.2,0.32,36500,20-100,Power-Law Creep
Crofer22APU,850,1.1e-06,5.5,0.35,37200,20-110,Power-Law Creep
Crofer22APU,900,2.3e-06,5.8,0.38,38000,20-120,Power-Law Creep
Crofer22APU,950,4.5e-06,6.0,0.42,38800,20-130,Power-Law Creep
