# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Position_x_mm,Position_y_mm,T_SteadyState_K,T_Startup_5Cmin_K,T_LoadChange_K,dTdx_K_per_mm
0,0,1073.0,873.0,1073.0,0.0
0,5,1073.0,873.0,1073.0,0.197
0,10,1073.0,873.0,1073.0,0.388
0,15,1073.0,873.0,1073.0,0.571
0,20,1073.0,873.0,1073.0,0.739
0,25,1073.0,873.0,1073.0,0.889
0,30,1073.0,873.0,1073.0,1.017
0,35,1073.0,873.0,1073.0,1.12
0,40,1073.0,873.0,1073.01,1.195
0,45,1073.0,873.0,1073.01,1.241
0,50,1073.0,873.0,1073.01,1.257
0,55,1073.0,873.0,1073.01,1.241
0,60,1073.0,873.0,1073.01,1.195
0,65,1073.0,873.0,1073.0,1.12
0,70,1073.0,873.0,1073.0,1.017
0,75,1073.0,873.0,1073.0,0.889
0,80,1073.0,873.0,1073.0,0.739
0,85,1073.0,873.0,1073.0,0.571
0,90,1073.0,873.0,1073.0,0.388
0,95,1073.0,873.0,1073.0,0.197
0,100,1073.0,873.0,1073.0,0.0
2,0,1073.0,877.0,1073.0,0.0
2,5,1073.39,877.0,1073.0,0.196
2,10,1073.78,877.0,1073.0,0.388
2,15,1074.14,877.0,1073.0,0.569
2,20,1074.48,877.0,1073.0,0.737
2,25,1074.78,877.0,1073.0,0.887
2,30,1075.03,877.0,1073.0,1.015
2,35,1075.24,877.0,1073.01,1.117
2,40,1075.39,877.0,1073.01,1.193
2,45,1075.48,877.0,1073.01,1.239
2,50,1075.51,877.0,1073.01,1.254
2,55,1075.48,877.0,1073.01,1.239
2,60,1075.39,877.0,1073.01,1.193
2,65,1075.24,877.0,1073.01,1.117
2,70,1075.03,877.0,1073.0,1.015
2,75,1074.78,877.0,1073.0,0.887
2,80,1074.48,877.0,1073.0,0.737
2,85,1074.14,877.0,1073.0,0.569
2,90,1073.78,877.0,1073.0,0.388
2,95,1073.39,877.0,1073.0,0.196
2,100,1073.0,877.0,1073.0,0.0
4,0,1073.0,881.0,1073.0,0.0
4,5,1073.78,881.0,1073.0,0.195
4,10,1074.55,881.0,1073.0,0.385
4,15,1075.28,881.0,1073.0,0.566
4,20,1075.95,881.0,1073.0,0.733
4,25,1076.54,881.0,1073.0,0.882
4,30,1077.06,881.0,1073.01,1.009
4,35,1077.47,881.0,1073.01,1.111
4,40,1077.77,881.0,1073.02,1.186
4,45,1077.95,881.0,1073.02,1.231
4,50,1078.01,881.0,1073.02,1.247
4,55,1077.95,881.0,1073.02,1.231
4,60,1077.77,881.0,1073.02,1.186
4,65,1077.47,881.0,1073.01,1.111
4,70,1077.06,881.0,1073.01,1.009
4,75,1076.54,881.0,1073.0,0.882
4,80,1075.95,881.0,1073.0,0.733
4,85,1075.28,881.0,1073.0,0.566
4,90,1074.55,881.0,1073.0,0.385
4,95,1073.78,881.0,1073.0,0.195
4,100,1073.0,881.0,1073.0,0.0
6,0,1073.0,885.0,1073.0,0.0
6,5,1074.17,885.0,1073.0,0.193
6,10,1075.32,885.0,1073.0,0.381
6,15,1076.4,885.0,1073.0,0.56
6,20,1077.41,885.0,1073.0,0.726
6,25,1078.3,885.0,1073.01,0.873
6,30,1079.06,885.0,1073.02,0.999
6,35,1079.68,885.0,1073.02,1.1
6,40,1080.13,885.0,1073.03,1.174
