# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Time_s,Temperature_C,Phase,VonMises_Anode_MPa,VonMises_Electrolyte_MPa,VonMises_Cathode_MPa,VonMises_Interconnect_MPa,Max_Principal_Electrolyte_MPa,Interface_Shear_MPa,Anode_Creep_Strain_pct
0,25.0,Heating,15.0,10.0,12.0,8.0,12.0,3.0,0.0
29,33.7,Heating,15.5,10.4,12.4,8.3,12.5,3.1,0.0
58,42.4,Heating,16.0,10.8,12.9,8.6,12.9,3.2,0.0
87,51.1,Heating,16.5,11.2,13.3,8.9,13.4,3.4,0.0
116,59.8,Heating,17.0,11.6,13.8,9.3,13.9,3.5,0.0
146,68.5,Heating,17.5,12.0,14.2,9.6,14.4,3.6,0.0
175,77.2,Heating,18.0,12.4,14.7,9.9,14.8,3.7,0.0
204,86.0,Heating,18.5,12.8,15.1,10.2,15.3,3.8,0.0
233,94.7,Heating,19.0,13.1,15.6,10.5,15.8,3.9,0.0
262,103.4,Heating,19.6,13.5,16.0,10.8,16.2,4.1,0.0
292,112.1,Heating,20.1,13.9,16.5,11.1,16.7,4.2,0.0
321,120.8,Heating,20.6,14.3,16.9,11.5,17.2,4.3,0.0
350,129.5,Heating,21.1,14.7,17.4,11.8,17.7,4.4,0.0
379,138.2,Heating,21.6,15.1,17.8,12.1,18.1,4.5,0.0
408,146.9,Heating,22.1,15.5,18.3,12.4,18.6,4.7,0.0
438,155.6,Heating,22.6,15.9,18.7,12.7,19.1,4.8,0.0
467,164.3,Heating,23.1,16.3,19.2,13.0,19.6,4.9,0.0
496,173.0,Heating,23.6,16.7,19.6,13.3,20.0,5.0,0.0
525,181.7,Heating,24.1,17.1,20.1,13.7,20.5,5.1,0.0
555,190.4,Heating,24.6,17.5,20.5,14.0,21.0,5.2,0.0
584,199.2,Heating,25.1,17.9,21.0,14.3,21.4,5.4,0.0
613,207.9,Heating,25.6,18.3,21.4,14.6,21.9,5.5,0.0
642,216.6,Heating,26.1,18.7,21.9,14.9,22.4,5.6,0.0
671,225.3,Heating,26.6,19.0,22.3,15.2,22.9,5.7,0.0
701,234.0,Heating,27.1,19.4,22.8,15.6,23.3,5.8,0.0
730,242.7,Heating,27.6,19.8,23.2,15.9,23.8,5.9,0.0
759,251.4,Heating,28.1,20.2,23.7,16.2,24.3,6.1,0.0
788,260.1,Heating,28.7,20.6,24.1,16.5,24.7,6.2,0.0
817,268.8,Heating,29.2,21.0,24.6,16.8,25.2,6.3,0.0
847,277.5,Heating,29.7,21.4,25.0,17.1,25.7,6.4,0.0
876,286.2,Heating,30.2,21.8,25.5,17.4,26.2,6.5,0.0
905,294.9,Heating,30.7,22.2,25.9,17.8,26.6,6.7,0.0
934,303.7,Heating,31.2,22.6,26.4,18.1,27.1,6.8,0.0
964,312.4,Heating,31.7,23.0,26.8,18.4,27.6,6.9,0.0
993,321.1,Heating,32.2,23.4,27.3,18.7,28.0,7.0,0.0
1022,329.8,Heating,32.7,23.8,27.7,19.0,28.5,7.1,0.0
1051,338.5,Heating,33.2,24.2,28.2,19.3,29.0,7.2,0.0
1080,347.2,Heating,33.7,24.6,28.6,19.6,29.5,7.4,0.0
1110,355.9,Heating,34.2,24.9,29.1,20.0,29.9,7.5,0.0
1139,364.6,Heating,34.7,25.3,29.5,20.3,30.4,7.6,0.0
1168,373.3,Heating,35.2,25.7,30.0,20.6,30.9,7.7,0.0
1197,382.0,Heating,35.7,26.1,30.4,20.9,31.3,7.8,0.0
1226,390.7,Heating,36.2,26.5,30.9,21.2,31.8,8.0,0.0
1256,399.4,Heating,36.7,26.9,31.3,21.5,32.3,8.1,0.0
1285,408.1,Heating,37.2,27.3,31.8,21.8,32.8,8.2,0.0
1314,416.9,Heating,37.8,27.7,32.2,22.2,33.2,8.3,0.0
1343,425.6,Heating,38.3,28.1,32.7,22.5,33.7,8.4,0.0
1373,434.3,Heating,38.8,28.5,33.1,22.8,34.2,8.5,0.0
1402,443.0,Heating,39.3,28.9,33.6,23.1,34.7,8.7,0.0
1431,451.7,Heating,39.8,29.3,34.0,23.4,35.1,8.8,0.0
1460,460.4,Heating,40.3,29.7,34.5,23.7,35.6,8.9,0.0
1489,469.1,Heating,40.8,30.1,34.9,24.0,36.1,9.0,0.0
1519,477.8,Heating,41.3,30.4,35.4,24.4,36.5,9.1,0.0
1548,486.5,Heating,41.8,30.8,35.8,24.7,37.0,9.3,0.0
1577,495.2,Heating,42.3,31.2,36.3,25.0,37.5,9.4,0.0
1606,503.9,Heating,42.8,31.6,36.7,25.3,38.0,9.5,0.0
1635,512.6,Heating,43.3,32.0,37.2,25.6,38.4,9.6,0.0
1665,521.3,Heating,43.8,32.4,37.6,25.9,38.9,9.7,0.0
1694,530.1,Heating,44.3,32.8,38.1,26.2,39.4,9.8,0.0
1723,538.8,Heating,44.8,33.2,38.5,26.6,39.8,10.0,0.0
1752,547.5,Heating,45.3,33.6,39.0,26.9,40.3,10.1,0.0
1782,556.2,Heating,45.8,34.0,39.4,27.2,40.8,10.2,0.0
1811,564.9,Heating,46.3,34.4,39.9,27.5,41.3,10.3,0.0
1840,573.6,Heating,46.9,34.8,40.3,27.8,41.7,10.4,0.0
1869,582.3,Heating,47.4,35.2,40.8,28.1,42.2,10.6,0.0
1898,591.0,Heating,47.9,35.6,41.2,28.4,42.7,10.7,0.0
1928,599.7,Heating,48.4,36.0,41.7,28.8,43.1,10.8,0.0
1957,608.4,Heating,48.9,36.3,42.1,29.1,43.6,10.9,0.0
1986,617.1,Heating,49.4,36.7,42.6,29.4,44.1,11.0,0.0
2015,625.8,Heating,49.9,37.1,43.0,29.7,44.6,11.1,0.0
2044,634.6,Heating,50.4,37.5,43.5,30.0,45.0,11.3,0.0
2074,643.3,Heating,50.9,37.9,43.9,30.3,45.5,11.4,0.0
2103,652.0,Heating,51.4,38.3,44.4,30.7,46.0,11.5,0.0
2132,660.7,Heating,51.9,38.7,44.8,31.0,46.4,11.6,0.0
2161,669.4,Heating,52.4,39.1,45.3,31.3,46.9,11.7,0.0
2191,678.1,Heating,52.9,39.5,45.7,31.6,47.4,11.8,0.0
2220,686.8,Heating,53.4,39.9,46.2,31.9,47.9,12.0,0.0
2249,695.5,Heating,53.9,40.3,46.6,32.2,48.3,12.1,0.0
2278,704.2,Heating,54.4,40.7,47.1,32.5,48.8,12.2,0.0
2307,712.9,Heating,54.9,41.1,47.5,32.9,49.3,12.3,0.0
2337,721.6,Heating,55.4,41.5,48.0,33.2,49.8,12.4,0.0
2366,730.3,Heating,56.0,41.9,48.4,33.5,50.2,12.6,0.0
2395,739.0,Heating,56.5,42.2,48.9,33.8,50.7,12.7,0.0
2424,747.8,Heating,57.0,42.6,49.3,34.1,51.2,12.8,0.0
2453,756.5,Heating,57.5,43.0,49.8,34.4,51.6,12.9,0.0
2483,765.2,Heating,58.0,43.4,50.2,34.7,52.1,13.0,0.0
2512,773.9,Heating,58.5,43.8,50.7,35.1,52.6,13.1,0.0
2541,782.6,Heating,59.0,44.2,51.1,35.4,53.1,13.3,0.0
2570,791.3,Heating,59.5,44.6,51.6,35.7,53.5,13.4,0.0
2600,800.0,Heating,60.0,45.0,52.0,36.0,54.0,13.5,0.0
2600,800.0,Dwell,60.0,45.0,52.0,36.0,54.0,13.5,0.0
2645,800.0,Dwell,58.7,44.0,50.9,35.2,52.8,13.2,0.003
2691,800.0,Dwell,57.4,43.0,49.8,34.5,51.6,12.9,0.0059
2736,800.0,Dwell,56.2,42.1,48.8,33.7,50.5,12.6,0.0086
2782,800.0,Dwell,55.1,41.2,47.8,33.0,49.4,12.4,0.0113
2827,800.0,Dwell,53.9,40.3,46.8,32.4,48.4,12.1,0.0138
2873,800.0,Dwell,52.9,39.5,45.9,31.7,47.4,11.8,0.0163
2918,800.0,Dwell,51.8,38.7,45.0,31.1,46.4,11.6,0.0187
2964,800.0,Dwell,50.8,37.9,44.1,30.5,45.5,11.4,0.021
3010,800.0,Dwell,49.9,37.2,43.3,29.9,44.6,11.2,0.0232
3055,800.0,Dwell,48.9,36.5,42.5,29.4,43.8,10.9,0.0253
3101,800.0,Dwell,48.0,35.8,41.8,28.8,42.9,10.7,0.0273
3146,800.0,Dwell,47.2,35.1,41.0,28.3,42.1,10.5,0.0293
3192,800.0,Dwell,46.4,34.5,40.3,27.8,41.4,10.3,0.0312
3237,800.0,Dwell,45.6,33.9,39.6,27.3,40.6,10.2,0.033
