# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Component,Material,Thickness_um,Length_mm,Width_mm,Porosity_pct,Grain_Size_um,Configuration
Anode_Support_Layer,Ni-YSZ,500,100,100,30,1.2,Anode-supported planar
Anode_Functional_Layer,Ni-YSZ,15,100,100,35,0.5,Fine-grained TPB-optimized
Electrolyte,8YSZ,10,100,100,0,0.8,Dense gas-tight membrane
Barrier_Layer,GDC,5,100,100,0,0.3,Prevents Sr/La diffusion
Cathode_Functional_Layer,LSCF-GDC,15,100,100,40,0.6,Composite for TPB
Cathode_Current_Layer,LSCF,30,100,100,35,1.5,Porous for gas diffusion
Interconnect,Crofer22APU,500,100,100,0,25.0,Ferritic steel with ribs
Fuel_Channel,Gas_space,1000,100,2,100,0.0,50 parallel channels
Air_Channel,Gas_space,1000,100,2,100,0.0,50 parallel channels
Sealant,Glass-ceramic,150,5,100,0,5.0,Peripheral frame seal
