# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Cycle,Atmosphere,Temperature_C,Chemical_Strain_pct,Porosity_Change_pct,Conductivity_Retention_pct,Bowing_um,Crack_Density_per_mm2
0,Reduced_H2,800,0.0,0.0,100,0,0.0
1,Oxidized_Air,800,0.48,2.5,92,85,0.0
2,Reduced_H2,800,-0.05,3.8,95,12,0.2
3,Oxidized_Air,800,0.52,5.2,88,105,0.3
4,Reduced_H2,800,-0.08,6.5,90,18,0.5
5,Oxidized_Air,800,0.55,8.1,82,128,0.7
10,Reduced_H2,800,-0.12,14.2,78,35,1.8
11,Oxidized_Air,800,0.62,16.5,68,185,2.2
15,Oxidized_Air,800,0.68,22.8,55,245,3.5
16,Reduced_H2,800,-0.18,24.5,58,55,4.1
20,Reduced_H2,800,-0.22,30.2,48,72,5.8
