Image_ID,Image_Type,Material,Temperature_C,Time_min,Magnification,Pixel_Size_nm,Image_Width_px,Image_Height_px,Porosity_fraction,Average_Pore_Size_um,Average_Grain_Size_um,Filename,Voxel_Size_um,Volume_Width_vx,Volume_Height_vx,Volume_Depth_vx,Tortuosity,Connectivity_factor
SEM_00001,SEM,anode,1250,0,10000.0,37.23753931554951,2048.0,2048.0,0.5838417141178505,2.5266163338309178,0.8846086489538829,sem_anode_1250C_0min_1.tif,,,,,,
SEM_00002,SEM,anode,1250,30,10000.0,65.27002104553995,2048.0,2048.0,0.44401665321277195,1.8387376617638331,1.289133444175127,sem_anode_1250C_30min_2.tif,,,,,,
SEM_00003,SEM,anode,1250,60,1000.0,83.97096620359022,2048.0,2048.0,0.3858691415713817,1.2981691873122263,1.286699423426524,sem_anode_1250C_60min_3.tif,,,,,,
SEM_00004,SEM,anode,1250,120,10000.0,40.78043745512638,2048.0,2048.0,0.3072761746007523,0.9402431001228219,1.3183405158894375,sem_anode_1250C_120min_4.tif,,,,,,
CT_00005,X-ray_CT,anode,1250,120,,,,,0.3072761746007523,0.9402431001228219,,ct_anode_1250C_120min_5.raw,0.8403350330534674,1024.0,1024.0,1024.0,2.3065753700154668,0.8871786190137203
SEM_00006,SEM,anode,1250,240,10000.0,94.37131872522195,2048.0,2048.0,0.22478715189084345,0.8399377062430848,1.6127997619453318,sem_anode_1250C_240min_6.tif,,,,,,
SEM_00007,SEM,anode,1250,480,1000.0,15.151235854156058,2048.0,2048.0,0.20087081410647126,0.8257725148994726,1.5526612686865224,sem_anode_1250C_480min_7.tif,,,,,,
SEM_00008,SEM,anode,1300,0,1000.0,41.92610921863419,2048.0,2048.0,0.5216573917799385,2.7244001517957863,0.9191022182392787,sem_anode_1300C_0min_8.tif,,,,,,
CT_00009,X-ray_CT,anode,1300,0,,,,,0.5216573917799385,2.7244001517957863,,ct_anode_1300C_0min_9.raw,1.4484843305310053,1024.0,1024.0,1024.0,3.0793938649132357,0.6707135766336684
SEM_00010,SEM,anode,1300,15,2000.0,62.19230039802168,2048.0,2048.0,0.4638913771189797,1.9453910157818157,1.220788603775595,sem_anode_1300C_15min_10.tif,,,,,,
SEM_00011,SEM,anode,1300,30,5000.0,49.51981799385439,2048.0,2048.0,0.42975619517075536,1.7004875762273466,1.5469638249082027,sem_anode_1300C_30min_11.tif,,,,,,
SEM_00012,SEM,anode,1300,60,10000.0,41.5754586800982,2048.0,2048.0,0.3183919711520301,1.2978734881761678,1.400945824731258,sem_anode_1300C_60min_12.tif,,,,,,
