parameter,min_value,max_value,unit
voltage,0.6,0.9,V
reversible_voltage,1.0,1.2,V
flow_rate_fuel,0.0005,0.002,m/s
flow_rate_air,0.001,0.004,m/s
T_inlet_fuel,1023.0,1123.0,K
T_inlet_air,1023.0,1123.0,K
thickness_anode,0.0003,0.0007,m
thickness_electrolyte,5e-06,2e-05,m
thickness_cathode,3e-05,8e-05,m
thickness_interconnect,8e-05,0.00015,m
anode_porosity,0.2,0.4,-
anode_permeability,1e-13,1e-11,m²
anode_ionic_conductivity,5.0,20.0,S/m
anode_electronic_conductivity,500.0,2000.0,S/m
anode_youngs_modulus,80000000000.0,150000000000.0,Pa
anode_cte,1e-05,1.5e-05,1/K
anode_thermal_conductivity,1.5,3.0,W/(m·K)
electrolyte_ionic_conductivity,8.0,15.0,S/m
electrolyte_youngs_modulus,200000000000.0,300000000000.0,Pa
electrolyte_cte,1e-05,1.2e-05,1/K
electrolyte_thermal_conductivity,2.0,4.0,W/(m·K)
cathode_porosity,0.25,0.45,-
cathode_permeability,1e-13,1e-11,m²
cathode_ionic_conductivity,3.0,10.0,S/m
cathode_electronic_conductivity,300.0,1000.0,S/m
cathode_youngs_modulus,50000000000.0,120000000000.0,Pa
cathode_cte,1.1e-05,1.6e-05,1/K
cathode_thermal_conductivity,1.0,2.5,W/(m·K)
interconnect_electronic_conductivity,5000.0,15000.0,S/m
interconnect_youngs_modulus,150000000000.0,250000000000.0,Pa
interconnect_cte,1e-05,1.3e-05,1/K
interconnect_thermal_conductivity,15.0,25.0,W/(m·K)
exchange_current_anode,500.0,2000.0,A/m²
exchange_current_cathode,200.0,1000.0,A/m²
transfer_coefficient_anode,0.4,0.6,-
transfer_coefficient_cathode,0.4,0.6,-
activation_energy_anode,100000.0,140000.0,J/mol
activation_energy_cathode,120000.0,160000.0,J/mol
c_H2_inlet,35.0,45.0,mol/m³
c_H2O_inlet,0.5,2.0,mol/m³
