Material,Temperature_C,Theta_K_s,Relative_Density,Densification_Rate_per_s
anode,1200.0,88389.0,0.5026315789473684,5.354324125280416e-09
anode,1200.0,144771.78686396277,0.5026315789473684,1.2359997155583844e-08
anode,1200.0,237120.79864897966,0.5026315789473684,1.0906483986557882e-08
anode,1200.0,388378.6638950855,0.5026315789473684,1.0688883921637682e-08
anode,1200.0,636122.9695089882,0.5026315789473684,9.226533271958801e-09
anode,1200.0,1041901.8086077039,0.5026315789473684,1.1651916092226061e-08
anode,1200.0,1706524.4155826154,0.5026315789473684,8.438777300586533e-09
anode,1200.0,2795105.601046229,0.5026315789473684,1.1206005460695965e-08
anode,1200.0,4578085.874225674,0.5026315789473684,7.950419770357236e-09
anode,1200.0,7498418.043289525,0.5026315789473684,1.2675887319320442e-08
anode,1200.0,12281611.725214725,0.5026315789473684,1.0414068905746134e-08
anode,1200.0,20115974.555982452,0.5026315789473684,8.24691260942548e-09
anode,1200.0,32947828.134491708,0.5026315789473684,8.956885455709359e-09
anode,1200.0,53965040.359288044,0.5026315789473684,6.429515696938422e-09
anode,1200.0,88389000.0,0.5026315789473684,1.303681961253008e-08
anode,1200.0,88389.0,0.5289473684210526,1.5482623912306692e-08
anode,1200.0,144771.78686396277,0.5289473684210526,1.388697520802422e-08
anode,1200.0,237120.79864897966,0.5289473684210526,7.316232341407831e-09
anode,1200.0,388378.6638950855,0.5289473684210526,7.844898302072075e-09
anode,1200.0,636122.9695089882,0.5289473684210526,1.0380315428310972e-08
anode,1200.0,1041901.8086077039,0.5289473684210526,8.680581015342643e-09
anode,1200.0,1706524.4155826154,0.5289473684210526,8.642786744788882e-09
anode,1200.0,2795105.601046229,0.5289473684210526,1.016951565292858e-08
anode,1200.0,4578085.874225674,0.5289473684210526,9.40764328026465e-09
anode,1200.0,7498418.043289525,0.5289473684210526,1.0137495849632783e-08
anode,1200.0,12281611.725214725,0.5289473684210526,7.622906828248939e-09
anode,1200.0,20115974.555982452,0.5289473684210526,1.0239640456617772e-08
anode,1200.0,32947828.134491708,0.5289473684210526,1.070082979671291e-08
anode,1200.0,53965040.359288044,0.5289473684210526,7.815585763419314e-09
anode,1200.0,88389000.0,0.5289473684210526,9.11680581703285e-09
anode,1200.0,88389.0,0.5552631578947369,1.3236115835452773e-08
anode,1200.0,144771.78686396277,0.5552631578947369,9.46176937227694e-09
anode,1200.0,237120.79864897966,0.5552631578947369,7.55239268622834e-09
anode,1200.0,388378.6638950855,0.5552631578947369,1.2109737660017748e-08
anode,1200.0,636122.9695089882,0.5552631578947369,8.918095503475424e-09
anode,1200.0,1041901.8086077039,0.5552631578947369,1.104304235937037e-08
anode,1200.0,1706524.4155826154,0.5552631578947369,1.2970736740035627e-08
anode,1200.0,2795105.601046229,0.5552631578947369,1.0602508461515685e-08
anode,1200.0,4578085.874225674,0.5552631578947369,7.670041834991299e-09
anode,1200.0,7498418.043289525,0.5552631578947369,1.2626691016999697e-08
anode,1200.0,12281611.725214725,0.5552631578947369,1.167194291403847e-08
anode,1200.0,20115974.555982452,0.5552631578947369,1.2793783343031187e-08
anode,1200.0,32947828.134491708,0.5552631578947369,9.206601713863395e-09
anode,1200.0,53965040.359288044,0.5552631578947369,1.0145489004989925e-08
anode,1200.0,88389000.0,0.5552631578947369,8.852092088132506e-09
anode,1200.0,88389.0,0.5815789473684211,1.1698241482444649e-08
anode,1200.0,144771.78686396277,0.5815789473684211,9.752300697134165e-09
anode,1200.0,237120.79864897966,0.5815789473684211,1.3016716190616947e-08
anode,1200.0,388378.6638950855,0.5815789473684211,1.2305263914773343e-08
anode,1200.0,636122.9695089882,0.5815789473684211,1.1350056659767259e-08
anode,1200.0,1041901.8086077039,0.5815789473684211,8.477331009647862e-09
anode,1200.0,1706524.4155826154,0.5815789473684211,6.8542750548458686e-09
anode,1200.0,2795105.601046229,0.5815789473684211,8.945983630616223e-09
anode,1200.0,4578085.874225674,0.5815789473684211,8.072872605104467e-09
anode,1200.0,7498418.043289525,0.5815789473684211,1.0624210668851557e-08
anode,1200.0,12281611.725214725,0.5815789473684211,1.3134158577757209e-08
anode,1200.0,20115974.555982452,0.5815789473684211,7.539134966660637e-09
anode,1200.0,32947828.134491708,0.5815789473684211,1.1275167125377088e-08
anode,1200.0,53965040.359288044,0.5815789473684211,9.055776998902755e-09
anode,1200.0,88389000.0,0.5815789473684211,1.0331554619604213e-08
anode,1200.0,88389.0,0.6078947368421053,7.470064045598727e-09
anode,1200.0,144771.78686396277,0.6078947368421053,1.0902908616789476e-08
anode,1200.0,237120.79864897966,0.6078947368421053,1.1088999079429291e-08
anode,1200.0,388378.6638950855,0.6078947368421053,7.693178067209633e-09
anode,1200.0,636122.9695089882,0.6078947368421053,1.1423892823916534e-08
anode,1200.0,1041901.8086077039,0.6078947368421053,7.790530621977158e-09
anode,1200.0,1706524.4155826154,0.6078947368421053,9.341059678363625e-09
anode,1200.0,2795105.601046229,0.6078947368421053,9.059465549621685e-09
anode,1200.0,4578085.874225674,0.6078947368421053,7.64248721211151e-09
anode,1200.0,7498418.043289525,0.6078947368421053,6.539504354499987e-09
anode,1200.0,12281611.725214725,0.6078947368421053,1.0549205870701071e-08
anode,1200.0,20115974.555982452,0.6078947368421053,7.889934751762801e-09
anode,1200.0,32947828.134491708,0.6078947368421053,1.0680496122742824e-08
anode,1200.0,53965040.359288044,0.6078947368421053,1.4713230598650307e-08
anode,1200.0,88389000.0,0.6078947368421053,7.626542989497653e-09
anode,1200.0,88389.0,0.6342105263157894,1.6266495775978282e-08
anode,1200.0,144771.78686396277,0.6342105263157894,9.247635684516738e-09
anode,1200.0,237120.79864897966,0.6342105263157894,6.600793210738831e-09
anode,1200.0,388378.6638950855,0.6342105263157894,1.1065421189955847e-08
anode,1200.0,636122.9695089882,0.6342105263157894,6.010331145348174e-09
anode,1200.0,1041901.8086077039,0.6342105263157894,1.2994883537830105e-08
anode,1200.0,1706524.4155826154,0.6342105263157894,9.98050684218415e-09
anode,1200.0,2795105.601046229,0.6342105263157894,6.482335048135103e-09
anode,1200.0,4578085.874225674,0.6342105263157894,8.345373777122728e-09
anode,1200.0,7498418.043289525,0.6342105263157894,1.090416196252478e-08
anode,1200.0,12281611.725214725,0.6342105263157894,6.735251936640095e-09
anode,1200.0,20115974.555982452,0.6342105263157894,1.9360725387566283e-08
anode,1200.0,32947828.134491708,0.6342105263157894,6.235177876421583e-09
anode,1200.0,53965040.359288044,0.6342105263157894,1.5164578950038498e-08
anode,1200.0,88389000.0,0.6342105263157894,1.5907222027617426e-08
anode,1200.0,88389.0,0.6605263157894736,1.012252886156236e-08
anode,1200.0,144771.78686396277,0.6605263157894736,9.93058638713336e-09
anode,1200.0,237120.79864897966,0.6605263157894736,9.55985388267265e-09
anode,1200.0,388378.6638950855,0.6605263157894736,9.781446054250786e-09
anode,1200.0,636122.9695089882,0.6605263157894736,8.867841093358548e-09
anode,1200.0,1041901.8086077039,0.6605263157894736,9.424334265843279e-09
anode,1200.0,1706524.4155826154,0.6605263157894736,1.1859897109712767e-08
anode,1200.0,2795105.601046229,0.6605263157894736,7.201957296631138e-09
anode,1200.0,4578085.874225674,0.6605263157894736,1.0354345299020935e-08
anode,1200.0,7498418.043289525,0.6605263157894736,8.880010186994098e-09
anode,1200.0,12281611.725214725,0.6605263157894736,1.0454436802325217e-08
anode,1200.0,20115974.555982452,0.6605263157894736,1.1849241907899519e-08
anode,1200.0,32947828.134491708,0.6605263157894736,8.986420685628705e-09
anode,1200.0,53965040.359288044,0.6605263157894736,1.3975173710524596e-08
anode,1200.0,88389000.0,0.6605263157894736,7.436565610387196e-09
anode,1200.0,88389.0,0.6868421052631579,1.3802344882909217e-08
anode,1200.0,144771.78686396277,0.6868421052631579,6.482478362318108e-09
anode,1200.0,237120.79864897966,0.6868421052631579,7.983342774849717e-09
anode,1200.0,388378.6638950855,0.6868421052631579,9.952492081343462e-09
anode,1200.0,636122.9695089882,0.6868421052631579,8.978659147734626e-09
anode,1200.0,1041901.8086077039,0.6868421052631579,7.86335463789726e-09
anode,1200.0,1706524.4155826154,0.6868421052631579,8.059163060110105e-09
anode,1200.0,2795105.601046229,0.6868421052631579,1.0482113685927016e-08
anode,1200.0,4578085.874225674,0.6868421052631579,7.861286725403475e-09
anode,1200.0,7498418.043289525,0.6868421052631579,7.80882723129373e-09
anode,1200.0,12281611.725214725,0.6868421052631579,1.3980004556274826e-08
anode,1200.0,20115974.555982452,0.6868421052631579,1.1246136422531102e-08
anode,1200.0,32947828.134491708,0.6868421052631579,1.5574047192063916e-08
anode,1200.0,53965040.359288044,0.6868421052631579,1.146719733884758e-08
anode,1200.0,88389000.0,0.6868421052631579,9.30886148166202e-09
anode,1200.0,88389.0,0.7131578947368421,1.0475673143965347e-08
anode,1200.0,144771.78686396277,0.7131578947368421,1.0621776676150053e-08
anode,1200.0,237120.79864897966,0.7131578947368421,6.275903990663148e-09
anode,1200.0,388378.6638950855,0.7131578947368421,8.166291797029975e-09
anode,1200.0,636122.9695089882,0.7131578947368421,1.2872669835345776e-08
anode,1200.0,1041901.8086077039,0.7131578947368421,6.035182816303838e-09
anode,1200.0,1706524.4155826154,0.7131578947368421,6.977388560891011e-09
anode,1200.0,2795105.601046229,0.7131578947368421,1.4913356831072964e-08
anode,1200.0,4578085.874225674,0.7131578947368421,1.1600232708088825e-08
anode,1200.0,7498418.043289525,0.7131578947368421,9.285229685797424e-09
anode,1200.0,12281611.725214725,0.7131578947368421,1.2168948279594693e-08
anode,1200.0,20115974.555982452,0.7131578947368421,1.0086236587300317e-08
anode,1200.0,32947828.134491708,0.7131578947368421,1.1805342977662281e-08
anode,1200.0,53965040.359288044,0.7131578947368421,9.472981438875201e-09
anode,1200.0,88389000.0,0.7131578947368421,9.103306453118755e-09
