Temperature_C,Relative_Density,Hold_Time_min,Sintering_Stress_MPa,Bulk_Viscosity_Pa_s,Shear_Viscosity_Pa_s,Densification_Rate_per_s,Grain_Growth_Rate_um_per_s,Material,Composition
1200.0,0.45,1.0,3.731909663616009e-09,4.049543669546358e+32,2.71319425859606e+32,1.094931640717487e-08,4.845639985940372e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,1.637893706954064,4.995652228647608e-09,8.053710046838946e+32,5.395985731382094e+32,1.2774081602601827e-08,5.504378593399895e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,2.6826957952797255,5.500026483385704e-09,6.844375773211318e+32,4.585731768051584e+32,9.158596763403872e-09,3.356685231722205e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,4.39397056076079,4.40015647472945e-09,4.862771708019523e+32,3.2580570443730804e+32,1.0177839789436138e-08,4.677228875818949e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,7.196856730011519,4.864022141201135e-09,7.781537270929114e+32,5.213629971522507e+32,7.132703898678663e-09,3.567643809130141e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,11.787686347935873,5.451081933813306e-09,5.110095939257067e+32,3.423764279302235e+32,1.0380826499267975e-08,3.021603013896452e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,19.306977288832496,4.28237159987147e-09,4.4172031842663934e+32,2.9595261334584836e+32,8.332981805432964e-09,5.810731550023688e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,31.622776601683793,4.165383140113911e-09,5.8827764502635944e+32,3.941460221676608e+32,1.0053718278077996e-08,2.5085320844673107e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,51.7947467923121,4.1472091521875655e-09,5.083719973152957e+32,3.406092382012481e+32,1.4025527514420504e-08,4.5495701603264594e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,84.83428982440716,4.324518419355715e-09,6.973265251922897e+32,4.672087718788341e+32,8.563103517175128e-09,3.759756976150301e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,138.94954943731375,4.551097735251304e-09,5.131149751322104e+32,3.43787033338581e+32,9.551488509846191e-09,3.382928548755298e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,227.58459260747887,4.7984214030607954e-09,5.428342623872426e+32,3.636989557994526e+32,8.457620730962828e-09,3.036620443287609e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,372.7593720314938,4.2319196852737874e-09,6.2354389096084934e+32,4.177744069437691e+32,1.4214521219417464e-08,2.4985121930565877e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,610.5402296585327,2.929565560994984e-09,7.273332365332194e+32,4.87313268477257e+32,1.1081079775613547e-08,3.0416297448821396e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.45,1000.0,5.06159418532904e-09,4.959013321693951e+32,3.3225389255349475e+32,1.2534843869100962e-08,3.62899023218374e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,1.0,3.882098629631772e-09,8.906562869362599e+32,5.9673971224729415e+32,9.828730008636955e-09,4.8770990757130956e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,1.637893706954064,4.461779989650498e-09,7.440029005769362e+32,4.984819433865473e+32,1.1899278251264933e-08,4.7984834199722783e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,2.6826957952797255,4.6944073790340136e-09,8.295234639583328e+32,5.5578072085208304e+32,1.2534035953440637e-08,8.043289948060397e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,4.39397056076079,4.348103512299759e-09,6.614390740441321e+32,4.431641796095685e+32,1.2103250134772892e-08,3.8211670867189176e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,7.196856730011519,4.070871647073104e-09,6.970820894306204e+32,4.670449999185157e+32,1.0449415305187383e-08,7.129842840142706e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,11.787686347935873,3.90040038687896e-09,7.56199692226756e+32,5.066537937919266e+32,1.0336327895180135e-08,2.4298278150436e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,19.306977288832496,4.3032945256321584e-09,6.737841108346173e+32,4.514353542591936e+32,1.120018004483993e-08,4.1212219680250463e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,31.622776601683793,4.2904851886782365e-09,5.592289671823284e+32,3.7468340801216e+32,7.0198631227331355e-09,6.879495739622596e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,51.7947467923121,4.270121537892556e-09,7.345147640645869e+32,4.921248919232733e+32,9.484733213055044e-09,5.179609449064687e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,84.83428982440716,3.928609575378105e-09,6.270885609047726e+32,4.201493358061977e+32,8.243673118163218e-09,7.1121512837158e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,138.94954943731375,3.978426781710413e-09,6.426490453053647e+32,4.305748603545944e+32,1.2803312141633917e-08,3.5199667937071246e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,227.58459260747887,5.361784432617304e-09,8.640170337820773e+32,5.7889141263399186e+32,7.301193798003756e-09,5.648598415546452e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,372.7593720314938,4.017476513031132e-09,6.251824627595985e+32,4.1887225004893106e+32,1.0125457191409162e-08,5.647811640602933e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,610.5402296585327,5.293098872637619e-09,8.916497121371993e+32,5.974053071319235e+32,7.0754876472743055e-09,5.461541341472993e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.47631578947368425,1000.0,4.114358295387092e-09,8.25613783917057e+32,5.5316123522442824e+32,7.462216842020589e-09,4.486918797439029e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,1.0,4.500193182508629e-09,9.179588826764205e+32,6.150324513932018e+32,9.149365607079125e-09,4.95802196999069e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,1.637893706954064,3.279077462226593e-09,8.51984173330641e+32,5.708293961315295e+32,1.0723721610738414e-08,4.0396738064626074e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,2.6826957952797255,4.349381967085933e-09,8.298954986577764e+32,5.560299841007102e+32,6.701224167431955e-09,6.862106205997222e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,4.39397056076079,3.287633933545992e-09,8.979841889025255e+32,6.016494065646921e+32,7.860646962394508e-09,4.611826752297144e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,7.196856730011519,4.309094958673179e-09,7.954931627839199e+32,5.3298041906522634e+32,8.758976266549339e-09,4.3968967802028183e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,11.787686347935873,4.649138482350605e-09,9.300137053251162e+32,6.231091825678279e+32,9.992734818614936e-09,6.198839487317463e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,19.306977288832496,3.2642027658857667e-09,8.550508400203586e+32,5.728840628136403e+32,1.1718259199979072e-08,4.844719409476299e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,31.622776601683793,4.566775211748847e-09,7.459257002602497e+32,4.9977021917436735e+32,8.425190569338154e-09,4.484925688336832e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,51.7947467923121,4.800757604950843e-09,7.21676667776149e+32,4.835233674100198e+32,1.4414764104105396e-08,4.3799941085255733e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,84.83428982440716,3.6650583737183288e-09,9.442805850040262e+32,6.326679919526976e+32,8.253983102360843e-09,4.410183190618577e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,138.94954943731375,3.696079269621682e-09,8.545778497718103e+32,5.72567159347113e+32,7.142428636160183e-09,4.4504660105066136e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,227.58459260747887,3.783966886678618e-09,1.0142260726246114e+33,6.795314686584897e+32,7.658810857957186e-09,4.893134997295534e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,372.7593720314938,3.908775103460656e-09,1.1334531433834505e+33,7.594136060669118e+32,1.2530948836834086e-08,4.715449743053035e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,610.5402296585327,3.6750710759647115e-09,7.444236479548753e+32,4.987638441297665e+32,1.178283435130479e-08,3.6439180592385914e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5026315789473684,1000.0,3.875578522834765e-09,1.0914827176200404e+33,7.312934208054272e+32,1.1743713911269691e-08,3.864863770346629e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5289473684210526,1.0,4.130549355065771e-09,9.163280314356053e+32,6.139397810618556e+32,8.250087849125869e-09,4.356462642295182e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5289473684210526,1.637893706954064,3.2521558092145484e-09,7.821558502701629e+32,5.2404441968100914e+32,8.097082394419396e-09,3.737358885087708e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5289473684210526,2.6826957952797255,4.379672246669641e-09,8.807767195429295e+32,5.901204020937628e+32,6.8007950696143184e-09,7.194532995867903e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5289473684210526,4.39397056076079,3.856486775110433e-09,9.509167629605586e+32,6.371142311835743e+32,1.0146019858075186e-08,4.041652184801594e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5289473684210526,7.196856730011519,3.711229198071865e-09,1.1912897595940676e+33,7.981641389280253e+32,1.3531865308909857e-08,5.194329886936458e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5289473684210526,11.787686347935873,3.250706819630445e-09,7.780413599541186e+32,5.2128771116925946e+32,1.7801940013368437e-08,8.275420942641635e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5289473684210526,19.306977288832496,3.2506435343400757e-09,9.41556348731814e+32,6.308427536503155e+32,9.7705601688276e-09,8.217751321846281e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
1200.0,0.5289473684210526,31.622776601683793,2.7068784592785126e-09,8.221967514846766e+32,5.5087182349473336e+32,1.4291654464934673e-08,4.403411743294498e-17,electrolyte,8YSZ (8 mol% Y2O3-ZrO2)
