Temperature_C,Relative_Density,Hold_Time_min,Sintering_Stress_MPa,Bulk_Viscosity_Pa_s,Shear_Viscosity_Pa_s,Densification_Rate_per_s,Grain_Growth_Rate_um_per_s,Material,Composition
1200.0,0.45,1.0,2.0502925400883215e-08,1.677837641668547e+32,1.1241512199179266e+32,7.961692428457829e-09,2.0883841120640658e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,1.637893706954064,2.6619308728460018e-08,1.6055074083228392e+32,1.0756899635763023e+32,8.982525109045663e-09,2.1689805722975367e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,2.6826957952797255,2.7466068475501474e-08,2.476024094162962e+32,1.6589361430891846e+32,9.31906096224411e-09,1.4315854008301483e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,4.39397056076079,3.243831686099679e-08,1.6196666702974854e+32,1.0851766690993152e+32,7.953809511776746e-09,2.2255144045988064e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,7.196856730011519,2.7437630388537343e-08,1.3045387834913665e+32,8.740409849392156e+31,1.7339645574218125e-08,1.3686359794531079e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,11.787686347935873,2.508734799206283e-08,1.6043885023448141e+32,1.0749402965710256e+32,7.59069203739134e-09,3.030569171135159e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,19.306977288832496,2.7383264350582737e-08,1.889853009853548e+32,1.2662015166018773e+32,1.4027586312958769e-08,1.268882470016627e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,31.622776601683793,4.645307273465189e-08,2.4883509049331288e+32,1.6671951063051963e+32,1.2989200103651345e-08,2.4459106526848437e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,51.7947467923121,2.5282731898291605e-08,1.8979486156867853e+32,1.2716255725101462e+32,8.799173788232725e-09,1.28284238264462e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,84.83428982440716,2.4391223409352632e-08,2.5561966630747205e+32,1.712651764260063e+32,1.1503451066832331e-08,1.3306113769624195e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,138.94954943731375,3.089234991759004e-08,1.854100764653413e+32,1.2422475123177867e+32,1.0496272358615123e-08,2.0160622538999042e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,227.58459260747887,3.4104482235179016e-08,1.0685419631559095e+32,7.159231153144594e+31,7.207168550307709e-09,1.7047937355916003e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,372.7593720314938,2.3492833545891036e-08,2.2114235805127278e+32,1.4816537989435276e+32,7.08531177328094e-09,1.327487358584837e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,610.5402296585327,3.172473533703224e-08,2.567532471109867e+32,1.720246755643611e+32,1.0069358542267587e-08,7.541907766047968e-17,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.45,1000.0,2.528024748250101e-08,1.9229172489482694e+32,1.2883545567953405e+32,8.670334072994394e-09,1.3592595986948011e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.47631578947368425,1.0,1.8222324040714664e-08,3.24507100198847e+32,2.174197571332275e+32,1.009389716716356e-08,3.0867974581332517e-16,functional_layer,NiO-YSZ (40-60 vol%)
1200.0,0.47631578947368425,1.637893706954064,3.383759525704034e-08,2.069060549012678e+32,1.3862705678384943e+32,1.1835688353277323e-08,1.9041069836056646e-16,functional_layer,NiO-YSZ (40-60 vol%)
