operating_hours,voltage_loss_percent,degradation_rate_per_1000h,efficiency_retention,power_retention,stack_replacement_needed,estimated_remaining_life_hours
0,0.0,1.75,100.0,100.0,False,80000
1000,0.4,0.4,99.72,99.68,False,79000
2000,1.72,0.86,98.79,98.62,False,78000
3000,3.12,1.04,97.82,97.5,False,77000
4000,3.96,0.99,97.23,96.84,False,76000
5000,8.23,1.65,94.24,93.42,False,75000
6000,5.62,0.94,96.07,95.5,False,74000
7000,11.07,1.58,92.25,91.14,False,73000
8000,6.68,0.84,95.32,94.65,False,72000
9000,3.58,0.4,97.5,97.14,False,71000
10000,17.02,1.7,88.09,86.38,False,70000
11000,11.46,1.04,91.98,90.83,False,69000
12000,5.1,0.43,96.43,95.92,False,68000
13000,20.5,1.58,85.65,83.6,True,0
14000,5.01,0.36,96.5,95.99,False,66000
15000,22.89,1.53,83.97,81.68,True,0
16000,15.38,0.96,89.23,87.69,False,64000
17000,26.47,1.56,81.47,78.83,True,0
18000,24.35,1.35,82.95,80.52,True,0
19000,13.75,0.72,90.37,89.0,False,61000
20000,28.43,1.42,80.1,77.26,True,0
21000,9.33,0.44,93.47,92.53,False,59000
22000,9.08,0.41,93.64,92.74,False,58000
23000,21.46,0.93,84.98,82.84,True,0
24000,25.25,1.05,82.33,79.8,True,0
25000,9.21,0.37,93.56,92.64,False,55000
26000,33.33,1.28,76.67,73.34,True,0
27000,46.13,1.71,67.71,63.1,True,0
28000,41.99,1.5,70.61,66.41,True,0
29000,37.78,1.3,73.55,69.78,True,0
30000,12.18,0.41,91.47,90.26,False,50000
31000,46.29,1.49,67.6,62.97,True,0
32000,32.43,1.01,77.3,74.05,True,0
33000,18.73,0.57,86.89,85.02,False,47000
34000,33.59,0.99,76.49,73.13,True,0
35000,62.67,1.79,56.13,49.86,True,0
36000,45.13,1.25,68.41,63.9,True,0
37000,35.15,0.95,75.4,71.88,True,0
38000,44.51,1.17,68.84,64.39,True,0
39000,51.45,1.32,63.99,58.84,True,0
40000,29.04,0.73,79.67,76.77,True,0
41000,16.14,0.39,88.7,87.09,False,39000
42000,75.33,1.79,47.27,39.74,True,0
43000,16.33,0.38,88.57,86.94,False,37000
44000,27.51,0.63,80.74,77.99,True,0
45000,56.91,1.26,60.16,54.47,True,0
46000,26.1,0.57,81.73,79.12,True,0
47000,42.76,0.91,70.07,65.79,True,0
48000,80.96,1.69,43.33,35.23,True,0
49000,83.08,1.7,41.84,33.54,True,0
50000,28.51,0.57,80.04,77.19,True,0
51000,58.9,1.15,58.77,52.88,True,0
52000,80.42,1.55,43.71,35.67,True,0
53000,72.9,1.38,48.97,41.68,True,0
54000,63.73,1.18,55.39,49.01,True,0
55000,94.54,1.72,33.82,24.37,True,0
56000,96.56,1.72,32.41,22.75,True,0
57000,94.55,1.66,33.82,24.36,True,0
58000,65.31,1.13,54.28,47.75,True,0
59000,71.35,1.21,50.05,42.92,True,0
60000,66.67,1.11,53.33,46.66,True,0
61000,109.37,1.79,23.44,12.51,True,0
62000,35.13,0.57,75.41,71.9,True,0
63000,99.06,1.57,30.66,20.75,True,0
64000,99.89,1.56,30.08,20.09,True,0
65000,76.32,1.17,46.58,38.95,True,0
66000,104.22,1.58,27.05,16.62,True,0
67000,49.94,0.75,65.04,60.05,True,0
68000,76.0,1.12,46.8,39.2,True,0
69000,53.37,0.77,62.64,57.31,True,0
70000,52.26,0.75,63.42,58.19,True,0
71000,99.76,1.41,30.17,20.19,True,0
72000,127.72,1.77,10.6,-2.18,True,0
73000,24.34,0.33,82.96,80.53,True,0
74000,66.33,0.9,53.57,46.94,True,0
75000,100.83,1.34,29.42,19.33,True,0
76000,62.56,0.82,56.21,49.96,True,0
77000,50.27,0.65,64.81,59.78,True,0
78000,98.26,1.26,31.22,21.4,True,0
79000,138.9,1.76,2.77,-11.12,True,0
80000,54.48,0.68,61.87,56.42,True,0
81000,107.01,1.32,25.09,14.39,True,0
82000,130.08,1.59,8.95,-4.06,True,0
83000,110.27,1.33,22.81,11.78,True,0
84000,29.6,0.35,79.28,76.32,True,0
85000,46.45,0.55,67.48,62.84,True,0
86000,58.91,0.69,58.76,52.87,True,0
87000,37.21,0.43,73.95,70.23,True,0
88000,43.75,0.5,69.38,65.0,True,0
89000,155.26,1.74,-8.68,-24.21,True,0
90000,91.0,1.01,36.3,27.2,True,0
91000,158.21,1.74,-10.75,-26.57,True,0
92000,150.79,1.64,-5.55,-20.63,True,0
93000,33.21,0.36,76.75,73.43,True,0
94000,64.25,0.68,55.02,48.6,True,0
95000,133.48,1.41,6.56,-6.78,True,0
96000,81.33,0.85,43.07,34.94,True,0
97000,58.1,0.6,59.33,53.52,True,0
98000,106.97,1.09,25.12,14.42,True,0
99000,61.03,0.62,57.28,51.17,True,0
