temperature_c,current_density_a_cm2,cell_voltage_v,power_density_w_cm2,efficiency_percent,fuel_utilization_percent,ohmic_loss_v,activation_loss_v,concentration_loss_v,nernst_voltage_v
600,0.1,0.892,0.09,71.3,62.0,0.018,0.0,0.0,0.91
600,0.2,0.839,0.17,67.1,64.0,0.036,0.035,0.001,0.91
600,0.3,0.799,0.24,63.9,66.0,0.054,0.055,0.002,0.91
600,0.4,0.765,0.31,61.2,68.0,0.072,0.069,0.003,0.91
600,0.5,0.735,0.37,58.8,70.0,0.09,0.08,0.005,0.91
600,0.6,0.705,0.42,56.4,72.0,0.108,0.09,0.007,0.91
600,0.7,0.677,0.47,54.2,74.0,0.126,0.097,0.01,0.91
600,0.8,0.649,0.52,51.9,76.0,0.144,0.104,0.013,0.91
600,0.9,0.622,0.56,49.8,78.0,0.162,0.11,0.016,0.91
600,1.0,0.595,0.59,47.6,80.0,0.18,0.115,0.02,0.91
600,1.1,0.568,0.62,45.4,82.0,0.198,0.12,0.024,0.91
600,1.2,0.541,0.65,43.3,84.0,0.216,0.124,0.029,0.91
600,1.3,0.514,0.67,41.1,85.0,0.234,0.128,0.034,0.91
600,1.4,0.487,0.68,38.9,85.0,0.252,0.132,0.039,0.91
600,1.5,0.46,0.69,36.8,85.0,0.27,0.135,0.045,0.91
625,0.1,0.881,0.09,70.5,62.0,0.017,0.0,0.0,0.899
625,0.2,0.828,0.17,66.3,64.0,0.035,0.035,0.001,0.899
625,0.3,0.79,0.24,63.2,66.0,0.053,0.055,0.002,0.899
625,0.4,0.756,0.3,60.5,68.0,0.07,0.069,0.003,0.899
625,0.5,0.726,0.36,58.1,70.0,0.088,0.08,0.005,0.899
625,0.6,0.697,0.42,55.8,72.0,0.105,0.09,0.007,0.899
625,0.7,0.669,0.47,53.5,74.0,0.122,0.097,0.01,0.899
625,0.8,0.642,0.51,51.4,76.0,0.14,0.104,0.013,0.899
625,0.9,0.615,0.55,49.2,78.0,0.158,0.11,0.016,0.899
625,1.0,0.589,0.59,47.1,80.0,0.175,0.115,0.02,0.899
625,1.1,0.562,0.62,45.0,82.0,0.192,0.12,0.024,0.899
625,1.2,0.536,0.64,42.9,84.0,0.21,0.124,0.029,0.899
625,1.3,0.509,0.66,40.7,85.0,0.228,0.128,0.034,0.899
625,1.4,0.483,0.68,38.6,85.0,0.245,0.132,0.039,0.899
625,1.5,0.456,0.68,36.5,85.0,0.262,0.135,0.045,0.899
650,0.1,0.87,0.09,69.6,62.0,0.017,0.0,0.0,0.888
650,0.2,0.818,0.16,65.4,64.0,0.034,0.035,0.001,0.888
650,0.3,0.78,0.23,62.4,66.0,0.051,0.055,0.002,0.888
650,0.4,0.747,0.3,59.8,68.0,0.068,0.069,0.003,0.888
650,0.5,0.717,0.36,57.4,70.0,0.085,0.08,0.005,0.888
650,0.6,0.689,0.41,55.1,72.0,0.102,0.09,0.007,0.888
650,0.7,0.661,0.46,52.9,74.0,0.119,0.097,0.01,0.888
650,0.8,0.635,0.51,50.8,76.0,0.136,0.104,0.013,0.888
650,0.9,0.608,0.55,48.7,78.0,0.153,0.11,0.016,0.888
650,1.0,0.582,0.58,46.6,80.0,0.17,0.115,0.02,0.888
650,1.1,0.556,0.61,44.5,82.0,0.187,0.12,0.024,0.888
650,1.2,0.53,0.64,42.4,84.0,0.204,0.124,0.029,0.888
650,1.3,0.504,0.66,40.4,85.0,0.221,0.128,0.034,0.888
650,1.4,0.478,0.67,38.3,85.0,0.238,0.132,0.039,0.888
650,1.5,0.452,0.68,36.2,85.0,0.255,0.135,0.045,0.888
675,0.1,0.86,0.09,68.8,62.0,0.016,0.0,0.0,0.876
675,0.2,0.808,0.16,64.6,64.0,0.033,0.035,0.001,0.876
675,0.3,0.77,0.23,61.6,66.0,0.05,0.055,0.002,0.876
675,0.4,0.738,0.3,59.0,68.0,0.066,0.069,0.003,0.876
675,0.5,0.708,0.35,56.7,70.0,0.082,0.08,0.005,0.876
675,0.6,0.68,0.41,54.4,72.0,0.099,0.09,0.007,0.876
675,0.7,0.654,0.46,52.3,74.0,0.116,0.097,0.01,0.876
675,0.8,0.627,0.5,50.2,76.0,0.132,0.104,0.013,0.876
675,0.9,0.602,0.54,48.1,78.0,0.149,0.11,0.016,0.876
675,1.0,0.576,0.58,46.1,80.0,0.165,0.115,0.02,0.876
675,1.1,0.551,0.61,44.1,82.0,0.182,0.12,0.024,0.876
675,1.2,0.525,0.63,42.0,84.0,0.198,0.124,0.029,0.876
675,1.3,0.5,0.65,40.0,85.0,0.215,0.128,0.034,0.876
675,1.4,0.474,0.66,37.9,85.0,0.231,0.132,0.039,0.876
675,1.5,0.448,0.67,35.9,85.0,0.248,0.135,0.045,0.876
700,0.1,0.849,0.08,67.9,62.0,0.016,0.0,0.0,0.865
700,0.2,0.798,0.16,63.8,64.0,0.032,0.035,0.001,0.865
700,0.3,0.76,0.23,60.8,66.0,0.048,0.055,0.002,0.865
700,0.4,0.728,0.29,58.3,68.0,0.064,0.069,0.003,0.865
700,0.5,0.7,0.35,56.0,70.0,0.08,0.08,0.005,0.865
700,0.6,0.672,0.4,53.8,72.0,0.096,0.09,0.007,0.865
700,0.7,0.646,0.45,51.7,74.0,0.112,0.097,0.01,0.865
700,0.8,0.62,0.5,49.6,76.0,0.128,0.104,0.013,0.865
700,0.9,0.595,0.54,47.6,78.0,0.144,0.11,0.016,0.865
700,1.0,0.57,0.57,45.6,80.0,0.16,0.115,0.02,0.865
700,1.1,0.545,0.6,43.6,82.0,0.176,0.12,0.024,0.865
700,1.2,0.52,0.62,41.6,84.0,0.192,0.124,0.029,0.865
700,1.3,0.495,0.64,39.6,85.0,0.208,0.128,0.034,0.865
700,1.4,0.47,0.66,37.6,85.0,0.224,0.132,0.039,0.865
700,1.5,0.445,0.67,35.6,85.0,0.24,0.135,0.045,0.865
