power_rating_kw,capex_usd_per_kw,capex_naira_per_kw,opex_naira_per_kw_year,natural_gas_cost_naira_kwh,lpg_cost_naira_kwh,biogas_cost_naira_kwh,electrical_efficiency_percent,fuel_cost_per_kwh_naira,lcoe_naira_kwh,payback_period_years,capacity_factor,annual_generation_mwh,annual_fuel_cost_naira_million,annual_opex_naira_million,grid_price_naira_kwh,economic_viability
1,11350.24,20856072.24,972790.28,18.22,28.4,15.36,56.7,32.13,23851.18,inf,0.8,7.0,0.22,0.0,39.634165171593516,Low
5,8531.62,15676843.04,444634.42,16.15,33.92,11.91,50.7,31.88,23591.78,inf,0.84,36.7,1.17,0.0,32.65517295490416,Low
10,11676.63,21455808.17,750938.96,21.86,28.99,19.3,57.9,37.73,27959.03,0.7,0.81,71.2,2.69,0.01,27.878568538718056,Low
25,8518.8,15653285.95,581341.7,23.35,27.83,15.27,59.3,39.37,29127.7,inf,0.78,170.4,6.71,0.01,38.619516333211266,Low
50,6664.29,12245638.43,399166.37,23.48,26.57,10.68,50.8,46.25,34168.32,inf,0.71,310.0,14.34,0.01,32.24650348358781,Low
100,7287.64,13391042.73,416035.28,20.11,29.6,16.91,50.3,39.95,29525.32,0.7,0.82,714.3,28.54,0.03,29.52724795936232,Low
250,5893.81,10829868.14,284548.24,23.13,20.28,18.7,54.3,42.63,31483.72,inf,0.73,1594.6,67.98,0.05,43.05476744159213,Low
500,6378.62,11720722.35,428980.31,19.27,32.02,10.69,57.9,33.28,24607.2,inf,0.76,3324.4,110.62,0.14,34.88562112567431,Low
1000,4423.17,8127569.73,209102.97,24.06,21.13,14.37,56.4,42.67,31486.67,inf,0.78,6795.9,290.0,0.14,40.20929741192142,Low
2000,4202.4,7721904.03,326615.45,17.92,31.66,11.3,50.7,35.38,26120.18,0.3,0.84,14743.5,521.69,0.44,27.37634306427538,Low
5000,3329.15,6117308.51,284202.3,17.25,25.31,19.31,52.0,33.21,24514.67,0.1,0.7,30831.1,1023.78,0.95,37.99142935362099,Low
