power_rating_kw,co2_emissions_natural_gas_kg_mwh,co2_emissions_lpg_kg_mwh,co2_emissions_biogas_kg_mwh,nox_emissions_mg_mwh,sox_emissions_mg_mwh,pm_emissions_mg_mwh,water_consumption_l_mwh,heat_recovery_efficiency,waste_heat_temperature_c,annual_generation_mwh,annual_co2_natural_gas_tons,annual_co2_biogas_tons,co2_reduction_vs_grid_tons_year,carbon_intensity_kg_co2_mwh,renewable_energy_equivalent_mwh
1,369.0,416.9,81.1,47.5,2.2,1.3,105.8,0.82,67.2,6145.6,2267.7,498.7,2016.1,369.0,4916.5
5,374.7,381.1,61.4,48.8,0.1,2.4,52.5,0.84,88.8,31894.6,11950.9,1957.1,12674.0,374.7,25515.7
10,363.4,411.8,86.9,30.3,4.8,6.1,76.5,0.76,64.3,71029.0,25810.9,6170.8,19655.9,363.4,56823.2
25,371.8,410.6,72.3,49.6,0.4,2.8,94.8,0.82,68.2,184874.3,68741.5,13373.1,58214.5,371.8,147899.4
50,384.2,380.1,75.8,39.7,4.0,3.9,96.6,0.73,78.3,349381.5,134228.9,26480.1,112278.4,384.2,279505.2
100,354.7,408.7,52.5,30.4,3.0,5.7,96.3,0.81,87.3,661081.7,234517.8,34727.7,269211.0,354.7,528865.3
250,381.6,403.6,83.4,38.9,3.0,1.5,147.6,0.85,64.5,1962257.0,748708.6,163590.7,637121.9,381.6,1569805.6
500,360.8,410.0,85.0,27.2,1.5,4.8,104.5,0.8,61.0,3778260.9,1363358.2,320978.6,1497918.5,360.8,3022608.7
1000,380.2,400.4,93.4,41.8,3.6,7.8,61.9,0.73,60.3,7508588.1,2855139.9,701260.1,2215107.0,380.2,6006870.5
2000,381.1,410.8,95.1,25.6,2.4,4.7,118.0,0.8,76.6,12490704.9,4760472.1,1188359.9,3976981.9,381.1,9992563.9
5000,373.8,412.5,97.3,21.9,3.6,8.8,119.6,0.7,89.6,37035692.0,13845294.6,3602059.9,12838900.1,373.8,29628553.6
