Temperature_C,Time_s,Porosity,Grain_Size_m,Pore_Size_m,Tortuosity
800,0,0,0,0,1
800,300,0,0,0,3
800,600,0,0,0,3
800,900,0,0,0,3
800,1200,0,0,0,3
800,1800,0,0,0,3
800,2400,0,0,0,3
800,3600,0,0,0,3
900,0,0,0,0,1
900,300,0,0,0,3
900,600,0,0,0,3
900,900,0,0,0,3
900,1200,0,0,0,3
900,1800,0,0,0,3
900,2400,0,0,0,3
900,3600,0,0,0,3
1000,0,0,0,0,1
1000,300,0,0,0,3
1000,600,0,0,0,3
1000,900,0,0,0,3
1000,1200,0,0,0,3
1000,1800,0,0,0,3
1000,2400,0,0,0,3
1000,3600,0,0,0,3
1100,0,0,0,0,1
1100,300,0,0,0,3
1100,600,0,0,0,3
1100,900,0,0,0,3
1100,1200,0,0,0,3
1100,1800,0,0,0,3
1100,2400,0,0,0,3
1100,3600,0,0,0,3
1200,0,0,0,0,1
1200,300,0,0,0,3
1200,600,0,0,0,3
1200,900,0,0,0,3
1200,1200,0,0,0,3
1200,1800,0,0,0,3
1200,2400,0,0,0,3
1200,3600,0,0,0,3
1300,0,0,0,0,1
1300,300,0,0,0,3
1300,600,0,0,0,3
1300,900,0,0,0,3
1300,1200,0,0,0,3
1300,1800,0,0,0,3
1300,2400,0,0,0,3
1300,3600,0,0,0,3
1350,0,0,0,0,1
1350,300,0,0,0,3
1350,600,0,0,0,3
1350,900,0,0,0,3
1350,1200,0,0,0,3
1350,1800,0,0,0,3
1350,2400,0,0,0,3
1350,3600,0,0,0,3
1400,0,0,0,0,1
1400,300,0,0,0,3
1400,600,0,0,0,3
1400,900,0,0,0,3
1400,1200,0,0,0,3
1400,1800,0,0,0,3
1400,2400,0,0,0,3
1400,3600,0,0,0,3
