state,saifi_interruptions_year,saidi_minutes_year,total_generation_capacity_mw,available_capacity_mw,peak_demand_mw,base_load_mw,frequency_deviation_hz,voltage_deviation_percent,sofc_penetration_potential_percent,max_sofc_capacity_mw,grid_tariff_naira_kwh,diesel_backup_cost_naira_kwh,gas_pipeline_coverage_percent,transmission_capacity_factor,grid_reliability_score,sofc_priority_level
Lagos,15.8,400.5,1951.8,1536.6,454.8,236.7,1.23,4.1,22.6,102.9,49.87,91.28,35.1,0.93,41.1,Low
Kano,18.7,430.6,1944.6,1425.8,470.2,245.9,1.22,2.2,6.0,28.0,39.95,86.04,50.1,1.04,35.6,Low
Abuja,16.2,293.6,824.3,523.4,819.9,356.1,0.72,2.0,24.9,204.3,43.51,103.17,35.9,1.14,47.8,Low
Rivers,33.3,650.8,805.0,601.9,963.9,559.0,1.36,3.3,5.1,48.8,30.81,86.71,74.2,0.88,11.6,High
Kaduna,20.1,639.3,1647.3,1254.2,416.0,233.5,1.66,4.1,24.9,103.7,45.49,85.73,84.8,0.8,21.6,High
Oyo,40.9,405.6,637.1,402.5,1379.4,742.1,1.23,2.2,8.5,117.6,26.16,108.62,78.1,0.89,10.8,High
Edo,19.4,422.2,1108.9,780.7,531.1,315.1,1.97,5.9,5.6,29.5,46.21,86.23,49.8,1.06,35.3,Low
Plateau,35.7,683.6,1559.3,970.2,941.0,473.3,0.55,4.9,15.2,143.0,46.45,114.96,42.8,1.11,9.1,High
Ogun,17.6,396.1,1704.8,1214.5,1295.3,682.3,1.83,5.9,21.8,282.8,43.0,98.54,61.7,0.87,39.1,Low
Sokoto,17.6,691.9,1647.6,1248.2,1305.1,765.3,1.46,4.1,23.1,301.9,28.51,114.1,36.4,1.1,19.9,High
Delta,26.8,336.1,1974.2,1193.4,1154.9,579.3,1.82,2.3,21.5,248.4,47.46,101.75,65.4,0.86,30.8,Medium
Bauchi,32.6,500.6,1185.9,774.0,863.1,507.0,1.99,2.8,10.3,88.9,39.36,86.9,55.6,1.15,17.4,High
Imo,23.9,630.8,1233.0,755.2,746.1,391.6,1.37,2.2,7.5,56.0,31.3,118.95,40.7,1.04,19.3,High
Anambra,41.6,413.0,658.0,521.7,1671.3,764.3,1.07,4.8,20.5,342.9,37.3,115.41,85.0,0.96,9.9,High
Benue,22.8,372.8,849.6,531.6,1636.8,863.7,1.1,6.3,12.7,208.7,30.34,113.25,88.1,0.7,34.1,Medium
