Temperature_C,Temperature_K,Density,Sintering_Stress_Pa,Shear_Viscosity_Pa_s,Bulk_Viscosity_Pa_s,Densification_Rate_1per_s
800.0,1073.15,0.5,2591480.9520224542,4.351309062560568e+25,1.3053927187681705e+26,7.444544029060168e-21
800.0,1073.15,0.5257894736842105,2216708.106351385,4.837461925965738e+25,1.4512385777897215e+26,5.432530187777713e-21
800.0,1073.15,0.5515789473684211,1889480.1014432583,5.409883991493246e+25,1.622965197447974e+26,3.915438193073619e-21
800.0,1073.15,0.5773684210526315,1603425.8419542746,6.0902630530295205e+25,1.827078915908856e+26,2.7817287587153425e-21
800.0,1073.15,0.6031578947368421,1353263.8788646988,6.9075565665010535e+25,2.0722669699503162e+26,1.9436398438980927e-21
800.0,1073.15,0.6289473684210526,1134579.009186488,7.901124548988302e+25,2.3703373646964907e+26,1.3320525593625359e-21
800.0,1073.15,0.6547368421052632,943651.6728461115,9.125558700552389e+25,2.7376676101657168e+26,8.925704365360602e-22
800.0,1073.15,0.6805263157894736,777326.1409954178,1.065834465274953e+26,3.197503395824859e+26,5.824901853612283e-22
800.0,1073.15,0.7063157894736842,632907.5811008859,1.2612429275577504e+26,3.783728782673251e+26,3.684360864002207e-22
800.0,1073.15,0.7321052631578947,508080.878225381,1.5157639614487022e+26,4.547291884346106e+26,2.2449437483096644e-22
800.0,1073.15,0.7578947368421052,400846.0302982104,1.8558867811724528e+26,5.567660343517358e+26,1.3072852104404302e-22
800.0,1073.15,0.7836842105263158,309466.29945677787,2.3247887645472805e+26,6.974366293641842e+26,7.198766604449821e-23
800.0,1073.15,0.8094736842105263,232426.2746402234,2.996746458411613e+26,8.990239375234839e+26,3.694283318127783e-23
800.0,1073.15,0.8352631578947368,168397.70330560007,4.008468422624414e+26,1.2025405267873241e+27,1.7301686664018224e-23
800.0,1073.15,0.8610526315789473,116211.4634102157,5.634550661387897e+26,1.6903651984163693e+27,7.164403158117823e-24
800.0,1073.15,0.8868421052631579,74834.42574245698,8.495524995047943e+26,2.548657498514383e+27,2.4919313626271037e-24
800.0,1073.15,0.9126315789473685,43350.23924842512,1.4251184602122646e+27,4.275355380636794e+27,6.644082687036062e-25
800.0,1073.15,0.9384210526315789,20943.284678239157,2.868767937001177e+27,8.606303811003531e+27,1.1238844106986924e-25
800.0,1073.15,0.9642105263157894,6885.203356786874,8.49276909377357e+27,2.547830728132071e+28,7.253753211329572e-27
800.0,1073.15,0.99,523.5315054590827,1.0878272656401401e+29,3.26348179692042e+29,1.2031586309592249e-29
825.0,1098.15,0.5,2647043.299933809,1.7814477922889278e+25,5.344343376866784e+25,1.8573680010380097e-20
825.0,1098.15,0.5257894736842105,2264235.180369388,1.9804812171218772e+25,5.941443651365632e+25,1.355382908081902e-20
825.0,1098.15,0.5515789473684211,1929991.2812325754,2.2148336867419896e+25,6.644501060225969e+25,9.768777753840655e-21
825.0,1098.15,0.5773684210526315,1637803.9084460204,2.4933842929313284e+25,7.480152878793985e+25,6.940242362509509e-21
825.0,1098.15,0.6031578947368421,1382278.376692541,2.8279883636357767e+25,8.48396509090733e+25,4.849262006520202e-21
825.0,1098.15,0.6289473684210526,1158904.8193345976,3.2347600876027496e+25,9.704280262808248e+25,3.323389303364897e-21
825.0,1098.15,0.6547368421052632,963883.9275006899,3.7360495811197697e+25,1.120814874335931e+26,2.226908405703791e-21
825.0,1098.15,0.6805263157894736,793992.3123029368,4.363579851053352e+25,1.3090739553160056e+26,1.453277228243122e-21
825.0,1098.15,0.7063157894736842,646477.3629622641,5.1635919134542135e+25,1.549077574036264e+26,9.192254013626098e-22
825.0,1098.15,0.7321052631578947,518974.32758723485,6.2056138139838775e+25,1.8616841441951632e+26,5.600996737965559e-22
825.0,1098.15,0.7578947368421052,409440.32329385565,7.59809372656312e+25,2.279428117968936e+26,3.26159628934162e-22
825.0,1098.15,0.7836842105263158,316101.375892064,9.517802005320574e+25,2.8553406015961725e+26,1.7960480434869736e-22
825.0,1098.15,0.8094736842105263,237409.5833252522,1.226883056485423e+26,3.6806491694562686e+26,9.217009927101349e-23
825.0,1098.15,0.8352631578947368,172008.21480530326,1.6410871117810294e+26,4.923261335343088e+26,4.316664532883482e-23
825.0,1098.15,0.8610526315789473,118703.08186345838,2.3068133501789996e+26,6.920440050536999e+26,1.7874745747327695e-23
825.0,1098.15,0.8868421052631579,76438.9046006187,3.478110616637656e+26,1.0434331849912969e+27,6.217215662449297e-24
825.0,1098.15,0.9126315789473685,44279.68504399684,5.834506577662791e+26,1.7503519732988373e+27,1.657657813692767e-24
825.0,1098.15,0.9384210526315789,21392.316753427953,1.1744880068235493e+27,3.523464020470648e+27,2.804022560883078e-25
825.0,1098.15,0.9642105263157894,7032.824763786475,3.476982336809584e+27,1.043094701042875e+28,1.8097668641031768e-26
825.0,1098.15,0.99,534.7562222088513,4.453619480722311e+28,1.3360858442166932e+29,3.0018068703644743e-29
850.0,1123.15,0.5,2701244.699697856,7.589135331519669e+24,2.2767405994559005e+25,4.449197078616582e-20
850.0,1123.15,0.5257894736842105,2310598.122816944,8.437036461764028e+24,2.5311109385292082e+25,3.246726373919823e-20
850.0,1123.15,0.5515789473684211,1969510.1772694583,9.435400048348681e+24,2.8306200145046043e+25,2.3400434065706216e-20
850.0,1123.15,0.5773684210526315,1671339.9161037044,1.0622051858296796e+25,3.186615557489039e+25,1.6624872414573515e-20
850.0,1123.15,0.6031578947368421,1410582.1913230699,1.2047496704923874e+25,3.614249011477162e+25,1.1616073034960477e-20
850.0,1123.15,0.6289473684210526,1182634.79133876,1.3780382549562896e+25,4.134114764868869e+25,7.960950103249951e-21
850.0,1123.15,0.6547368421052632,983620.6118541006,1.5915922992026002e+25,4.774776897607801e+25,5.334405657611659e-21
850.0,1123.15,0.6805263157894736,810250.2612113613,1.8589261028518191e+25,5.576778308555458e+25,3.481225473199579e-21
850.0,1123.15,0.7063157894736842,659714.765610419,2.199738774134615e+25,6.599216322403846e+25,2.2019411167022595e-21
850.0,1123.15,0.7321052631578947,529600.9520166639,2.643649915160317e+25,7.93094974548095e+25,1.341680179155159e-21
850.0,1123.15,0.7578947368421052,417824.10705852835,3.236859469138231e+25,9.710578407414693e+25,7.812929195536652e-22
850.0,1123.15,0.7836842105263158,322573.93228776765,4.054673271349624e+25,1.2164019814048872e+26,4.302309345090167e-22
850.0,1123.15,0.8094736842105263,242270.83048881372,5.226637340661536e+25,1.567991202198461e+26,2.2078712252133907e-22
850.0,1123.15,0.8352631578947368,175530.29017656576,6.991185616569016e+25,2.097355684970705e+26,1.0340272481457469e-22
850.0,1123.15,0.8610526315789473,121133.67043504184,9.827242075149928e+25,2.9481726225449784e+26,4.281772191379379e-23
850.0,1123.15,0.8868421052631579,78004.0832381905,1.4817078716487829e+26,4.4451236149463486e+26,1.4892911769256112e-23
850.0,1123.15,0.9126315789473685,45186.3649273806,2.4855547382408573e+26,7.456664214722571e+26,3.97080508434843e-24
850.0,1123.15,0.9384210526315789,21830.35020466037,5.003429495723938e+26,1.5010288487171814e+27,6.716842854665218e-25
850.0,1123.15,0.9642105263157894,7176.83032142205,1.4812272138184422e+27,4.4436816414553266e+27,4.335171834684886e-26
850.0,1123.15,0.99,545.7059999389618,1.8972838328799138e+28,5.6918514986397416e+28,7.19062154119855e-29
875.0,1148.15,0.5,2754123.8066150183,3.355441453857469e+24,1.0066324361572408e+25,1.0259916036714161e-19
875.0,1148.15,0.5257894736842105,2355829.9987712763,3.7303303544912676e+24,1.1190991063473803e+25,7.487000328823477e-20
875.0,1148.15,0.5515789473684211,2008064.9736009126,4.1717443520167487e+24,1.2515233056050246e+25,5.3961756356152063e-20
875.0,1148.15,0.5773684210526315,1704057.7821039427,4.6964076371551346e+24,1.4089222911465404e+25,3.833720828290349e-20
875.0,1148.15,0.6031578947368421,1438195.508442678,5.326650282676945e+24,1.5979950848030834e+25,2.678684084097513e-20
875.0,1148.15,0.6289473684210526,1205785.8489168286,6.092824127772979e+24,1.8278472383318937e+25,1.8358071847249412e-20
875.0,1148.15,0.6547368421052632,1002875.8016952785,7.037026677076438e+24,2.1111080031229317e+25,1.2301220464229546e-20
875.0,1148.15,0.6805263157894736,826111.5825485385,8.219009719408561e+24,2.4657029158225683e+25,8.027758813283216e-21
875.0,1148.15,0.7063157894736842,672629.229683017,9.725870402828736e+24,2.917761120848621e+25,5.0777096577116314e-21
875.0,1148.15,0.7321052631578947,539968.330199119,1.1688568100734386e+25,3.5065704302203155e+25,3.09393487027456e-21
875.0,1148.15,0.7578947368421052,426003.3607308029,1.4311370095020623e+25,4.293411028506187e+25,1.801673338595364e-21
875.0,1148.15,0.7836842105263158,328888.5847352272,1.792723173617469e+25,5.378169520852407e+25,9.921190692303733e-22
875.0,1148.15,0.8094736842105263,247013.48307032944,2.3108924575763612e+25,6.932677372729084e+25,5.091384578003481e-22
875.0,1148.15,0.8352631578947368,178966.44128960092,3.0910654514248027e+25,9.273196354274408e+25,2.3844825388019663e-22
875.0,1148.15,0.8610526315789473,123504.96256970827,4.3449924129166135e+25,1.303497723874984e+26,9.873831703932895e-23
875.0,1148.15,0.8868421052631579,79531.0779077178,6.551186397201438e+25,1.9653559191604312e+26,3.4343280730165124e-23
875.0,1148.15,0.9126315789473685,46070.925523634665,1.0989570010547135e+26,3.296871003164141e+26,9.156736832219661e-24
875.0,1148.15,0.9384210526315789,22257.6974281979,2.212203895175955e+26,6.636611685527865e+26,1.548914163678642e-24
