Temperature_C,Temperature_K,Density,Sintering_Stress_Pa,Shear_Viscosity_Pa_s,Bulk_Viscosity_Pa_s,Densification_Rate_1per_s
800.0,1073.15,0.5,5182961.9040449085,8.709691303271223e+32,2.612907390981367e+33,7.438498282508402e-28
800.0,1073.15,0.5257894736842105,4433416.212702769,9.682787285556777e+32,2.9048361856670334e+33,5.42811840640844e-28
800.0,1073.15,0.5515789473684211,3778960.2028865158,1.0828561905158641e+33,3.248568571547592e+33,3.9122584487048532e-28
800.0,1073.15,0.5773684210526315,3206851.683908549,1.2190426003983004e+33,3.657127801194901e+33,2.7794697047040687e-28
800.0,1073.15,0.6031578947368421,2706527.7577293976,1.3826341565061104e+33,4.1479024695183314e+33,1.942061405535951e-28
800.0,1073.15,0.6289473684210526,2269158.0183729758,1.581509260339475e+33,4.7445277810184246e+33,1.3309707936914477e-28
800.0,1073.15,0.6547368421052632,1887303.345692223,1.8265951259486261e+33,5.479785377845879e+33,8.918455762064237e-29
800.0,1073.15,0.6805263157894736,1554652.2819908357,2.1334014751572883e+33,6.400204425471864e+33,5.820171425508373e-29
800.0,1073.15,0.7063157894736842,1265815.1622017715,2.5245360418038955e+33,7.573608125411686e+33,3.6813687785363863e-29
800.0,1073.15,0.7321052631578947,1016161.7564507618,3.0339918408537397e+33,9.101975522561218e+33,2.243120619737615e-29
800.0,1073.15,0.7578947368421052,801692.0605964208,3.7147903597364245e+33,1.1144371079209274e+34,1.3062235584410136e-29
800.0,1073.15,0.7836842105263158,618932.5989135557,4.653356540159173e+33,1.396006962047752e+34,7.192920454812458e-30
800.0,1073.15,0.8094736842105263,464852.5492804468,5.998364214464059e+33,1.7995092643392175e+34,3.6912831745938554e-30
800.0,1073.15,0.8352631578947368,336795.4066112001,8.023452726068732e+33,2.40703581782062e+34,1.728763588910435e-30
800.0,1073.15,0.8610526315789473,232422.92682043134,1.1278260447087738e+34,3.3834781341263217e+34,7.15858491518453e-31
800.0,1073.15,0.8868421052631579,149668.85148491396,1.7004859710551166e+34,5.10145791316535e+34,2.4899076543403324e-31
800.0,1073.15,0.9126315789473685,86700.4784968502,2.8525534915090307e+34,8.557660474527092e+34,6.638686998618072e-32
800.0,1073.15,0.9384210526315789,41886.56935647831,5.7421991388722885e+34,1.7226597416616866e+35,1.122971699285603e-32
800.0,1073.15,0.9642105263157894,13770.406713573744,1.699934342820556e+35,5.099803028461669e+35,7.247862406829847e-34
800.0,1073.15,0.99,1047.0630109181652,2.1774228258178019e+36,6.532268477453405e+36,1.2021815406074238e-36
825.0,1098.15,0.5,5294086.599867618,2.431844827873665e+32,7.295534483620995e+32,2.72122965001051e-27
825.0,1098.15,0.5257894736842105,4528470.360738775,2.7035442887554737e+32,8.110632866266421e+32,1.98577134661989e-27
825.0,1098.15,0.5515789473684211,3859982.5624651504,3.0234575882706015e+32,9.070372764811804e+32,1.4312235191549557e-27
825.0,1098.15,0.5773684210526315,3275607.8168920404,3.403705526994788e+32,1.0211116580984363e+33,1.0168148306940373e-27
825.0,1098.15,0.6031578947368421,2764556.753385082,3.860471749530326e+32,1.1581415248590977e+33,7.104653221891156e-28
825.0,1098.15,0.6289473684210526,2317809.6386691947,4.4157536485206615e+32,1.3247260945561984e+33,4.869097295630246e-28
825.0,1098.15,0.6547368421052632,1927767.8550013797,5.1000612478528006e+32,1.5300183743558403e+33,3.2626432554411057e-28
825.0,1098.15,0.6805263157894736,1587984.6246058736,5.956699454079078e+32,1.7870098362237233e+33,2.1291963041089045e-28
825.0,1098.15,0.7063157894736842,1292954.725924528,7.04879163023337e+32,2.114637489070011e+33,1.346757032442035e-28
825.0,1098.15,0.7321052631578947,1037948.6551744696,8.471250138589793e+32,2.541375041576938e+33,8.206019692622084e-29
825.0,1098.15,0.7578947368421052,818880.6465877113,1.0372116999791973e+33,3.111635099937592e+33,4.778564357715045e-29
825.0,1098.15,0.7836842105263158,632202.751784128,1.2992700476293548e+33,3.897810142888064e+33,2.631389787079733e-29
825.0,1098.15,0.8094736842105263,474819.1666505044,1.6748114809956833e+33,5.02443444298705e+33,1.3503840210476483e-29
825.0,1098.15,0.8352631578947368,344016.42961060646,2.2402392156253327e+33,6.720717646875999e+33,6.324344722998653e-30
