year,technology_readiness_level,cost_reduction_percent,market_penetration_percent,annual_capacity_addition_mw,cumulative_capacity_mw,projected_cost_usd_per_kw,policy_support_score,gas_infrastructure_percent,grid_modernization_percent,investment_required_million_usd,jobs_created,co2_reduction_potential_tons_year
2024,7.5,0.0,0.02,2.4,2.4,6000.0,7.3,60,40,14.2,5.0,4989.0
2025,6.4,0.0,0.02,2.9,5.3,6000.0,5.2,63,44,17.5,14.0,6133.0
2026,8.2,16.8,1.0,134.7,140.0,4992.0,5.4,66,48,672.6,559.0,283243.0
2027,7.6,10.9,1.45,284.0,424.0,5348.0,4.8,69,52,1518.9,837.0,597089.0
2028,8.3,10.5,0.62,45.7,469.7,5369.0,6.2,72,56,245.5,96.0,96132.0
2029,8.7,31.3,7.25,653.0,1122.7,4124.0,5.3,75,60,2693.4,1527.0,1372961.0
2030,8.7,28.4,3.79,595.0,1717.7,4299.0,9.0,78,64,2557.8,1716.0,1250996.0
2031,8.2,25.4,7.79,994.5,2712.2,4477.0,9.8,81,68,4452.1,4478.0,2090864.0
2032,8.4,28.0,5.6,451.2,3163.4,4323.0,9.0,84,72,1950.4,1738.0,948543.0
2033,8.7,33.8,3.2,183.4,3346.8,3974.0,9.7,87,76,728.6,627.0,385508.0
2034,8.1,31.4,6.79,907.3,4254.1,4117.0,9.3,90,80,3735.6,2153.0,1907582.0
