SOFC_System,Power_Rating_kW,Capital_Cost_USD_per_kW,Installation_Cost_USD_per_kW,Total_Initial_Cost_USD_per_kW,Annual_OM_Cost_USD_per_kW,Fuel_Cost_USD_per_MWh,Electricity_Cost_USD_per_MWh,LCOE_USD_per_MWh,Payback_Period_Years,NPV_20_Years_USD_per_kW,IRR_%,Nigerian_Grid_Tariff_USD_per_MWh,Fuel_Cost_Nigeria_USD_per_MWh,Economic_Viability_Nigeria,Financing_Availability,Subsidy_Potential_USD_per_kW
Residential_Micro_SOFC,1,8500,2500,11000,850,45,180,195,12.5,2800,8.2,65,35,Marginal,Limited,1500
Residential_Small_SOFC,5,6800,1800,8600,680,42,165,175,10.8,4200,10.5,65,35,Good,Moderate,1200
Commercial_SOFC,25,5200,1200,6400,520,38,145,158,8.9,6800,12.8,85,32,Very_Good,Good,800
Industrial_SOFC,100,4500,800,5300,450,35,125,142,7.2,8900,15.2,95,30,Excellent,Good,600
Utility_SOFC,1000,3800,600,4400,380,32,110,128,6.1,12500,18.5,110,28,Excellent,Excellent,400
Micro_CHP_SOFC,0.75,12000,3000,15000,1200,48,220,245,15.2,1800,6.8,65,38,Poor,Very_Limited,2000
Distributed_SOFC_10kW,10,5800,1500,7300,580,40,155,168,9.5,5600,11.8,75,33,Good,Moderate,1000
Grid_Support_SOFC_50kW,50,4800,1000,5800,480,36,135,148,8.1,7500,13.9,90,31,Very_Good,Good,700
Backup_Power_SOFC,15,7200,2000,9200,720,44,175,188,11.2,4100,9.7,70,36,Fair,Limited,900
Mobile_SOFC,0.25,15000,1000,16000,1500,52,280,315,18.5,500,4.2,65,42,Very_Poor,None,0
Flare_Gas_SOFC,200,4200,700,4900,420,15,95,112,5.8,14200,21.5,105,15,Excellent,Excellent,500
Biogas_SOFC,30,5500,1300,6800,550,25,130,145,7.8,8200,14.2,80,25,Excellent,Good,750
LPG_SOFC,20,5800,1400,7200,580,65,170,185,9.8,5800,11.2,75,55,Good,Moderate,800
Hybrid_SOFC_Solar,40,6200,1600,7800,620,38,140,155,8.5,7200,13.5,85,33,Very_Good,Good,1100
Reversible_SOEC_SOFC,75,8500,1800,10300,850,40,160,178,10.5,5200,10.8,95,35,Good,Limited,600
High_Efficiency_SOFC,150,4200,900,5100,420,33,115,132,6.8,10800,16.8,100,29,Excellent,Excellent,550
Modular_SOFC_System,80,4600,1100,5700,460,37,140,152,7.9,7800,14.5,90,32,Very_Good,Good,650
Marine_SOFC,12,9500,2800,12300,950,48,195,215,13.2,3200,8.5,70,40,Poor,Very_Limited,1000
Portable_SOFC,0.1,25000,500,25500,2500,58,350,395,22.5,-500,2.1,65,45,Very_Poor,None,0
Remote_Area_SOFC,8,7500,3500,11000,750,50,185,205,14.8,2500,7.2,60,42,Poor,Very_Limited,1500
