Fuel_Type,Composition_CH4_%,Composition_C2H6_%,Composition_C3H8_%,Composition_C4H10_%,Composition_CO2_%,Composition_N2_%,Composition_H2S_ppm,Lower_Heating_Value_MJ_m3,Higher_Heating_Value_MJ_m3,Reforming_Required,Pre_Processing_Steps,Efficiency_Impact_%,Sulfur_Tolerance_ppm,SOFC_Compatibility_Rating,Nigerian_Availability,Regional_Source,Processing_Cost_USD_per_MWh,Infrastructure_Requirements
Nigerian_Pipeline_NG,85.2,8.5,3.1,1.2,1.5,0.4,15,35.8,39.7,Yes,Desulfurization_Steam_Reforming,-2.5,10,Excellent,High,Niger_Delta_Warri,12.5,Existing_Pipeline_Network
Nigerian_Associated_Gas,82.1,9.8,4.2,2.1,1.3,0.3,25,36.2,40.1,Yes,Desulfurization_Steam_Reforming_Compression,-3.8,10,Good,Very_High,Offshore_Onshore_Fields,18.7,Gas_Processing_Plants_Required
Nigerian_Non_Associated_Gas,88.5,6.2,2.8,0.8,1.2,0.4,8,35.4,39.3,Yes,Minimal_Desulfurization_Steam_Reforming,-1.2,10,Excellent,Medium,Kankara_Gombe_Fields,9.8,Dedicated_Wells_Processing
Lagos_Landfill_Biogas,55.8,0.0,0.0,0.0,38.5,5.2,150,20.1,22.3,Yes,Biogas_Upgrading_CO2_Removal_H2S_Removal,-12.5,50,Fair,Medium,Lagos_Waste_Sites,35.2,Anaerobic_Digestion_Plants
Kano_Agricultural_Biogas,62.3,0.0,0.0,0.0,32.1,5.1,95,22.4,24.8,Yes,Biogas_Upgrading_CO2_Removal,-9.8,50,Good,High,Northern_Agricultural_Zones,28.9,Biomass_Collection_Processing
Abuja_Municipal_Biogas,58.9,0.0,0.0,0.0,35.8,4.8,120,21.2,23.5,Yes,Biogas_Upgrading_CO2_Removal_H2S_Removal,-11.2,50,Fair,Medium,FCT_Waste_Management,32.1,Municipal_Waste_Infrastructure
Nigerian_LPG_Butane,0.0,0.0,15.2,84.8,0.0,0.0,0,101.2,110.8,Yes,Vaporization_Steam_Reforming,+2.1,0,Good,High,Refineries_Import_Terminals,45.8,LPG_Storage_Vaporization
Nigerian_LPG_Propane,0.0,0.0,85.6,14.4,0.0,0.0,0,93.5,102.1,Yes,Vaporization_Steam_Reforming,+1.8,0,Good,High,Refineries_Import_Terminals,42.3,LPG_Storage_Vaporization
Mixed_Nigerian_LPG,0.0,0.0,52.8,47.2,0.0,0.0,0,96.8,105.9,Yes,Vaporization_Steam_Reforming,+1.95,0,Good,High,Refineries_Import_Terminals,44.1,LPG_Storage_Vaporization
Kaduna_Refinery_Gas,79.5,12.8,4.2,2.1,0.9,0.4,35,37.1,41.2,Yes,Desulfurization_Steam_Reforming,-4.2,10,Good,Medium,Kaduna_Refinery,22.5,Refinery_Gas_Recovery
Port_Harcourt_Refinery_Gas,81.2,11.5,3.8,1.9,1.1,0.4,28,36.8,40.9,Yes,Desulfurization_Steam_Reforming,-3.5,10,Good,Low,Port_Harcourt_Refinery,20.8,Refinery_Gas_Recovery
Warri_Refinery_Gas,80.8,12.1,4.0,2.0,0.8,0.2,32,37.0,41.1,Yes,Desulfurization_Steam_Reforming,-3.8,10,Good,Low,Warri_Refinery,21.2,Refinery_Gas_Recovery
Synthetic_Gas_from_Coal,45.2,0.0,0.0,0.0,18.5,35.8,200,16.2,18.0,Yes,Extensive_Cleaning_CO2_Removal_Tar_Removal,-18.5,100,Poor,Low,Enugu_Coal_Deposits,65.8,Coal_Gasification_Plants
Producer_Gas_from_Biomass,18.5,0.0,0.0,0.0,12.8,68.2,80,6.8,7.5,Yes,Extensive_Cleaning_Tar_Removal_Compression,-25.2,80,Poor,High,Agricultural_Residues,58.9,Biomass_Gasification
Hydrogen_Rich_Gas,75.0,0.0,0.0,0.0,15.0,10.0,0,28.5,31.6,Minimal,Minor_Conditioning,+8.5,0,Excellent,Low,Electrolysis_Plants,85.2,Hydrogen_Production_Infrastructure
Flare_Gas_Recovery,83.5,10.2,3.8,1.5,0.8,0.1,45,36.5,40.5,Yes,Desulfurization_Compression_Steam_Reforming,-5.2,10,Good,Very_High,Oil_Production_Sites,28.5,Flare_Gas_Recovery_Systems
Compressed_Natural_Gas,86.8,7.2,2.8,1.0,1.8,0.3,12,35.9,39.8,Yes,Decompression_Steam_Reforming,-1.8,10,Excellent,Medium,CNG_Stations,15.8,CNG_Infrastructure
Liquefied_Natural_Gas,89.2,6.1,2.2,0.8,1.4,0.2,5,36.2,40.1,Yes,Regasification_Steam_Reforming,-0.8,10,Excellent,Low,LNG_Terminals,25.8,LNG_Regasification_Plants
Biogas_Upgraded_Biomethane,95.2,0.0,0.0,0.0,2.8,1.8,5,34.2,38.0,Minimal,Minor_Conditioning,-0.5,10,Excellent,Medium,Upgraded_Biogas_Plants,48.5,Biogas_Upgrading_Infrastructure
Nigerian_Shale_Gas,87.5,6.8,2.5,0.9,1.8,0.4,18,35.7,39.6,Yes,Desulfurization_Steam_Reforming,-2.2,10,Excellent,Unknown,Potential_Shale_Formations,35.8,Hydraulic_Fracturing_Infrastructure
