SOFC_Type,Manufacturer,Power_Rating_kW,Cold_Start_Time_minutes,Warm_Start_Time_minutes,Hot_Start_Time_minutes,Ramp_Up_Rate_%_per_minute,Ramp_Down_Rate_%_per_minute,Minimum_Load_%,Maximum_Load_%,Load_Following_Capability,Cycling_Capability_cycles,Thermal_Cycling_Impact_%_per_cycle,Start_Stop_Degradation_%_per_cycle,Backup_Power_Suitability,Grid_Support_Capability,Response_Time_seconds,Frequency_Regulation_Capability,Nigerian_Grid_Compatibility
Planar_Residential,Bloom_Energy,1,180,45,15,2.5,3.0,20,100,Good,5000,0.02,0.015,Excellent,Limited,30,No,High
Planar_Commercial,Bloom_Energy,5,240,60,20,2.8,3.2,25,100,Good,4500,0.025,0.018,Excellent,Moderate,25,Limited,High
Planar_Industrial,Bloom_Energy,25,300,75,25,3.2,3.5,30,100,Very_Good,4000,0.03,0.022,Excellent,Good,20,Yes,Medium
Planar_Commercial_SE,Siemens_Energy,10,360,90,30,2.0,2.5,35,100,Moderate,3500,0.035,0.025,Good,Moderate,45,Limited,Medium
Planar_Industrial_SE,Siemens_Energy,50,420,105,35,2.2,2.8,40,100,Good,3200,0.04,0.028,Good,Good,40,Yes,Medium
Planar_Utility_SE,Siemens_Energy,100,480,120,40,2.5,3.0,45,100,Good,3000,0.045,0.032,Good,Excellent,35,Yes,Low
Tubular_Residential,Rolls_Royce,2,300,75,25,1.5,2.0,30,100,Limited,6000,0.015,0.012,Good,Limited,60,No,High
Tubular_Commercial,Rolls_Royce,15,420,105,35,1.8,2.2,35,100,Moderate,5500,0.018,0.015,Good,Moderate,55,Limited,High
Tubular_Industrial,Rolls_Royce,75,540,135,45,2.0,2.5,40,100,Good,5000,0.022,0.018,Good,Good,50,Yes,Medium
Micro_Tubular_CHP,Ceres_Power,0.5,90,25,10,4.0,4.5,15,100,Excellent,8000,0.01,0.008,Excellent,Limited,15,No,Very_High
Micro_Tubular_Res,Ceres_Power,3,120,30,12,3.8,4.2,18,100,Excellent,7500,0.012,0.01,Excellent,Limited,18,No,Very_High
Metal_Supported_Com,Convion,8,200,50,18,3.0,3.5,22,100,Very_Good,6000,0.018,0.014,Excellent,Moderate,22,Limited,High
Metal_Supported_Ind,Convion,40,280,70,25,3.2,3.8,28,100,Very_Good,5500,0.022,0.017,Excellent,Good,20,Yes,Medium
Ceramic_Matrix_Com,Solid_Power,12,220,55,20,2.8,3.2,25,100,Good,5200,0.02,0.016,Excellent,Moderate,28,Limited,High
Ceramic_Matrix_Ind,Solid_Power,60,320,80,28,3.0,3.5,32,100,Good,4800,0.025,0.019,Excellent,Good,25,Yes,Medium
High_Power_Industrial,FuelCell_Energy,20,250,65,22,3.5,4.0,20,100,Very_Good,4500,0.025,0.02,Excellent,Good,18,Yes,Medium
High_Power_Utility,FuelCell_Energy,100,350,90,30,4.0,4.5,25,100,Excellent,4000,0.03,0.024,Excellent,Excellent,15,Yes,Low
Tubular_Elec_Ind,Mitsubishi_Power,30,400,100,35,2.2,2.8,38,100,Moderate,4200,0.028,0.022,Good,Good,42,Yes,Medium
Tubular_Elec_Utility,Mitsubishi_Power,150,500,125,42,2.5,3.2,42,100,Good,3800,0.032,0.026,Good,Excellent,38,Yes,Low
Compact_Residential,Hexis,5,150,40,15,3.2,3.8,18,100,Good,6500,0.015,0.012,Excellent,Limited,25,No,High
Micro_CHP_Viessmann,Viessmann,1.5,130,35,12,3.5,4.0,16,100,Very_Good,7000,0.012,0.01,Excellent,Limited,20,No,High
Ultra_Compact_CHP,Bosch,0.75,75,20,8,4.5,5.0,12,100,Excellent,9000,0.008,0.006,Excellent,Limited,12,No,Very_High
Large_Scale_Doosan,Doosan_Fuel_Cell,35,280,75,26,3.8,4.2,22,100,Excellent,4200,0.022,0.018,Excellent,Good,16,Yes,Medium
Utility_Scale_Doosan,Doosan_Fuel_Cell,200,400,105,38,4.2,4.8,28,100,Excellent,3600,0.028,0.022,Excellent,Excellent,12,Yes,Very_Low
Reversible_SOEC,Sunfire,10,600,150,50,1.8,2.2,50,100,Limited,2500,0.05,0.04,Poor,Moderate,90,Limited,Low
Reversible_SOEC_Large,Sunfire,50,720,180,60,2.0,2.5,55,100,Limited,2200,0.055,0.045,Poor,Good,85,Limited,Very_Low
Distributed_SOFC_1kW,Generic_Manufacturer,1,160,42,16,3.0,3.5,20,100,Good,6000,0.016,0.013,Excellent,Limited,28,No,High
Distributed_SOFC_5kW,Generic_Manufacturer,5,210,55,20,3.2,3.8,24,100,Good,5500,0.02,0.016,Excellent,Moderate,24,Limited,High
Distributed_SOFC_25kW,Generic_Manufacturer,25,290,75,28,3.5,4.0,28,100,Very_Good,5000,0.024,0.019,Excellent,Good,20,Yes,Medium
Grid_Scale_SOFC_MW,Generic_Manufacturer,1000,600,150,50,4.5,5.0,35,100,Excellent,3000,0.035,0.028,Good,Excellent,10,Yes,Very_Low
Portable_SOFC,Generic_Manufacturer,0.1,30,10,5,5.0,6.0,10,100,Excellent,12000,0.005,0.004,Excellent,None,8,No,Very_High
Mobile_SOFC,Generic_Manufacturer,0.25,45,15,8,4.8,5.5,12,100,Excellent,10000,0.008,0.006,Excellent,None,10,No,Very_High
