SOFC_Type,Technology,Stack_Size_kW,Electrical_Efficiency_LHV_%,Electrical_Efficiency_HHV_%,Thermal_Efficiency_%,Combined_Efficiency_%,Operating_Temperature_C,Degradation_Rate_%_per_1000h,Stack_Lifespan_hours,Voltage_Loss_per_1000h_%,Manufacturer,Application_Type,Load_Factor_%,Ambient_Temperature_C,Humidity_%
Planar_SOFC,Anode_Supported,1,52.5,47.2,35.0,87.5,750,0.8,60000,0.5,Bloom_Energy,Residential,75,25,60
Planar_SOFC,Anode_Supported,5,55.2,49.7,33.5,88.7,780,0.7,65000,0.4,Bloom_Energy,Commercial,85,30,65
Planar_SOFC,Anode_Supported,25,58.1,52.3,32.0,90.1,800,0.6,70000,0.35,Bloom_Energy,Industrial,90,35,70
Planar_SOFC,Electrolyte_Supported,10,50.8,45.7,36.2,87.0,850,1.0,55000,0.6,Siemens_Energy,Commercial,80,28,58
Planar_SOFC,Electrolyte_Supported,50,53.5,48.2,34.8,88.3,870,0.9,58000,0.55,Siemens_Energy,Industrial,88,32,62
Planar_SOFC,Electrolyte_Supported,100,56.2,50.6,33.1,89.3,890,0.8,62000,0.5,Siemens_Energy,Utility,92,38,68
Tubular_SOFC,Cathode_Supported,2,49.5,44.6,37.8,87.3,900,1.2,50000,0.7,Rolls_Royce,Residential,70,26,55
Tubular_SOFC,Cathode_Supported,15,52.8,47.5,35.5,88.3,920,1.0,55000,0.6,Rolls_Royce,Commercial,82,29,60
Tubular_SOFC,Cathode_Supported,75,55.5,49.9,33.8,89.3,940,0.9,60000,0.55,Rolls_Royce,Industrial,87,34,65
Micro_Tubular_SOFC,Anode_Supported,0.5,48.2,43.4,38.5,86.7,700,1.5,45000,0.8,Ceres_Power,Micro_CHP,65,24,50
Micro_Tubular_SOFC,Anode_Supported,3,51.0,45.9,36.8,87.8,720,1.3,48000,0.75,Ceres_Power,Residential,72,27,55
Planar_SOFC,Metal_Supported,8,54.8,49.3,34.2,89.0,750,0.8,65000,0.45,Convion,Commercial,83,31,63
Planar_SOFC,Metal_Supported,40,57.5,51.8,32.5,90.0,770,0.7,68000,0.4,Convion,Industrial,89,36,67
Solid_Power_SOFC,Ceramic_Matrix,12,53.2,47.9,35.8,89.0,800,0.9,62000,0.5,Solid_Power,Commercial,81,30,61
Solid_Power_SOFC,Ceramic_Matrix,60,56.8,51.1,33.2,90.0,820,0.8,65000,0.45,Solid_Power,Industrial,90,37,69
Planar_SOFC,Anode_Supported,20,57.2,51.5,32.8,90.0,785,0.65,72000,0.38,FuelCell_Energy,Industrial,91,33,64
Planar_SOFC,Anode_Supported,100,59.5,53.6,31.5,91.0,810,0.6,75000,0.35,FuelCell_Energy,Utility,94,39,71
Tubular_SOFC,Electrolyte_Supported,30,54.0,48.6,34.5,88.5,880,0.85,58000,0.48,Mitsubishi_Power,Industrial,86,35,66
Tubular_SOFC,Electrolyte_Supported,150,57.8,52.0,32.2,90.0,900,0.75,63000,0.42,Mitsubishi_Power,Utility,93,40,72
Planar_SOFC,Anode_Supported,5,53.8,48.4,34.8,88.6,760,0.75,68000,0.42,Hexis,Residential,78,28,59
Planar_SOFC,Anode_Supported,1.5,51.5,46.4,36.2,87.7,740,0.9,62000,0.5,Viessmann,Residential,74,26,57
Micro_Tubular_SOFC,Metal_Supported,0.75,49.8,44.8,37.2,87.0,680,1.4,46000,0.78,Bosch,Micro_CHP,68,25,52
Planar_SOFC,Anode_Supported,35,58.8,52.9,31.8,90.6,795,0.62,73000,0.36,Doosan_Fuel_Cell,Industrial,92,34,65
Planar_SOFC,Anode_Supported,200,61.2,55.1,30.2,91.4,825,0.55,78000,0.32,Doosan_Fuel_Cell,Utility,95,41,73
SOEC_Mode_SOFC,Reversible,10,52.0,46.8,35.5,87.5,800,1.1,55000,0.62,Sunfire,Energy_Storage,80,29,60
SOEC_Mode_SOFC,Reversible,50,55.5,49.9,33.0,88.5,830,1.0,58000,0.58,Sunfire,Energy_Storage,85,35,68
