SOFC_Configuration,Technology_Type,Power_Density_kW_per_m2,Power_Density_kW_per_m3,Volumetric_Power_Density_W_per_cm3,Gravimetric_Power_Density_W_per_kg,Stack_Volume_m3_per_kW,Stack_Weight_kg_per_kW,Cell_Active_Area_cm2,Stack_Height_mm,Stack_Width_mm,Stack_Length_mm,Cooling_Requirements,Footprint_m2_per_MW,Total_System_Volume_m3_per_MW,BOP_Volume_Ratio,Manufacturer,Application_Scale,Nigerian_Climate_Suitability
Planar_Anode_Supported,Ni_YSZ_Anode,2.8,180,0.18,0.25,0.0056,4.0,100,150,200,300,Air_Cooling,357,5.6,2.5,Bloom_Energy,Residential,High
Planar_Anode_Supported,Ni_YSZ_Anode,3.2,220,0.22,0.28,0.0045,3.6,225,180,250,350,Air_Cooling,313,4.5,2.3,Bloom_Energy,Commercial,High
Planar_Anode_Supported,Ni_YSZ_Anode,3.8,280,0.28,0.32,0.0036,3.1,400,220,300,400,Liquid_Cooling,263,3.6,2.1,Bloom_Energy,Industrial,Medium
Planar_Electrolyte_Supported,Ni_YSZ_Anode,2.2,150,0.15,0.22,0.0067,4.5,150,200,250,350,Air_Cooling,455,6.7,2.8,Siemens_Energy,Commercial,Medium
Planar_Electrolyte_Supported,Ni_YSZ_Anode,2.6,190,0.19,0.26,0.0053,3.8,300,250,300,400,Air_Cooling,385,5.3,2.6,Siemens_Energy,Industrial,Medium
Planar_Electrolyte_Supported,Ni_YSZ_Anode,3.1,240,0.24,0.29,0.0042,3.4,500,300,350,450,Liquid_Cooling,323,4.2,2.4,Siemens_Energy,Utility,Low
Tubular_Cathode_Supported,Ni_YSZ_Anode,1.8,120,0.12,0.18,0.0083,5.6,80,500,100,150,Air_Cooling,556,8.3,3.2,Rolls_Royce,Residential,High
Tubular_Cathode_Supported,Ni_YSZ_Anode,2.1,145,0.145,0.21,0.0069,4.8,120,600,120,180,Air_Cooling,476,6.9,3.0,Rolls_Royce,Commercial,High
Tubular_Cathode_Supported,Ni_YSZ_Anode,2.5,175,0.175,0.24,0.0057,4.2,200,700,150,200,Air_Cooling,400,5.7,2.8,Rolls_Royce,Industrial,Medium
Micro_Tubular_Anode_Supported,Ni_CGO_Anode,4.2,350,0.35,0.38,0.0029,2.6,50,80,60,100,Air_Cooling,238,2.9,2.0,Ceres_Power,Micro_CHP,Very_High
Micro_Tubular_Anode_Supported,Ni_CGO_Anode,4.8,420,0.42,0.42,0.0024,2.4,75,100,80,120,Air_Cooling,208,2.4,1.9,Ceres_Power,Residential,Very_High
Planar_Metal_Supported,Ni_YSZ_Anode,3.5,260,0.26,0.30,0.0038,3.3,200,160,220,320,Air_Cooling,286,3.8,2.2,Convion,Commercial,High
Planar_Metal_Supported,Ni_YSZ_Anode,4.1,320,0.32,0.35,0.0031,2.9,350,200,280,380,Liquid_Cooling,244,3.1,2.0,Convion,Industrial,Medium
Ceramic_Matrix_SOFC,Ni_ScSZ_Anode,3.0,210,0.21,0.27,0.0048,3.7,180,170,240,340,Air_Cooling,333,4.8,2.4,Solid_Power,Commercial,High
Ceramic_Matrix_SOFC,Ni_ScSZ_Anode,3.6,270,0.27,0.31,0.0037,3.2,320,210,300,420,Liquid_Cooling,278,3.7,2.1,Solid_Power,Industrial,Medium
High_Power_Planar,Ni_YSZ_Anode,4.5,380,0.38,0.40,0.0026,2.5,250,180,260,360,Liquid_Cooling,222,2.6,1.8,FuelCell_Energy,Industrial,Medium
High_Power_Planar,Ni_YSZ_Anode,5.2,450,0.45,0.45,0.0022,2.2,400,220,320,450,Liquid_Cooling,192,2.2,1.7,FuelCell_Energy,Utility,Low
Tubular_Electrolyte_Supported,Ni_YSZ_Anode,2.0,135,0.135,0.20,0.0074,5.0,100,450,110,160,Air_Cooling,500,7.4,3.1,Mitsubishi_Power,Industrial,Medium
Tubular_Electrolyte_Supported,Ni_YSZ_Anode,2.4,165,0.165,0.23,0.0061,4.3,180,550,140,200,Air_Cooling,417,6.1,2.9,Mitsubishi_Power,Utility,Low
Compact_Planar,Ni_YSZ_Anode,3.3,240,0.24,0.29,0.0042,3.4,120,140,180,280,Air_Cooling,303,4.2,2.3,Hexis,Residential,High
Micro_CHP_Planar,Ni_YSZ_Anode,2.9,200,0.20,0.26,0.0050,3.8,90,130,160,250,Air_Cooling,345,5.0,2.5,Viessmann,Residential,High
Ultra_Compact_Tubular,Ni_CGO_Anode,5.0,420,0.42,0.43,0.0024,2.3,40,60,50,80,Air_Cooling,200,2.4,1.8,Bosch,Micro_CHP,Very_High
Large_Scale_Planar,Ni_YSZ_Anode,4.8,400,0.40,0.41,0.0025,2.4,500,250,350,500,Liquid_Cooling,208,2.5,1.8,Doosan_Fuel_Cell,Industrial,Low
Utility_Scale_Planar,Ni_YSZ_Anode,5.5,480,0.48,0.47,0.0021,2.1,800,300,400,600,Liquid_Cooling,182,2.1,1.6,Doosan_Fuel_Cell,Utility,Very_Low
Reversible_SOEC_SOFC,Ni_YSZ_Anode,2.7,185,0.185,0.25,0.0054,4.0,200,190,270,370,Liquid_Cooling,370,5.4,2.6,Sunfire,Energy_Storage,Medium
High_Temperature_Planar,Ni_YSZ_Anode,3.4,250,0.25,0.30,0.0040,3.3,180,160,230,330,Air_Cooling,294,4.0,2.2,Generic_Manufacturer,Commercial,Low
Intermediate_Temperature_Planar,Ni_CGO_Anode,4.0,310,0.31,0.36,0.0032,2.8,160,140,210,310,Air_Cooling,250,3.2,2.0,Generic_Manufacturer,Commercial,High
Low_Temperature_Planar,Ni_CGO_Anode,4.6,370,0.37,0.39,0.0027,2.6,140,120,190,290,Air_Cooling,217,2.7,1.9,Generic_Manufacturer,Commercial,Very_High
Portable_SOFC,Ni_CGO_Anode,6.0,500,0.50,0.52,0.0020,1.9,30,40,40,60,Air_Cooling,167,2.0,1.5,Generic_Manufacturer,Portable,Very_High
Mobile_SOFC,Ni_CGO_Anode,5.8,480,0.48,0.50,0.0021,2.0,50,60,60,90,Air_Cooling,172,2.1,1.6,Generic_Manufacturer,Mobile,Very_High
