Manufacturer,Operating_Hours,Operating_Years,Cell_Voltage_Retention_pct,Power_Output_Retention_pct,Efficiency_Retention_pct,Degradation_Rate_Current_pct_per_1000h,Estimated_Remaining_Life_hours,Recommended_Maintenance_Action,End_of_Life_Criteria_Met
Bloom Energy,0,0.0,100.28,100.05,99.52,0.15,80000,None,No
Bloom Energy,1000,0.11,100.25,100.35,100.17,0.15,79000,None,No
Bloom Energy,5000,0.57,99.27,98.85,98.93,0.15,75000,None,No
Bloom Energy,10000,1.14,98.58,99.19,99.55,0.15,70000,Inspection,No
Bloom Energy,20000,2.28,97.91,97.71,99.08,0.1,60000,Inspection,No
Bloom Energy,30000,3.42,96.96,96.64,98.45,0.1,50000,Inspection,No
Bloom Energy,40000,4.57,95.23,96.22,97.36,0.1,40000,Performance monitoring,No
Bloom Energy,50000,5.71,93.89,95.58,97.53,0.1,30000,Performance monitoring,No
Bloom Energy,60000,6.85,93.82,94.19,96.03,0.1,20000,Consider stack replacement,No
Bloom Energy,70000,7.99,92.46,93.48,96.09,0.1,10000,Consider stack replacement,No
Bloom Energy,80000,9.13,91.14,93.07,95.73,0.1,0,Consider stack replacement,No
Siemens Energy,0,0.0,100.23,100.39,99.7,0.18,80000,None,No
Siemens Energy,1000,0.11,99.92,100.5,100.46,0.18,79000,None,No
Siemens Energy,5000,0.57,99.12,99.07,99.63,0.18,75000,None,No
Siemens Energy,10000,1.14,98.44,99.18,98.86,0.12,70000,Inspection,No
Siemens Energy,20000,2.28,96.98,96.85,98.26,0.12,60000,Inspection,No
Siemens Energy,30000,3.42,96.11,96.73,97.77,0.12,50000,Inspection,No
Siemens Energy,40000,4.57,95.11,95.8,97.94,0.12,40000,Performance monitoring,No
Siemens Energy,50000,5.71,93.55,93.85,96.46,0.12,30000,Performance monitoring,No
Siemens Energy,60000,6.85,91.77,93.71,95.71,0.12,20000,Consider stack replacement,No
Siemens Energy,70000,7.99,91.73,91.57,95.35,0.12,10000,Consider stack replacement,No
Siemens Energy,80000,9.13,89.84,90.58,95.24,0.12,0,Consider stack replacement,No
FuelCell Energy,0,0.0,100.91,99.67,99.87,0.2,80000,None,No
FuelCell Energy,1000,0.11,99.72,100.09,99.85,0.2,79000,None,No
FuelCell Energy,5000,0.57,99.69,99.67,99.14,0.2,75000,None,No
FuelCell Energy,10000,1.14,98.47,99.15,98.96,0.13,70000,Inspection,No
FuelCell Energy,20000,2.28,96.76,96.95,98.3,0.13,60000,Inspection,No
FuelCell Energy,30000,3.42,94.78,95.38,97.83,0.13,50000,Inspection,No
FuelCell Energy,40000,4.57,95.07,94.57,96.96,0.13,40000,Performance monitoring,No
FuelCell Energy,50000,5.71,93.86,93.15,96.01,0.13,30000,Performance monitoring,No
FuelCell Energy,60000,6.85,91.3,92.21,95.33,0.13,20000,Consider stack replacement,No
FuelCell Energy,70000,7.99,90.35,91.84,94.82,0.13,10000,Consider stack replacement,No
FuelCell Energy,80000,9.13,89.15,90.4,94.53,0.13,0,Consider stack replacement,No
Ceres Power,0,0.0,100.09,100.1,99.76,0.2,80000,None,No
Ceres Power,1000,0.11,100.55,100.44,100.26,0.2,79000,None,No
Ceres Power,5000,0.57,99.51,98.31,99.78,0.2,75000,None,No
Ceres Power,10000,1.14,98.54,97.62,99.04,0.13,70000,Inspection,No
Ceres Power,20000,2.28,97.05,98.05,98.67,0.13,60000,Inspection,No
Ceres Power,30000,3.42,95.18,96.9,97.82,0.13,50000,Inspection,No
Ceres Power,40000,4.57,94.18,94.72,96.67,0.13,40000,Performance monitoring,No
Ceres Power,50000,5.71,92.96,93.96,96.39,0.13,30000,Performance monitoring,No
Ceres Power,60000,6.85,91.92,92.11,95.81,0.13,20000,Consider stack replacement,No
Ceres Power,70000,7.99,90.57,91.46,94.72,0.13,10000,Consider stack replacement,No
Ceres Power,80000,9.13,88.89,91.04,94.41,0.13,0,Consider stack replacement,No
Mitsubishi Power,0,0.0,100.01,99.96,100.47,0.16,80000,None,No
Mitsubishi Power,1000,0.11,100.49,100.26,99.63,0.16,79000,None,No
Mitsubishi Power,5000,0.57,99.38,99.56,99.39,0.16,75000,None,No
Mitsubishi Power,10000,1.14,98.01,99.46,99.13,0.11,70000,Inspection,No
Mitsubishi Power,20000,2.28,98.16,98.11,98.8,0.11,60000,Inspection,No
Mitsubishi Power,30000,3.42,96.48,95.92,98.19,0.11,50000,Inspection,No
Mitsubishi Power,40000,4.57,95.86,95.98,97.62,0.11,40000,Performance monitoring,No
Mitsubishi Power,50000,5.71,94.91,94.55,96.84,0.11,30000,Performance monitoring,No
Mitsubishi Power,60000,6.85,93.03,94.04,95.96,0.11,20000,Consider stack replacement,No
Mitsubishi Power,70000,7.99,91.99,93.07,95.84,0.11,10000,Consider stack replacement,No
Mitsubishi Power,80000,9.13,91.3,92.0,96.02,0.11,0,Consider stack replacement,No
Convion,0,0.0,99.62,100.42,99.69,0.2,80000,None,No
Convion,1000,0.11,98.99,98.8,100.06,0.2,79000,None,No
Convion,5000,0.57,99.09,98.86,98.97,0.2,75000,None,No
Convion,10000,1.14,97.86,98.39,99.34,0.13,70000,Inspection,No
Convion,20000,2.28,96.9,97.35,98.34,0.13,60000,Inspection,No
Convion,30000,3.42,96.48,95.54,97.6,0.13,50000,Inspection,No
Convion,40000,4.57,94.06,95.15,96.84,0.13,40000,Performance monitoring,No
Convion,50000,5.71,93.08,93.79,96.3,0.13,30000,Performance monitoring,No
Convion,60000,6.85,91.87,92.04,95.52,0.13,20000,Consider stack replacement,No
