Manufacturer,Fuel_Type,CH4_Content_pct,C2H6_Content_pct,CO2_Content_pct,N2_Content_pct,H2_Content_pct,Sulfur_Content_ppm,Lower_Heating_Value_MJ_per_kg,Reforming_Required,Pre_Treatment_Requirements,Relative_Efficiency_Impact,Fuel_Compatibility_Rating,Degradation_Impact_Multiplier,Minimum_Purity_Requirements,Cost_Premium_Factor
Bloom Energy,Pipeline Natural Gas,97.07,1.9,1.43,-0.39,0.0,4.89,41.59,Yes - Internal,Desulfurization,1.0,Excellent,1.0,See pre-treatment,1.0
Bloom Energy,Compressed Natural Gas (CNG),92.97,4.77,1.1,1.16,0.0,2.09,37.96,Yes - Internal,Desulfurization,1.0,Excellent,1.0,See pre-treatment,1.0
Bloom Energy,Liquefied Natural Gas (LNG),96.53,3.58,1.21,-1.33,0.0,8.34,47.92,Yes - Internal,Desulfurization,1.0,Excellent,1.0,See pre-treatment,1.0
Bloom Energy,Bio-methane (Landfill Gas),71.93,1.63,38.38,3.51,0.92,85.78,46.65,Yes - Internal/External,"Desulfurization, CO2 removal, Moisture removal",0.9637,Good,1.073,See pre-treatment,1.018
Bloom Energy,Bio-methane (Anaerobic Digestion),73.12,1.98,18.55,5.27,1.87,13.89,36.98,Yes - Internal/External,"Desulfurization, CO2 removal, Moisture removal",0.9299,Good,1.14,See pre-treatment,1.035
Bloom Energy,LPG (Propane),3.9,13.18,0.29,1.26,0.0,26.02,50.42,Yes - External,"Vaporization, Desulfurization, Steam reforming",0.9766,Good,1.047,See pre-treatment,1.012
Bloom Energy,LPG (Butane),3.36,10.08,0.37,1.35,0.0,22.22,51.36,Yes - External,"Vaporization, Desulfurization, Steam reforming",0.9837,Good,1.033,See pre-treatment,1.008
Bloom Energy,Associated Petroleum Gas (APG),81.42,6.12,5.31,7.15,0.01,64.4,49.88,Yes - Internal,"Intensive Desulfurization, Moisture removal",0.9436,Good,1.113,See pre-treatment,1.028
Bloom Energy,Syngas (Coal-derived),9.01,0.0,18.0,46.99,25.99,141.82,43.33,Partial - depends on H2 content,"Extensive cleanup, Desulfurization, Tar removal",1.0,Good,1.0,See pre-treatment,1.0
Bloom Energy,Hydrogen-enriched Natural Gas (H2NG-10%),94.53,3.46,0.97,1.04,0.0,4.2,43.31,Yes - Internal,Desulfurization,1.0392,Excellent,0.922,See pre-treatment,0.98
