Manufacturer,System_Size_kW,Load_Percentage,Actual_Power_Output_kW,Electrical_Efficiency_LHV,Thermal_Efficiency,CHP_Total_Efficiency,Operating_Temperature_C,Cell_Voltage_V,Power_Density_Volumetric_kW_per_m3,Power_Density_Area_kW_per_m2,Stack_Degradation_pct_per_1000h,Expected_Stack_Lifetime_hours,System_Lifetime_years,Fuel_Utilization_Factor,Air_Utilization_Factor
Bloom Energy,100,25,25.0,0.56,0.2125,0.7725,809.8,0.71,400,0.8,0.129,46239,15.6,0.837,0.26
Bloom Energy,100,50,50.0,0.5836,0.225,0.8086,806.2,0.652,400,0.8,0.178,73297,17.1,0.768,0.218
Bloom Energy,100,75,75.0,0.5949,0.2375,0.8324,764.8,0.679,400,0.8,0.157,45579,17.9,0.787,0.246
Bloom Energy,100,100,100.0,0.5809,0.25,0.8309,817.8,0.67,400,0.8,0.151,63696,15.5,0.811,0.217
Bloom Energy,200,25,50.0,0.549,0.2125,0.7615,802.6,0.694,400,0.8,0.127,59807,15.3,0.841,0.226
Bloom Energy,200,50,100.0,0.5821,0.225,0.8071,799.4,0.681,400,0.8,0.151,61868,16.8,0.847,0.278
Bloom Energy,200,75,150.0,0.5999,0.2375,0.8374,713.3,0.67,400,0.8,0.123,53013,18.9,0.777,0.283
Bloom Energy,200,100,200.0,0.6017,0.25,0.8517,753.5,0.678,400,0.8,0.153,45636,23.0,0.757,0.299
Bloom Energy,250,25,62.5,0.5482,0.2125,0.7607,700.8,0.732,400,0.8,0.162,69160,22.7,0.757,0.236
Bloom Energy,250,50,125.0,0.5911,0.225,0.8161,717.4,0.736,400,0.8,0.157,53235,15.6,0.781,0.233
Bloom Energy,250,75,187.5,0.6006,0.2375,0.8381,833.1,0.697,400,0.8,0.127,68529,22.6,0.806,0.277
Bloom Energy,250,100,250.0,0.6136,0.25,0.8636,774.1,0.702,400,0.8,0.146,41016,16.1,0.753,0.264
Bloom Energy,300,25,75.0,0.5559,0.2125,0.7684,836.1,0.675,400,0.8,0.145,70222,17.3,0.758,0.229
Bloom Energy,300,50,150.0,0.5651,0.225,0.7901,724.2,0.743,400,0.8,0.168,65336,23.7,0.83,0.219
Bloom Energy,300,75,225.0,0.5935,0.2375,0.831,821.1,0.74,400,0.8,0.139,44402,17.3,0.793,0.282
Bloom Energy,300,100,300.0,0.6097,0.25,0.8597,829.1,0.651,400,0.8,0.151,56696,17.2,0.762,0.234
